D:\Users\INSTR-ADMIN\experiments\Ana\Nutrients\Acer_Nutrients_Plate15.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer_Nutrients_Plate15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09 09:16:07 AM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,HIGHSD,NOAMP,Tm1,Tm2,Tm3,Tm4
B11,0,Sample 16,Acer,UNKNOWN,SYBR,None,24.633,24.828,0.277,,,,,,,,0,0.200,1,3,18,Amp,,0.989,N,N,N,N,N,73.268,,,
B12,0,Sample 16,A,UNKNOWN,SYBR,None,24.632,24.506,0.177,,,,,,,,0,0.200,1,3,19,Amp,,0.983,N,N,N,N,N,84.619,,,
C1,0,Sample 2,Acer,UNKNOWN,SYBR,None,23.743,23.645,0.139,,,,,,,,0,0.200,1,3,18,Amp,,0.990,N,N,N,N,N,72.974,,,
C2,0,Sample 2,A,UNKNOWN,SYBR,None,26.264,25.943,0.454,,,,,,,,0,0.200,1,3,20,Amp,,0.985,N,Y,N,N,N,84.471,75.037,,
C3,0,Sample 2,Acer,UNKNOWN,SYBR,None,23.546,23.645,0.139,,,,,,,,0,0.200,1,3,19,Amp,,0.992,N,N,N,N,N,73.268,,,
C4,0,Sample 2,A,UNKNOWN,SYBR,None,25.622,25.943,0.454,,,,,,,,0,0.200,1,3,20,Amp,,0.969,N,N,N,N,N,84.914,,,
C5,0,Sample 9,Acer,UNKNOWN,SYBR,None,24.165,24.293,0.182,,,,,,,,0,0.200,1,3,19,Amp,,0.988,N,N,N,N,N,73.268,,,
C6,0,Sample 9,A,UNKNOWN,SYBR,None,23.908,23.890,0.026,,,,,,,,0,0.200,1,3,18,Amp,,0.990,N,N,N,N,N,84.471,,,
C7,0,Sample 9,Acer,UNKNOWN,SYBR,None,24.422,24.293,0.182,,,,,,,,0,0.200,1,3,18,Amp,,0.982,N,N,N,N,N,73.268,,,
C8,0,Sample 9,A,UNKNOWN,SYBR,None,23.871,23.890,0.026,,,,,,,,0,0.200,1,3,19,Amp,,0.982,N,N,N,N,N,84.619,,,
C9,0,Sample 17,Acer,UNKNOWN,SYBR,None,24.323,24.393,0.099,,,,,,,,0,0.200,1,3,19,Amp,,0.988,N,N,N,N,N,73.268,,,
C10,0,Sample 17,A,UNKNOWN,SYBR,None,23.930,23.875,0.078,,,,,,,,0,0.200,1,3,19,Amp,,0.988,N,N,N,N,N,84.619,,,
C11,0,Sample 17,Acer,UNKNOWN,SYBR,None,24.463,24.393,0.099,,,,,,,,0,0.200,1,3,19,Amp,,0.991,N,N,N,N,N,73.121,,,
C12,0,Sample 17,A,UNKNOWN,SYBR,None,23.820,23.875,0.078,,,,,,,,0,0.200,1,3,19,Amp,,0.991,N,N,N,N,N,84.471,,,
