Spp,Colony,Core,Treatment,Rep,Date,ProK,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample.Plate
S.sid,,-,,,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 1,Sample 1_Plate3.csv
S.sid,20,20-1,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 2,Sample 2_Plate3.csv
S.sid,20,20-4,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 3,Sample 3_Plate3.csv
S.sid,20,20-13,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 4,Sample 4_Plate3.csv
S.sid,20,20-19,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 5,Sample 5_Plate3.csv
S.sid,22,22-2,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 6,Sample 6_Plate3.csv
S.sid,22,22-8,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 7,Sample 7_Plate3.csv
S.sid,22,22-16,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 8,Sample 8_Plate3.csv
S.sid,22,22-21,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 9,Sample 9_Plate3.csv
S.sid,23,23-54,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 10,Sample 10_Plate3.csv
S.sid,23,23-57,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 11,Sample 11_Plate3.csv
S.sid,23,23-60,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 12,Sample 12_Plate3.csv
S.sid,23,23-65,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 13,Sample 13_Plate3.csv
S.sid,24,24-2,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 14,Sample 14_Plate3.csv
S.sid,24,24-6,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 15,Sample 15_Plate3.csv
S.sid,24,24-9,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 16,Sample 16_Plate3.csv
S.sid,24,24-12,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 17,Sample 17_Plate3.csv
S.sid,27,27-3,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 18,Sample 18_Plate3.csv
S.sid,27,27-9,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 19,Sample 19_Plate3.csv
S.sid,27,27-19,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 20,Sample 20_Plate3.csv
S.sid,27,27-28,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 21,Sample 21_Plate3.csv
S.sid,28,28-2,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate3,Sample 22,Sample 22_Plate3.csv
S.sid,28,28-5,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 1,Sample 1_Plate4.csv
S.sid,28,28-8,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 2,Sample 2_Plate4.csv
S.sid,30,30-1,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 3,Sample 3_Plate4.csv
S.sid,30,30-4,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 4,Sample 4_Plate4.csv
S.sid,30,30-8,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 5,Sample 5_Plate4.csv
S.sid,30,30-12,Control,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 6,Sample 6_Plate4.csv
S.sid,20,20-2,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 7,Sample 7_Plate4.csv
S.sid,20,20-8,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 8,Sample 8_Plate4.csv
S.sid,20,20-15,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 9,Sample 9_Plate4.csv
S.sid,20,20-22,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 10,Sample 10_Plate4.csv
S.sid,22,22-3,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 11,Sample 11_Plate4.csv
S.sid,22,22-11,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 12,Sample 12_Plate4.csv
S.sid,22,22-17,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 13,Sample 13_Plate4.csv
S.sid,22,22-24,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 14,Sample 14_Plate4.csv
S.sid,23,23-55,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 15,Sample 15_Plate4.csv
S.sid,23,23-58,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 16,Sample 16_Plate4.csv
S.sid,23,23-61,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 17,Sample 17_Plate4.csv
S.sid,23,23-66,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 18,Sample 18_Plate4.csv
S.sid,24,24-3,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 19,Sample 19_Plate4.csv
S.sid,24,24-7,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 20,Sample 20_Plate4.csv
S.sid,24,24-10,N,R1,2017/12/14,2017/12/15,2017/12/28,2017/12/29,2018/01/04,2018/01/24,"C, D, Ssid",Plate4,Sample 21,Sample 21_Plate4.csv
