,Sample.Name,File.Name,C.CT.mean,D.CT.mean,Ssid.CT.mean,C.CT.sd,D.CT.sd,Ssid.CT.sd,C.reps,D.reps,Ssid.reps,C.Ssid,D.Ssid,Sample.Plate,TotalSH,logC.SH,logD.SH,logSH,Treatment,Replicate,Colony,Core,Date,Sample,RanA
321,Sample 10,Plate7.csv,37.0307884217,29.0758266449,20.070098877,3.9071760496,3.0884644135,0.2531697127,2,2,2,1.89397672536717E-05,0.0046995551,Sample 10_Plate7.csv,0.0047184949,-4.7226253622,-2.3279432531,-2.326196512,Control,R2,27,27-73,2017-12-14,27-73_2017-12-14,2
372,Sample 19,Plate9.csv,25.3978214264,30.5068340302,20.1317605973,1.7181617982,2.0270381806,0.1565205827,2,2,2,0.0627781725,0.0018190416,Sample 19_Plate9.csv,0.0645972141,-1.2021913307,-2.7401573727,-1.1897862114,NP,R2,24,24-25,2017-12-14,24-25_2017-12-14,2
