"","Sample","Treatment","Replicate","Colony","Core","Date","C.Ssid","D.Ssid","TotalSH","logC.SH","logD.SH","logSH","D.Prp","Community"
"1","27-87_2017-12-14","NP","R2","27","27-87",2017-12-14,0,0.00961452238115805,0.00961452238115805,NA,-2.01707228525593,-2.01707228525593,1,"D"
"2","20-4_2018-02-01","Control","R1","20","20-4",2018-02-01,0.000833736303631013,0,0.000833736303631013,-3.07897128747579,NA,-3.07897128747579,0,"C"
"3","20-13_2018-02-01","Control","R1","20","20-13",2018-02-01,0.000122927975686153,0,0.000122927975686153,-3.91034927005481,NA,-3.91034927005481,0,"C"
"4","20-19_2018-02-01","Control","R1","20","20-19",2018-02-01,5.66489189946128e-05,0,5.66489189946128e-05,-4.24680837316429,NA,-4.24680837316429,0,"C"
"5","22-2_2018-02-01","Control","R1","22","22-2",2018-02-01,0,0.00855161793871271,0.00855161793871271,NA,-2.06795171037357,-2.06795171037357,1,"D"
"6","22-8_2018-02-01","Control","R1","22","22-8",2018-02-01,0,0.0101803796820999,0.0101803796820999,NA,-1.99223602447805,-1.99223602447805,1,"D"
"7","22-16_2018-02-01","Control","R1","22","22-16",2018-02-01,4.38057320664183e-05,0.0238546538821232,0.0238984596141896,-4.35846905748822,-1.62242688043285,-1.62163009079315,0.998167006042498,"D"
"8","22-21_2018-02-01","Control","R1","22","22-21",2018-02-01,2.78587096532066e-06,0.0236378464624252,0.0236406323333905,-5.55503900289662,-1.62639209259992,-1.62634091124131,0.999882157510593,"D"
"9","23-54_2018-02-01","Control","R1","23","23-54",2018-02-01,0,0.00610476614620224,0.00610476614620224,NA,-2.21433096781396,-2.21433096781396,1,"D"
"10","23-57_2018-02-01","Control","R1","23","23-57",2018-02-01,6.10725137605691e-06,0.00762694306895258,0.00763305032032864,-5.21415420396228,-2.11764949537502,-2.11730187455421,0.999199893735825,"D"
"11","23-60_2018-02-01","Control","R1","23","23-60",2018-02-01,0,0.0134282671266413,0.0134282671266413,NA,-1.87198002797866,-1.87198002797866,1,"D"
"12","27-98_2017-12-14","NP","R2","27","27-98",2017-12-14,0,0.00907772259809156,0.00907772259809156,NA,-2.04202309279375,-2.04202309279375,1,"D"
"13","23-65_2018-02-01","Control","R1","23","23-65",2018-02-01,0,0.0107828826537608,0.0107828826537608,NA,-1.96726512103566,-1.96726512103566,1,"D"
"14","24-2_2018-02-01","Control","R1","24","24-2",2018-02-01,0.00143928116927071,0,0.00143928116927071,-2.84185435663003,NA,-2.84185435663003,0,"C"
"15","24-6_2018-02-01","Control","R1","24","24-6",2018-02-01,0.00144828680316437,0,0.00144828680316437,-2.83914542660718,NA,-2.83914542660718,0,"C"
