D:\Users\INSTR-ADMIN\experiments\Ana\Nutrients\Acer_Nutrients_Plate13.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer_Nutrients_Plate13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08 12:14:22 PM PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,NOAMP,Tm1,Tm2,Tm3,Tm4
B12,0,Sample 16,A,UNKNOWN,SYBR,None,27.616,27.485,0.185,,,,,,,,0,0.200,1,3,23,Amp,,0.988,N,Y,N,N,84.473,75.333,,
C1,0,Sample 2,Acer,UNKNOWN,SYBR,None,25.134,25.288,0.217,,,,,,,,0,0.200,1,3,19,Amp,,0.988,N,N,N,N,73.121,,,
C2,0,Sample 2,A,UNKNOWN,SYBR,None,27.363,27.422,0.083,,,,,,,,0,0.200,1,3,21,Amp,,0.985,N,Y,N,N,84.325,75.038,,
C3,0,Sample 2,Acer,UNKNOWN,SYBR,None,25.441,25.288,0.217,,,,,,,,0,0.200,1,3,20,Amp,,0.992,N,N,N,N,73.269,,,
C4,0,Sample 2,A,UNKNOWN,SYBR,None,27.481,27.422,0.083,,,,,,,,0,0.200,1,3,22,Amp,,0.989,N,Y,N,N,84.620,74.743,,
C5,0,Sample 9,Acer,UNKNOWN,SYBR,None,23.259,23.329,0.098,,,,,,,,0,0.200,1,3,17,Amp,,0.988,N,N,N,N,73.269,,,
C6,0,Sample 9,A,UNKNOWN,SYBR,None,23.244,23.171,0.103,,,,,,,,0,0.200,1,3,18,Amp,,0.960,N,N,N,N,84.473,,,
C7,0,Sample 9,Acer,UNKNOWN,SYBR,None,23.398,23.329,0.098,,,,,,,,0,0.200,1,3,19,Amp,,0.973,N,N,N,N,73.269,,,
C8,0,Sample 9,A,UNKNOWN,SYBR,None,23.098,23.171,0.103,,,,,,,,0,0.200,1,3,19,Amp,,0.982,N,N,N,N,84.620,,,
C9,0,Sample 17,Acer,UNKNOWN,SYBR,None,23.825,23.699,0.178,,,,,,,,0,0.200,1,3,18,Amp,,0.979,N,N,N,N,73.269,,,
C10,0,Sample 17,A,UNKNOWN,SYBR,None,24.410,24.368,0.060,,,,,,,,0,0.200,1,3,19,Amp,,0.987,N,N,N,N,84.473,,,
C11,0,Sample 17,Acer,UNKNOWN,SYBR,None,23.574,23.699,0.178,,,,,,,,0,0.200,1,3,18,Amp,,0.988,N,N,N,N,73.269,,,
C12,0,Sample 17,A,UNKNOWN,SYBR,None,24.325,24.368,0.060,,,,,,,,0,0.200,1,3,19,Amp,,0.980,N,N,N,N,84.473,,,
D1,0,Sample 3,Acer,UNKNOWN,SYBR,None,24.058,24.122,0.091,,,,,,,,0,0.200,1,3,18,Amp,,0.987,N,N,N,N,72.827,,,
D2,0,Sample 3,A,UNKNOWN,SYBR,None,24.558,24.607,0.071,,,,,,,,0,0.200,1,3,19,Amp,,0.992,N,N,N,N,84.178,,,
D3,0,Sample 3,Acer,UNKNOWN,SYBR,None,24.186,24.122,0.091,,,,,,,,0,0.200,1,3,19,Amp,,0.975,N,N,N,N,73.269,,,
D4,0,Sample 3,A,UNKNOWN,SYBR,None,24.657,24.607,0.071,,,,,,,,0,0.200,1,3,19,Amp,,0.987,N,N,N,N,84.473,,,
D5,0,Sample 10,Acer,UNKNOWN,SYBR,None,23.927,24.118,0.270,,,,,,,,0,0.200,1,3,19,Amp,,0.989,N,N,N,N,73.269,,,
D6,0,Sample 10,A,UNKNOWN,SYBR,None,23.749,23.691,0.082,,,,,,,,0,0.200,1,3,18,Amp,,0.990,N,N,N,N,84.473,,,
D7,0,Sample 10,Acer,UNKNOWN,SYBR,None,24.309,24.118,0.270,,,,,,,,0,0.200,1,3,20,Amp,,0.977,N,N,N,N,73.269,,,
D8,0,Sample 10,A,UNKNOWN,SYBR,None,23.633,23.691,0.082,,,,,,,,0,0.200,1,3,19,Amp,,0.985,N,N,N,N,84.620,,,
D9,0,Sample 18,Acer,UNKNOWN,SYBR,None,23.206,23.124,0.116,,,,,,,,0,0.200,1,3,18,Amp,,0.985,N,N,N,N,73.269,,,
D10,0,Sample 18,A,UNKNOWN,SYBR,None,24.734,24.832,0.138,,,,,,,,0,0.200,1,3,19,Amp,,0.982,N,N,N,N,84.473,,,
D11,0,Sample 18,Acer,UNKNOWN,SYBR,None,23.043,23.124,0.116,,,,,,,,0,0.200,1,3,18,Amp,,0.973,N,N,N,N,73.121,,,
D12,0,Sample 18,A,UNKNOWN,SYBR,None,24.929,24.832,0.138,,,,,,,,0,0.200,1,3,19,Amp,,0.975,N,N,N,N,84.325,,,
E1,0,Sample 4,Acer,UNKNOWN,SYBR,None,23.577,23.762,0.261,,,,,,,,0,0.200,1,3,18,Amp,,0.988,N,N,N,N,72.974,,,
E2,0,Sample 4,A,UNKNOWN,SYBR,None,23.606,23.605,0.001,,,,,,,,0,0.200,1,3,19,Amp,,0.984,N,N,N,N,84.178,,,
E3,0,Sample 4,Acer,UNKNOWN,SYBR,None,23.946,23.762,0.261,,,,,,,,0,0.200,1,3,19,Amp,,0.972,N,N,N,N,73.121,,,
E4,0,Sample 4,A,UNKNOWN,SYBR,None,23.605,23.605,0.001,,,,,,,,0,0.200,1,3,18,Amp,,0.989,N,N,N,N,84.473,,,
E5,0,Sample 11,Acer,UNKNOWN,SYBR,None,23.847,23.723,0.175,,,,,,,,0,0.200,1,3,19,Amp,,0.984,N,N,N,N,73.121,,,
E6,0,Sample 11,A,UNKNOWN,SYBR,None,23.733,23.740,0.010,,,,,,,,0,0.200,1,3,18,Amp,,0.988,N,N,N,N,84.325,,,
E7,0,Sample 11,Acer,UNKNOWN,SYBR,None,23.599,23.723,0.175,,,,,,,,0,0.200,1,3,19,Amp,,0.991,N,N,N,N,73.269,,,
E8,0,Sample 11,A,UNKNOWN,SYBR,None,23.747,23.740,0.010,,,,,,,,0,0.200,1,3,19,Amp,,0.976,N,N,N,N,84.620,,,
E9,0,Sample 19,Acer,UNKNOWN,SYBR,None,23.180,23.263,0.117,,,,,,,,0,0.200,1,3,18,Amp,,0.974,N,N,N,N,73.269,,,
E10,0,Sample 19,A,UNKNOWN,SYBR,None,24.221,24.332,0.156,,,,,,,,0,0.200,1,3,18,Amp,,0.979,N,N,N,N,84.473,,,
E11,0,Sample 19,Acer,UNKNOWN,SYBR,None,23.346,23.263,0.117,,,,,,,,0,0.200,1,3,18,Amp,,0.981,N,N,N,N,73.121,,,
E12,0,Sample 19,A,UNKNOWN,SYBR,None,24.442,24.332,0.156,,,,,,,,0,0.200,1,3,19,Amp,,0.979,N,N,N,N,84.325,,,
F1,0,Sample 5,Acer,UNKNOWN,SYBR,None,23.732,23.568,0.233,,,,,,,,0,0.200,1,3,18,Amp,,0.976,N,N,N,N,72.827,,,
F2,0,Sample 5,A,UNKNOWN,SYBR,None,23.963,23.899,0.091,,,,,,,,0,0.200,1,3,18,Amp,,0.974,N,N,N,N,84.178,,,
