"Treatment","Replicate","Fragment","Genotype","Date","Days","Time_Point","Phase","Sample","B.Ofav","C.Ofav","D.Ofav","TotalSH","logB.SH","logC.SH","logD.SH","logSH","D.Prp","C.Prp","B.Prp","Community"
"A","R1","Of_20-14","Of_20",2017-11-15,0,"T5","Baseline","Of_20-14_T5",0,0,0.0808355776655399,0.0808355776655399,NA,NA,-1.09239745379092,-1.09239745379092,1,0,0,"D"
"A","R1","Of_20-19","Of_20",2017-11-15,0,"T5","Baseline","Of_20-19_T5",0,0,0.0759633749285516,0.0759633749285516,NA,NA,-1.1193957485126,-1.1193957485126,1,0,0,"D"
"A","R1","Of_6-112","Of_6",2017-11-15,0,"T5","Baseline","Of_6-112_T5",0,0,0.0246323430741762,0.0246323430741762,NA,NA,-1.60849427529908,-1.60849427529908,1,0,0,"D"
"A","R1","Of_6-6","Of_6",2017-11-15,0,"T5","Baseline","Of_6-6_T5",0,0,0.149854595284167,0.149854595284167,NA,NA,-0.824329934894133,-0.824329934894133,1,0,0,"D"
"A","R1","Of_31-34","Of_31",2017-11-15,0,"T5","Baseline","Of_31-34_T5",0.0645692219699503,0,0.00677795291110081,0.0713471748810511,-1.18997444661558,NA,-2.16890145268957,-1.14662321887535,0.0949995977051777,0,0.905000402294822,"B"
"A","R1","Of_31-41","Of_31",2017-11-15,0,"T5","Baseline","Of_31-41_T5",0.29126835978045,0,0,0.29126835978045,-0.535706689828479,NA,NA,-0.535706689828479,0,0,1,"B"
"A","R1","Of_31-45","Of_31",2017-11-15,0,"T5","Baseline","Of_31-45_T5",0.0580803015766227,0,0,0.0580803015766227,-1.23597113726796,NA,NA,-1.23597113726796,0,0,1,"B"
"A","R2","Of_20-21","Of_20",2017-11-15,0,"T5","Baseline","Of_20-21_T5",0,0,0.0714791311124728,0.0714791311124728,NA,NA,-1.14582073534032,-1.14582073534032,1,0,0,"D"
"A","R2","Of_20-3","Of_20",2017-11-15,0,"T5","Baseline","Of_20-3_T5",0,0,0.0986295955281172,0.0986295955281172,NA,NA,-1.00599274787879,-1.00599274787879,1,0,0,"D"
"A","R2","Of_20-4","Of_20",2017-11-15,0,"T5","Baseline","Of_20-4_T5",0,0,0.0467345891173957,0.0467345891173957,NA,NA,-1.33036157120112,-1.33036157120112,1,0,0,"D"
"A","R2","Of_6-40","Of_6",2017-11-15,0,"T5","Baseline","Of_6-40_T5",0,0,0.0949611815458585,0.0949611815458585,NA,NA,-1.02245389035028,-1.02245389035028,1,0,0,"D"
"A","R2","Of_6-85","Of_6",2017-11-15,0,"T5","Baseline","Of_6-85_T5",0,0,0.0252835528593234,0.0252835528593234,NA,NA,-1.59716189879221,-1.59716189879221,1,0,0,"D"
"A","R2","Of_31-13","Of_31",2017-11-15,0,"T5","Baseline","Of_31-13_T5",0.0350720328417686,0,0.000819673936098401,0.035891706777867,-1.45503906085427,NA,-3.08635887434196,-1.44500588893383,0.0228374187154527,0,0.977162581284547,"B"
