"","Treatment","DaysF","emmean","SE","df","lower.CL","upper.CL",".group"
"1","A","0",-1.12226138636184,0.122138841262773,6.59068593919444,-1.41475003268499,-0.829772740038699,"  23"
"2","N","0",-0.942220007692649,0.122365085769331,6.61968320977809,-1.23497173655698,-0.649468278828316,"   3"
"3","N+P","0",-1.20238808771948,0.120186249293785,6.18742944791886,-1.49432725988566,-0.910448915553293," 123"
"4","A","72",-1.53136005657002,0.116689458240425,5.52117171490991,-1.82300022562465,-1.23971988751539," 1  "
"5","N","72",-1.07366318460975,0.116689458240426,5.52117171490993,-1.36530335366439,-0.78202301555512,"   3"
"6","N+P","72",-1.49996822774231,0.116689458240426,5.52117171490993,-1.79160839679694,-1.20832805868768," 1  "
"7","A","100",-1.52208814909103,0.13297920670276,9.16367855713779,-1.82209094489368,-1.22208535328838," 12 "
"8","N","100",-1.50529393294011,0.13297920670276,9.16367855713781,-1.80529672874276,-1.20529113713746," 12 "
"9","N+P","100",-1.25596660824962,0.155504731202195,16.1143057181694,-1.58543196701876,-0.926501249480491," 123"
