"Sample","TotalSH","D.Prp","Community"
"Of_31-24_T5",0.167491685893663,0.0319634965953805,"B"
"Of_31-46_T5",0.102397215833633,0.0531236475769439,"B"
"Of_31-3_T5",0.105917585401447,0,"B"
"Of_31-8_T5",0.0637587716204529,0,"B"
"Of_31-41_T5",0.29126835978045,0,"B"
"Of_31-45_T5",0.0580803015766227,0,"B"
"Of_31-25_T5",0.262923888583963,0.746959796209986,"D"
"Of_31-30_T5",0.0835239875598012,0.293424643201945,"B"
"Of_31-43_T5",0.0805291611242614,0.078718622332798,"B"
"Of_31-17_T5",0.0559912677906546,0.0294605078074343,"B"
"Of_31-39_T5",0.0428473556696159,0,"B"
"Of_31-40_T5",0.0339430022318161,0,"B"
"Of_31-34_T9",0.053715169400675,0.0642217900656978,"B"
"Of_31-13_T9",0.049553332933843,0,"B"
"Of_31-24_T9",0.0380897722636835,0.0123330666200386,"B"
"Of_31-46_T9",0.0252939932971096,0.0399101366677707,"B"
"Of_31-3_T9",0.10732654593509,0.0148146526895477,"B"
"Of_31-8_T9",0.0292069087399769,0,"B"
"Of_31-41_T9",0.0624109500498158,0,"B"
"Of_31-45_T9",0.078116736850178,0,"B"
"Of_31-25_T9",0.126197575887803,0.610164709042783,"D"
"Of_31-30_T9",0.0411422890967214,0.279018045351183,"B"
"Of_31-43_T9",0.0615078545633253,0,"B"
"Of_31-17_T9",0.0662567122719093,0.0646255161817726,"B"
"Of_31-39_T9",0.0470401182653856,0,"B"
"Of_31-40_T9",0.0461543652000451,0.00999629406216314,"B"
"Of_31-13_T12",0.0287015920096694,0,"B"
"Of_31-24_T12",0.101039967929932,0,"B"
"Of_31-46_T12",0.0601589344203746,0.0374416048277315,"B"
"Of_31-3_T12",0.108499923895387,0,"B"
"Of_31-8_T12",0.106860665807544,0,"B"
"Of_31-25_T12",0.407268604525815,0.568900653935208,"D"
"Of_31-30_T12",0.0923970754486925,0.0667084004264146,"B"
"Of_31-43_T12",0.16178031695774,0.0176211199063581,"B"
"Of_31-17_T12",0.0231975673691065,0.0742757432714582,"B"
"Of_31-39_T12",0.0880131660066148,0,"B"
"Of_31-40_T12",0.0286670822686426,0,"B"
"Of_31-49_T5",0.0357513951969781,0,"B"
"Of_31-10_T9",0.202951420801519,0.284583968627346,"B"
"Of_31-2_T9",0.0160911790003042,0.101903722945518,"B"
"Of_31-11_T9",0.0319554672870312,0,"B"
"Of_31-49_T9",0.130067642417211,0,"B"
"Of_31-10_T5",0.131505353895957,0.54031770459128,"D"
"Of_31-2_T5",0.0360995118515445,0.0443575912442482,"B"
"Of_31-11_T5",0.0345453252615906,0,"B"
"Of_20-34_T5",0.0322335788672584,0.999085206155707,"D"
"Of_20-4_T5",0.0467345891173957,1,"D"
"Of_20-21_T5",0.0714791311124728,1,"D"
"Of_20-34_T12",0.0330117825767016,1,"D"
"Of_20-40_T12",0.00874501888141537,1,"D"
"Of_34-4_T12",0.00924746812681413,1,"D"
"Of_34-9_T12",0.0592477120118764,0.972309264584467,"D"
"Of_34-22_T12",0.0247810654959505,0.978173537870532,"D"
"Of_6-40_T12",0.0600507863857375,1,"D"
"Of_6-85_T12",0.0172253589285518,1,"D"
"Of_6-116_T12",0.0202998046749654,1,"D"
"Of_20-40_T5",0.0798241763989639,1,"D"
"Of_20-3_T12",0.00736120809293561,1,"D"
"Of_20-4_T12",0.0115261368227168,0.992626260119697,"D"
"Of_20-21_T12",0.00681345476130124,1,"D"
"Of_6-40_T5",0.0949611815458585,1,"D"
"Of_6-85_T5",0.0252835528593234,1,"D"
"Of_20-3_T5",0.0986295955281172,1,"D"
"Of_34-8_T12",0.0182532475116841,1,"D"
"Of_34-11_T12",0.0147763036440528,1,"D"
"Of_34-23_T12",0.0160760422291899,1,"D"
"Of_6-12_T12",0.119129882199901,1,"D"
"Of_6-19_T12",0.203872681878307,1,"D"
"Of_6-118_T12",0.130364037985031,1,"D"
"Of_20-29_T12",0.0370816309582469,1,"D"
"Of_20-41_T12",0.0073125149299299,1,"D"
"Of_20-45_T12",0.0644744235590912,1,"D"
"Of_34-10_T12",0.0183507352805903,1,"D"
"Of_34-24_T12",0.0124874259476752,1,"D"
"Of_6-19_T5",0.0885223907188799,1,"D"
"Of_20-29_T5",0.14953981845155,1,"D"
"Of_20-41_T5",0.0333535481428478,1,"D"
"Of_20-45_T5",0.0808309289306772,1,"D"
"Of_34-25_T12",0.0162331793858677,1,"D"
"Of_6-49_T12",0.0501486065003679,1,"D"
"Of_6-72_T12",0.0730319603659255,1,"D"
"Of_6-82_T12",0.0140353658328463,1,"D"
"Of_20-11_T12",0.0176464439976257,1,"D"
"Of_20-43_T12",0.0194800912788222,1,"D"
"Of_20-50_T12",0.0252244901017435,1,"D"
"Of_34-7_T12",0.0169074325161883,1,"D"
"Of_34-21_T12",0.00723883899385362,1,"D"
"Of_6-49_T5",0.0251280805214893,1,"D"
"Of_34-32_T12",0.0389774931637516,1,"D"
"Of_6-72_T5",0.0977958047772714,1,"D"
"Of_6-82_T5",0.060008525266732,1,"D"
"Of_20-11_T5",0.0996756604399831,1,"D"
"Of_20-43_T5",0.0643648130652245,1,"D"
"Of_20-50_T5",0.360998082370462,1,"D"
"Of_34-20_T22",0.119233074467191,0.993975799040492,"D"
"Of_20-3_T9",0.0104036610590962,1,"D"
"Of_34-10_T9",0.231167120049547,1,"D"
"Of_34-24_T9",0.0160290977056353,1,"D"
"Of_34-25_T9",0.0289548774657295,1,"D"
"Of_20-11_T9",0.00509550999760586,0.994752011110672,"D"
"Of_20-43_T9",0.00602888391166926,1,"D"
"Of_20-50_T9",0.036383916988969,1,"D"
"Of_34-7_T9",0.0697193922076109,1,"D"
"Of_34-21_T9",0.0283080557240953,1,"D"
"Of_34-32_T9",0.0129720969798062,0.977134383166968,"D"
"Of_20-4_T9",0.00526693528945138,1,"D"
"Of_20-21_T9",0.0171318903864245,1,"D"
"Of_34-8_T9",0.0617175788921472,1,"D"
"Of_34-11_T9",0.0207806419423035,1,"D"
"Of_34-23_T9",0.00799426238218595,1,"D"
"Of_20-29_T9",0.00975363396292316,1,"D"
"Of_20-41_T9",0.0288597029361741,0.985904962264911,"D"
"Of_20-45_T9",0.0145922255926742,1,"D"
"Of_6-6_T9",0.0100482100285507,1,"D"
"Of_6-61_T9",0.0338985009506208,1,"D"
"Of_6-86_T9",0.0116102397687723,0.975707155412945,"D"
"Of_6-83_T9",0.0235527997050126,1,"D"
"Of_6-112_T9",0.0169368520997407,1,"D"
"Of_6-9_T9",0.011263469270886,0.999273901763042,"D"
"Of_6-81_T9",0.0141647261899795,1,"D"
"Of_6-96_T9",0.0084505302507708,0.996950166457602,"D"
"Of_6-115_T9",0.0182315415083425,1,"D"
"Of_6-12_T9",0.0593055899345576,0.983408438119971,"D"
"Of_6-19_T9",0.0264005254791998,1,"D"
"Of_6-118_T9",0.0522186076502921,1,"D"
"Of_6-40_T9",0.0130020657514518,1,"D"
"Of_6-85_T9",0.0193697652278387,1,"D"
"Of_6-116_T9",0.0110653914450989,0.987380035261313,"D"
"Of_20-30_T12",0.00361305607866096,1,"D"
"Of_6-49_T9",0.00358972814924269,1,"D"
"Of_6-72_T9",0.00223579396185703,1,"D"
"Of_6-82_T9",0.00227220671437765,1,"D"
"Of_6-12_T5",0.477757812663645,1,"D"
"Of_6-9_T12",0.0283273550566925,1,"D"
"Of_20-2_T19",0.0381163248462965,1,"D"
"Of_20-29_T19",0.0297748919011958,1,"D"
"Of_20-30_T19",0.0164969357884218,1,"D"
"Of_20-50_T19",0.100425799112163,0.997623616607154,"D"
"Of_34-20_T19",0.0141611591831433,1,"D"
"Of_34-21_T19",0.0555998149301157,1,"D"
"Of_6-112_T12",0.0367442433780299,1,"D"
