Spp,Colony,Core,Treatment,Rep,Date,ProK,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample_Plate
O. fav,6,6-82,NP,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 13,Sample 13_Plate10.csv
O. fav,31,31-2,NP,R2,2018-01-26,2018-01-29,2018-02-02,2018-02-03,2018-02-03,2018-05-30,"Ofav, B, C, D",Plate10,Sample 14,Sample 14_Plate10.csv
O. fav,20,20-19,Control,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 1,Sample 1_Plate11.csv
O. fav,20,20-30,Control,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 2,Sample 2_Plate11.csv
O. fav,34,34-20,Control,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 3,Sample 3_Plate11.csv
O. fav,34,34-49,Control,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 4,Sample 4_Plate11.csv
O. fav,20,20-2,N,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 5,Sample 5_Plate11.csv
O. fav,20,20-46,N,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 6,Sample 6_Plate11.csv
O. fav,34,34-44,N,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 7,Sample 7_Plate11.csv
O. fav,20,20-17,NP,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 8,Sample 8_Plate11.csv
O. fav,20,20-34,NP,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 9,Sample 9_Plate11.csv
O. fav,34,34-9,NP,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 10,Sample 10_Plate11.csv
O. fav,34,34-22,NP,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 11,Sample 11_Plate11.csv
O. fav,20,20-3,Control,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 12,Sample 12_Plate11.csv
O. fav,20,20-4,Control,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 13,Sample 13_Plate11.csv
O. fav,34,34-8,Control,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 14,Sample 14_Plate11.csv
O. fav,34,34-23,Control,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 15,Sample 15_Plate11.csv
O. fav,20,20-29,N,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 16,Sample 16_Plate11.csv
O. fav,20,20-41,N,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 17,Sample 17_Plate11.csv
O. fav,34,34-24,N,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 18,Sample 18_Plate11.csv
O. fav,34,34-25,N,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 19,Sample 19_Plate11.csv
O. fav,20,20-11,NP,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 20,Sample 20_Plate11.csv
O. fav,20,20-50,NP,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 21,Sample 21_Plate11.csv
O. fav,34,34-21,NP,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate11,Sample 22,Sample 22_Plate11.csv
O. fav,6,6-83,Control,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 1,Sample 1_Plate12.csv
O. fav,6,6-112,Control,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 2,Sample 2_Plate12.csv
O. fav,31,31-41,Control,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 3,Sample 3_Plate12.csv
O. fav,31,31-45,Control,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 4,Sample 4_Plate12.csv
O. fav,6,6-9,N,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 5,Sample 5_Plate12.csv
O. fav,6,6-96,N,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 6,Sample 6_Plate12.csv
O. fav,31,31-43,N,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 7,Sample 7_Plate12.csv
O. fav,6,6-61,NP,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 8,Sample 8_Plate12.csv
O. fav,6,6-115,NP,R1,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 9,Sample 9_Plate12.csv
O. fav,6,6-85,Control,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 10,Sample 10_Plate12.csv
O. fav,6,6-116,Control,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 11,Sample 11_Plate12.csv
O. fav,31,31-46,Control,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 12,Sample 12_Plate12.csv
O. fav,6,6-19,N,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 13,Sample 13_Plate12.csv
O. fav,31,31-10,N,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate12,Sample 14,Sample 14_Plate12.csv
O. fav,34,34-32,NP,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, C, D",Plate15,Sample 1,Sample 1_Plate15.csv
O. fav,20,20-14,Control,R1,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 2,Sample 2_Plate15.csv
O. fav,34,34-36,Control,R1,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 3,Sample 3_Plate15.csv
O. fav,20,20-28,N,R1,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 4,Sample 4_Plate15.csv
O. fav,34,34-38,N,R1,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 5,Sample 5_Plate15.csv
O. fav,20,20-40,NP,R1,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 6,Sample 6_Plate15.csv
O. fav,34,34-4,NP,R1,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 7,Sample 7_Plate15.csv
O. fav,20,20-21,Control,R2,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 8,Sample 8_Plate15.csv
O. fav,34,34-11,Control,R2,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 9,Sample 9_Plate15.csv
O. fav,20,20-45,N,R2,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 10,Sample 10_Plate15.csv
O. fav,34,34-10,N,R2,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 11,Sample 11_Plate15.csv
O. fav,20,20-43,NP,R2,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 12,Sample 12_Plate15.csv
O. fav,34,34-7,NP,R2,2018-02-05,2018-03-14,,,,,"Ofav, C, D",Plate15,Sample 13,Sample 13_Plate15.csv
O. fav,6,6-6,Control,R1,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 1,Sample 1_Plate16.csv
O. fav,31,31-34,Control,R1,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 2,Sample 2_Plate16.csv
O. fav,6,6-81,N,R1,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 3,Sample 3_Plate16.csv
O. fav,31,31-30,N,R1,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 4,Sample 4_Plate16.csv
O. fav,6,6-86,NP,R1,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 5,Sample 5_Plate16.csv
O. fav,31,31-40,NP,R1,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 6,Sample 6_Plate16.csv
O. fav,6,6-40,Control,R2,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 7,Sample 7_Plate16.csv
O. fav,31,31-24,Control,R2,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 8,Sample 8_Plate16.csv
O. fav,6,6-118,N,R2,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 9,Sample 9_Plate16.csv
O. fav,31,31-8,N,R2,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 10,Sample 10_Plate16.csv
O. fav,6,6-82,NP,R2,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 11,Sample 11_Plate16.csv
O. fav,31,31-2,NP,R2,2018-02-05,2018-03-14,,,,,"Ofav, B, C, D",Plate16,Sample 12,Sample 12_Plate16.csv
O. fav,6,6-49,NP,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate16,Sample 13,Sample 13_Plate16.csv
O. fav,6,6-72,NP,R2,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,,"Ofav, B, C, D",Plate16,Sample 14,Sample 14_Plate16.csv
O. fav,20,20-19,Control,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 1,Sample 1_Plate13.csv
O. fav,20,20-30,Control,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 2,Sample 2_Plate13.csv
O. fav,34,34-20,Control,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 3,Sample 3_Plate13.csv
O. fav,34,34-49,Control,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 4,Sample 4_Plate13.csv
O. fav,20,20-2,N,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 5,Sample 5_Plate13.csv
O. fav,20,20-46,N,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 6,Sample 6_Plate13.csv
O. fav,34,34-5,N,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 7,Sample 7_Plate13.csv
O. fav,34,34-44,N,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 8,Sample 8_Plate13.csv
O. fav,20,20-17,NP,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 9,Sample 9_Plate13.csv
O. fav,20,20-34,NP,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 10,Sample 10_Plate13.csv
O. fav,34,34-9,NP,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 11,Sample 11_Plate13.csv
O. fav,34,34-22,NP,R1,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 12,Sample 12_Plate13.csv
O. fav,20,20-3,Control,R2,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 13,Sample 13_Plate13.csv
O. fav,20,20-4,Control,R2,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 14,Sample 14_Plate13.csv
O. fav,34,34-8,Control,R2,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 15,Sample 15_Plate13.csv
O. fav,34,34-23,Control,R2,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 16,Sample 16_Plate13.csv
O. fav,20,20-29,N,R2,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 17,Sample 17_Plate13.csv
O. fav,20,20-41,N,R2,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 18,Sample 18_Plate13.csv
O. fav,34,34-24,N,R2,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 19,Sample 19_Plate13.csv
O. fav,34,34-25,N,R2,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 20,Sample 20_Plate13.csv
O. fav,20,20-11,NP,R2,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 21,Sample 21_Plate13.csv
O. fav,20,20-50,NP,R2,2018-03-06,,,,,,"Ofav, C, D",Plate13,Sample 22,Sample 22_Plate13.csv
O. fav,6,6-83,Control,R1,2018-03-06,,,,,,"Ofav, B, C, D",Plate14,Sample 1,Sample 1_Plate14.csv
O. fav,6,6-112,Control,R1,2018-03-06,,,,,,"Ofav, B, C, D",Plate14,Sample 2,Sample 2_Plate14.csv
O. fav,6,6-9,N,R1,2018-03-06,,,,,,"Ofav, B, C, D",Plate14,Sample 3,Sample 3_Plate14.csv
O. fav,6,6-96,N,R1,2018-03-06,,,,,,"Ofav, B, C, D",Plate14,Sample 4,Sample 4_Plate14.csv
O. fav,6,6-61,NP,R1,2018-03-06,,,,,,"Ofav, B, C, D",Plate14,Sample 5,Sample 5_Plate14.csv
O. fav,6,6-115,NP,R1,2018-03-06,,,,,,"Ofav, B, C, D",Plate14,Sample 6,Sample 6_Plate14.csv
O. fav,6,6-85,Control,R2,2018-03-06,,,,,,"Ofav, B, C, D",Plate14,Sample 7,Sample 7_Plate14.csv
O. fav,6,6-116,Control,R2,2018-03-06,,,,,,"Ofav, B, C, D",Plate14,Sample 8,Sample 8_Plate14.csv
O. fav,6,6-12,N,R2,2018-03-06,,,,,,"Ofav, B, C, D",Plate14,Sample 9,Sample 9_Plate14.csv
O. fav,6,6-19,N,R2,2018-03-06,,,,,,"Ofav, B, C, D",Plate14,Sample 10,Sample 10_Plate14.csv
O. fav,6,6-72,NP,R2,2018-03-06,,,,,,"Ofav, B, C, D",Plate14,Sample 11,Sample 11_Plate14.csv
O. fav,34,34-21,NP,R2,2018-03-06,,,,,,"Ofav, C, D",Plate14,Sample 12,Sample 12_Plate14.csv
O. fav,34,34-32,NP,R2,2018-03-06,,,,,,"Ofav, C, D",Plate14,Sample 13,Sample 13_Plate14.csv
O. fav,31,31-34,Control,R1,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 1,Sample 1_Plate21.csv
O. fav,31,31-41,Control,R1,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 2,Sample 2_Plate21.csv
O. fav,31,31-45,Control,R1,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 3,Sample 3_Plate21.csv
O. fav,31,31-25,N,R1,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 4,Sample 4_Plate21.csv
O. fav,31,31-30,N,R1,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 5,Sample 5_Plate21.csv
O. fav,31,31-43,N,R1,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 6,Sample 6_Plate21.csv
O. fav,31,31-17,NP,R1,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 7,Sample 7_Plate21.csv
O. fav,31,31-39,NP,R1,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 8,Sample 8_Plate21.csv
O. fav,31,31-40,NP,R1,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 9,Sample 9_Plate21.csv
O. fav,31,31-13,Control,R2,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 10,Sample 10_Plate21.csv
O. fav,31,31-24,Control,R2,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 11,Sample 11_Plate21.csv
O. fav,31,31-46,Control,R2,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 12,Sample 12_Plate21.csv
O. fav,31,31-3,N,R2,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 13,Sample 13_Plate21.csv
O. fav,31,31-8,N,R2,2017-11-15,,,,,2018-10-24,"Ofav, B, C, D",Plate21,Sample 14,Sample 14_Plate21.csv
O. fav,31,31-34,Control,R1,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 1,Sample 1_Plate22.csv
O. fav,31,31-41,Control,R1,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 2,Sample 2_Plate22.csv
O. fav,31,31-45,Control,R1,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 3,Sample 3_Plate22.csv
O. fav,31,31-25,N,R1,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 4,Sample 4_Plate22.csv
O. fav,31,31-30,N,R1,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 5,Sample 5_Plate22.csv
O. fav,31,31-43,N,R1,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 6,Sample 6_Plate22.csv
O. fav,31,31-17,NP,R1,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 7,Sample 7_Plate22.csv
O. fav,31,31-39,NP,R1,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 8,Sample 8_Plate22.csv
O. fav,31,31-40,NP,R1,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 9,Sample 9_Plate22.csv
O. fav,31,31-13,Control,R2,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 10,Sample 10_Plate22.csv
O. fav,31,31-24,Control,R2,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 11,Sample 11_Plate22.csv
O. fav,31,31-46,Control,R2,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 12,Sample 12_Plate22.csv
O. fav,31,31-3,N,R2,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 13,Sample 13_Plate22.csv
O. fav,31,31-8,N,R2,2017-12-15,,,,,2018-10-24,"Ofav, B, C, D",Plate22,Sample 14,Sample 14_Plate22.csv
O. fav,31,31-34,Control,R1,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 1,Sample 1_Plate23.csv
O. fav,31,31-41,Control,R1,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 2,Sample 2_Plate23.csv
O. fav,31,31-45,Control,R1,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 3,Sample 3_Plate23.csv
O. fav,31,31-25,N,R1,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 4,Sample 4_Plate23.csv
O. fav,31,31-30,N,R1,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 5,Sample 5_Plate23.csv
O. fav,31,31-43,N,R1,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 6,Sample 6_Plate23.csv
O. fav,31,31-17,NP,R1,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 7,Sample 7_Plate23.csv
O. fav,31,31-39,NP,R1,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 8,Sample 8_Plate23.csv
O. fav,31,31-40,NP,R1,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 9,Sample 9_Plate23.csv
O. fav,31,31-13,Control,R2,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 10,Sample 10_Plate23.csv
O. fav,31,31-24,Control,R2,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 11,Sample 11_Plate23.csv
O. fav,31,31-46,Control,R2,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 12,Sample 12_Plate23.csv
O. fav,31,31-3,N,R2,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 13,Sample 13_Plate23.csv
O. fav,31,31-8,N,R2,2018-01-26,,,,,2018-10-24,"Ofav, B, C, D",Plate23,Sample 14,Sample 14_Plate23.csv
O. fav,31,31-41,Control,R1,2018-02-23,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 1,Sample 1_Plate24.csv
O. fav,31,31-45,Control,R1,2018-02-23,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 2,Sample 2_Plate24.csv
O. fav,31,31-25,N,R1,2018-02-23,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 3,Sample 3_Plate24.csv
O. fav,31,31-43,N,R1,2018-02-23,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 4,Sample 4_Plate24.csv
O. fav,31,31-46,Control,R2,2018-02-23,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 5,Sample 5_Plate24.csv
O. fav,31,31-10,N,R2,2018-02-23,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 6,Sample 6_Plate24.csv
O. fav,31,31-10,N,R2,2017-11-15,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 7,Sample 7_Plate24.csv
O. fav,31,31-2,NP,R2,2017-11-15,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 8,Sample 8_Plate24.csv
O. fav,31,31-11,NP,R2,2017-11-15,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 9,Sample 9_Plate24.csv
O. fav,31,31-49,NP,R2,2017-11-15,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 10,Sample 10_Plate24.csv
O. fav,31,31-10,N,R2,2017-12-15,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 11,Sample 11_Plate24.csv
O. fav,31,31-2,NP,R2,2017-12-15,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 12,Sample 12_Plate24.csv
O. fav,31,31-11,NP,R2,2017-12-15,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 13,Sample 13_Plate24.csv
O. fav,31,31-49,NP,R2,2017-12-15,,,,,2018-10-26,"Ofav, B, C, D",Plate24,Sample 14,Sample 14_Plate24.csv
O. fav,31,31-10,N,R2,2018-01-26,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 1,Sample 1_Plate20.csv
O. fav,31,31-2,NP,R2,2018-01-26,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 2,Sample 2_Plate20.csv
O. fav,31,31-11,NP,R2,2018-01-26,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 3,Sample 3_Plate20.csv
O. fav,31,31-49,NP,R2,2018-01-26,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 4,Sample 4_Plate20.csv
O. fav,34,34-25,N,R2,2017-11-15,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 5,Sample 5_Plate20.csv
O. fav,6,6-49,NP,R2,2017-11-15,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 6,Sample 6_Plate20.csv
O. fav,6,6-72,NP,R2,2017-11-15,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 7,Sample 7_Plate20.csv
O. fav,6,6-82,NP,R2,2017-11-15,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 8,Sample 8_Plate20.csv
O. fav,20,20-11,NP,R2,2017-11-15,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 9,Sample 9_Plate20.csv
O. fav,20,20-43,NP,R2,2017-11-15,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 10,Sample 10_Plate20.csv
O. fav,20,20-50,NP,R2,2017-11-15,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 11,Sample 11_Plate20.csv
O. fav,34,34-7,NP,R2,2017-11-15,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 12,Sample 12_Plate20.csv
O. fav,34,34-21,NP,R2,2017-11-15,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 13,Sample 13_Plate20.csv
O. fav,34,34-32,NP,R2,2017-11-15,,,,,2018-10-25,"Ofav, B, C, D",Plate20,Sample 14,Sample 14_Plate20.csv
O. fav,6,6-6,Control,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 1,Sample 1_Plate18.csv
O. fav,6,6-83,Control,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 2,Sample 2_Plate18.csv
O. fav,6,6-112,Control,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 3,Sample 3_Plate18.csv
O. fav,20,20-14,Control,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 4,Sample 4_Plate18.csv
O. fav,20,20-19,Control,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 5,Sample 5_Plate18.csv
O. fav,20,20-30,Control,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 6,Sample 6_Plate18.csv
O. fav,34,34-20,Control,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 7,Sample 7_Plate18.csv
O. fav,34,34-36,Control,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 8,Sample 8_Plate18.csv
O. fav,34,34-49,Control,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 9,Sample 9_Plate18.csv
O. fav,6,6-9,N,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 10,Sample 10_Plate18.csv
O. fav,6,6-81,N,R1,2017-11-15,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 11,Sample 11_Plate18.csv
O. fav,6,6-6,Control,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 12,Sample 12_Plate18.csv
O. fav,6,6-83,Control,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 13,Sample 13_Plate18.csv
O. fav,6,6-112,Control,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 14,Sample 14_Plate18.csv
O. fav,20,20-14,Control,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 15,Sample 15_Plate18.csv
O. fav,20,20-19,Control,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 16,Sample 16_Plate18.csv
O. fav,20,20-30,Control,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 17,Sample 17_Plate18.csv
O. fav,34,34-20,Control,R1,2018-01-26,,,,,2018-10-26,"Ofav, C, D",Plate18,Sample 18,Sample 18_Plate18.csv
