Spp,Colony,Core,Treatment,Rep,Date,ProK,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample_Plate
O. fav,34,34-7,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 16,Sample 16_Plate3.csv
O. fav,34,34-21,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 17,Sample 17_Plate3.csv
O. fav,34,34-32,NP,R2,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-01-30,"Ofav, C, D",Plate3,Sample 18,Sample 18_Plate3.csv
O. fav,6,6-6,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 1,Sample 1_Plate4.csv
O. fav,6,6-83,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 2,Sample 2_Plate4.csv
O. fav,6,6-112,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 3,Sample 3_Plate4.csv
O. fav,31,31-34,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 4,Sample 4_Plate4.csv
O. fav,31,31-41,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 5,Sample 5_Plate4.csv
O. fav,31,31-45,Control,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 6,Sample 6_Plate4.csv
O. fav,6,6-9,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 7,Sample 7_Plate4.csv
O. fav,6,6-81,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 8,Sample 8_Plate4.csv
O. fav,6,6-96,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 9,Sample 9_Plate4.csv
O. fav,31,31-25,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 10,Sample 10_Plate4.csv
O. fav,31,31-30,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 11,Sample 11_Plate4.csv
O. fav,31,31-43,N,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 12,Sample 12_Plate4.csv
O. fav,6,6-61,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 13,Sample 13_Plate4.csv
O. fav,6,6-86,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate4,Sample 14,Sample 14_Plate4.csv
O. fav,6,6-115,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 1,Sample 1_Plate5.csv
O. fav,31,31-17,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 2,Sample 2_Plate5.csv
O. fav,31,31-39,NP,R1,2017-12-15,2017-12-15,2017-12-23,2017-12-27,2017-12-28,2018-03-07,"Ofav, B, C, D",Plate5,Sample 3,Sample 3_Plate5.csv
