,Sample.Name,File.Name,B.CT.mean,C.CT.mean,D.CT.mean,Ofav.CT.mean,B.CT.sd,C.CT.sd,D.CT.sd,Ofav.CT.sd,B.reps,C.reps,D.reps,Ofav.reps,B.Ofav,C.Ofav,D.Ofav,Sample.Plate,TotalSH,logB.SH,logC.SH,logD.SH,logSH,Treatment,Replicate,Colony,Core,Date,Sample,D.Prp,C.Prp,B.Prp,Community,RanA
301,Sample 10,Plate8.csv,NA,NA,31.3528957367,22.9482269287,NA,NA,0.1208164701,0.012359479,0,0,2,2,0,0,0.0023761413,Sample 10_Plate8.csv,0.0023761413,NA,NA,-2.6241277317,-2.6241277317,Control,R1,6,6-83,2018-01-26,6-83_2018-01-26,1,0,0,D,2
313,Sample 14,Plate9.csv,NA,NA,31.7098608017,20.8354377747,NA,NA,0.1834028542,0.1231497196,0,0,2,2,0,0,0.0004289455,Sample 14_Plate9.csv,0.0004289455,NA,NA,-3.3675978335,-3.3675978335,Control,R2,6,6-85,2018-01-26,6-85_2018-01-26,1,0,0,D,2
318,Sample 8,Plate9.csv,NA,NA,29.6965265274,20.6476078034,NA,NA,0.1804114395,0.143347838,0,0,2,2,0,0,0.0015203155,Sample 8_Plate9.csv,0.0015203155,NA,NA,-2.8180662811,-2.8180662811,NP,R1,6,6-86,2018-01-26,6-86_2018-01-26,1,0,0,D,2
185,Sample 3,Plate28.csv,NA,NA,27.6638851166,20.1204538345,NA,NA,0.0724548158,0.2683412294,0,0,2,2,0,0,0.0043164886,Sample 3_Plate28.csv,0.0043164886,NA,NA,-2.364869403,-2.364869403,Control,R1,20,20-19,2018-02-23,20-19_2018-02-23,1,0,0,D,2
197,Sample 9,Plate29.csv,NA,NA,27.5879058838,21.4683952332,NA,NA,0.117091363,0.0388344434,0,0,2,2,0,0,0.0115817295,Sample 9_Plate29.csv,0.0115817295,NA,NA,-1.9362265815,-1.9362265815,Control,R2,20,20-3,2018-02-23,20-3_2018-02-23,1,0,0,D,2
176,Sample 10,Plate28.csv,NA,NA,27.1774168015,23.7813472748,NA,NA,0.0441793381,0.320785396,0,0,2,2,0,0,0.0764910968,Sample 10_Plate28.csv,0.0764910968,NA,NA,-1.1163891117,-1.1163891117,N,R1,20,20-46,2018-02-23,20-46_2018-02-23,1,0,0,D,2
192,Sample 2,Plate29.csv,NA,30.8252204895,26.2755146027,24.8380947113,NA,NA,0.1209432478,1.0023909736,0,1,2,2,0,0,0.2973193533,Sample 2_Plate29.csv,0.2973193533,NA,NA,-0.5267768205,-0.5267768205,NP,R1,6,6-115,2018-02-23,6-115_2018-02-23,1,0,0,D,2
186,Sample 1,Plate29.csv,NA,NA,24.0255994797,21.0044898987,NA,NA,0.2146899772,0.579449709,0,0,2,2,0,0,0.0991939259,Sample 1_Plate29.csv,0.0991939259,NA,NA,-1.0035149209,-1.0035149209,NP,R1,6,6-61,2018-02-23,6-61_2018-02-23,1,0,0,D,2
179,Sample 14,Plate28.csv,NA,NA,28.4021253586,20.7680721283,NA,NA,0.1166907993,0.5269124823,0,0,2,2,0,0,0.0040536913,Sample 14_Plate28.csv,0.0040536913,NA,NA,-2.3921493277,-2.3921493277,Control,R1,20,20-19,2018-03-06,20-19_2018-03-06,1,0,0,D,2
194,Sample 21,Plate29.csv,NA,31.4708808899,26.1370401383,21.7504148484,NA,NA,0.0786439963,0.0747381635,0,1,2,2,0,0,0.0384967344,Sample 21_Plate29.csv,0.0384967344,NA,NA,-1.4145761089,-1.4145761089,Control,R2,20,20-4,2018-03-06,20-4_2018-03-06,1,0,0,D,2
183,Sample 21,Plate28.csv,NA,NA,27.5171871186,22.0004663468,NA,NA,0.4194589234,0.060878931,0,0,2,2,0,0,0.0175885992,Sample 21_Plate28.csv,0.0175885992,NA,NA,-1.7547687469,-1.7547687469,N,R1,20,20-46,2018-03-06,20-46_2018-03-06,1,0,0,D,2
180,Sample 16,Plate28.csv,NA,31.91927948,27.4915819168,23.7272157669,NA,2.1761854251,0.347078286,0.3444267434,0,2,2,2,0,0.000359142,0.0592573952,Sample 16_Plate28.csv,0.0596165372,NA,-3.4447338022,-1.2272574426,-1.2246332531,Control,R1,34,34-20,2018-03-06,34-20_2018-03-06,0.993975799,0.006024201,0,D,2
190,Sample 17,Plate29.csv,NA,30.952230835,27.5989780426,21.7363376618,NA,NA,0.0786723189,0.2024100714,0,1,2,2,0,0,0.0138388205,Sample 17_Plate29.csv,0.0138388205,NA,NA,-1.8589009253,-1.8589009253,NP,R1,34,34-22,2018-03-06,34-22_2018-03-06,1,0,0,D,2
184,Sample 22,Plate28.csv,NA,NA,26.1531600952,22.9354858399,NA,NA,0.0071993561,0.3600999763,0,0,2,2,0,0,0.0865591964,Sample 22_Plate28.csv,0.0865591964,NA,NA,-1.062686784,-1.062686784,N,R1,34,34-44,2018-03-06,34-44_2018-03-06,1,0,0,D,2
229,Sample 6,Plate9.csv,NA,NA,37.2282905579,24.0672893524,NA,NA,1.696971037,0.5058296171,0,0,2,2,0,0,8.79171391001791E-05,Sample 6_Plate9.csv,8.79171391001791E-05,NA,NA,-4.0559264527,-4.0559264527,N,R1,31,31-43,2018-01-26,31-43_2018-01-26,2,2,,,
