Name,NA - 1,NA - 2,007 - 1,007 - 2,181 - 1,181 - 2
7_G,No peaks,No peaks,121,149,No peaks,No peaks
7_GO,No peaks,No peaks,121,149,No peaks,No peaks
7_O,No peaks,No peaks,149,149,No peaks,No peaks
7_RO,No peaks,No peaks,145,145,No peaks,No peaks
7_RY,No peaks,No peaks,149,149,No peaks,No peaks
7_Y,No peaks,No peaks,129,149,No peaks,No peaks


