Original Collection Date,MoteGen,Collection Habitat,Lat,Lon,Genotype,Gen,WB
2/23/08,Acer_01,Reef Margin,24.56937,-81.33028,Red and Green,R-G,S
2/23/08,Acer_07,Midchannel,24.56038,-81.50137,Red and Orange,R-O,S
2/23/08,Acer_08,Midchannel,24.58353,-81.43298,Yellow,Yellow,S
3/18/10,Acer_31,Offshore,24.5477,-81.45696,Orange,Orange,R
3/26/10,Acer_34,Reef Margin,24.53865,-81.44358,Red,Red,R
5/10/10,Acer_41,Offshore,24.5532,-81.43758,Orange and Yellow,O-Y,S
5/28/10,Acer_48,Offshore,24.5215,-81.5769,Green,Green,S
7/30/10,Acer_50,Midchannel,24.54854,-81.53308,Red and Yellow,R-Y,S
5/21/13,Acer_62,Midchannel,24.52983,-81.64069,Green and Orange,G-O,S
