"DaysF","Community","emmean","SE","df","lower.CL","upper.CL",".group"
"113","C3",0.13732342877,0.0910058675450241,77,-0.043892404985162,0.318539262525163," 1   "
"113","C1",0.3898689266,0.0959286072939575,77,0.198850665682421,0.580887187517579," 12  "
"113","D",0.594111653639131,0.0600074920236323,77,0.474621471390839,0.713601835887422,"  2  "
"82","C1",1.15703840832222,0.0959286072939576,77,0.966020147404642,1.3480566692398,"   3 "
"82","D",1.22077141259,0.0643508660688513,77,1.09263246768335,1.34891035749665,"   3 "
"82","C3",1.66782109068333,0.0830766108662283,77,1.50239442414199,1.83324775722468,"    4"
