"Community","Treatment","DaysF","emmean","SE","df","lower.CL","upper.CL",".group"
"C3","A","82",6.21182173447172,0.673464436051594,14.4685364122255,4.77176017076452,7.65188329817891,"     56"
"C1","A","82",3.35571016669674,0.641596894871584,18.1128138072192,2.00836664539842,4.70305368799505,"  2345 "
"D","A","82",3.80554392142089,0.525251214221144,10.9553254647012,2.64889835733844,4.96218948550335,"   345 "
"C3","N","82",7.07906392567392,0.699251000081773,14.8509391762664,5.58734171101916,8.57078614032869,"      6"
"C1","N","82",4.22295235789894,0.65303840781121,19.7350959849697,2.85956495771851,5.58633975807937,"   3456"
"D","N","82",4.6727861126231,0.501662460557801,10.0172322672842,3.55527308013938,5.79029914510681,"    456"
"C3","N+P","82",7.06292496566325,0.673114554229333,14.5372042029193,5.62422689080142,8.50162304052508,"      6"
"C1","N+P","82",4.20681339788827,0.672721306165023,20.8024030781089,2.80700326353475,5.6066235322418,"   3456"
"D","N+P","82",4.65664715261243,0.515299887419376,10.2834673408266,3.51276305982027,5.80053124540459,"    456"
"C3","A","113",1.03487806653267,0.693118604164561,15.3927288742827,-0.439193090385199,2.50894922345054," 123   "
"C1","A","113",0.462876476197099,0.639081803308208,18.0860505135465,-0.879326815840714,1.80507976823491," 1     "
"D","A","113",0.936923881725509,0.506160293491471,10.2827124331054,-0.186682601342163,2.06053036479318," 1     "
"C3","N","113",1.90212025773488,0.729115421439352,16.6202742185047,0.361139552483919,3.44310096298584," 1234  "
"C1","N","113",1.33011866739931,0.650680553818934,19.6849168647377,-0.0285712819906965,2.68880861678931," 1     "
"D","N","113",1.80416607292772,0.479057563365386,8.93002346556847,0.719166708845381,2.88916543701005," 12    "
"C3","N+P","113",1.88598129772421,0.692580571156313,15.4458334348943,0.413483267199036,3.35847932824938," 1234  "
"C1","N+P","113",1.31397970738864,0.642001844350928,17.9379003201306,-0.0351508976366652,2.66311031241394," 1     "
"D","N+P","113",1.78802711291705,0.506212985493901,10.3793648674098,0.665677402072872,2.91037682376122," 12    "
