"Sample","Date","Spp","Fragment","Treatment","Replicate","YII","Genotype","Days","Time_Point","Phase","TotalSH","logSH","D.Prp","Community","InitialCommunity","DaysF","Nutrients"
"Ac_157_T13",2018-01-30,"Ac","Ac_157","A","R1",0.592,"G_31",76,"T13","Nutrients",0.139665023090281,-0.854912342495765,0,"A","A","76","Ambient"
"Ac_158_T13",2018-01-30,"Ac","Ac_158","N","R1",0.63,"G_31",76,"T13","Nutrients",0.113246837747666,-0.94597391618412,0,"A","A","76","Nutrients"
"Ac_159_T13",2018-01-30,"Ac","Ac_159","N+P","R1",0.588,"G_31",76,"T13","Nutrients",0.053960318379345,-1.26792549654675,0,"A","A","76","Nutrients"
"Ac_160_T13",2018-01-30,"Ac","Ac_160","A","R2",0.565,"G_31",76,"T13","Nutrients",0.159601118891987,-0.796964068330448,0,"A","A","76","Ambient"
"Ac_162_T13",2018-01-30,"Ac","Ac_162","A","R1",0.525,"G_07",76,"T13","Nutrients",0.209140253444475,-0.679562370021495,0,"A","A","76","Ambient"
"Ac_164_T13",2018-01-30,"Ac","Ac_164","N","R1",0.59,"G_07",76,"T13","Nutrients",0.030544208597399,-1.51507112298688,0,"A","A","76","Nutrients"
"Ac_165_T13",2018-01-30,"Ac","Ac_165","N+P","R1",0.568,"G_07",76,"T13","Nutrients",0.072571287258502,-1.13923517340039,0,"A","A","76","Nutrients"
"Ac_166_T13",2018-01-30,"Ac","Ac_166","A","R2",0.479,"G_07",76,"T13","Nutrients",0.368322815229547,-0.433771378561855,0,"A","A","76","Ambient"
"Ac_168_T13",2018-01-30,"Ac","Ac_168","N+P","R2",0.547,"G_07",76,"T13","Nutrients",0.162616175009225,-0.788836258447521,0,"A","A","76","Nutrients"
"Ac_169_T13",2018-01-30,"Ac","Ac_169","A","R1",0.501,"G_07",76,"T13","Nutrients",0.219461940363553,-0.658640785322849,0,"A","A","76","Ambient"
"Ac_170_T13",2018-01-30,"Ac","Ac_170","N","R1",0.578,"G_07",76,"T13","Nutrients",0.16893529375178,-0.772279608686001,0,"A","A","76","Nutrients"
"Ac_171_T13",2018-01-30,"Ac","Ac_171","N+P","R1",0.553,"G_07",76,"T13","Nutrients",0.068229652123322,-1.16602684301449,0,"A","A","76","Nutrients"
"Ac_173_T13",2018-01-30,"Ac","Ac_173","A","R2",0.481,"G_07",76,"T13","Nutrients",0.335536744878686,-0.474259912978661,0,"A","A","76","Ambient"
"Ac_174_T13",2018-01-30,"Ac","Ac_174","N","R2",0.681,"G_07",76,"T13","Nutrients",0.009729238936076,-2.01192113083028,0,"A","A","76","Nutrients"
"Ac_175_T13",2018-01-30,"Ac","Ac_175","N+P","R2",0.595,"G_07",76,"T13","Nutrients",0.040696334587534,-1.39044470478199,0,"A","A","76","Nutrients"
"Ac_176_T13",2018-01-30,"Ac","Ac_176","A","R1",0.579,"G_48",76,"T13","Nutrients",0.240655728579043,-0.61860379589954,0,"A","A","76","Ambient"
"Ac_177_T13",2018-01-30,"Ac","Ac_177","N","R1",0.615,"G_48",76,"T13","Nutrients",0.191716002786886,-0.717341634477326,0,"A","A","76","Nutrients"
"Ac_178_T13",2018-01-30,"Ac","Ac_178","N+P","R1",0.636,"G_48",76,"T13","Nutrients",0.152887532654383,-0.815627928061614,0,"A","A","76","Nutrients"
"Ac_179_T13",2018-01-30,"Ac","Ac_179","A","R2",0.603,"G_48",76,"T13","Nutrients",0.263987709906732,-0.578416291478397,0,"A","A","76","Ambient"
"Ac_180_T13",2018-01-30,"Ac","Ac_180","N","R2",0.615,"G_48",76,"T13","Nutrients",0.297413630067885,-0.526639132224193,0,"A","A","76","Nutrients"
"Ac_181_T13",2018-01-30,"Ac","Ac_181","N+P","R2",0.614,"G_48",76,"T13","Nutrients",0.376714291368148,-0.423987903702776,0,"A","A","76","Nutrients"
"Ac_182_T13",2018-01-30,"Ac","Ac_182","A","R1",0.586,"G_48",76,"T13","Nutrients",0.232538688802757,-0.633504780684906,0,"A","A","76","Ambient"
"Ac_183_T13",2018-01-30,"Ac","Ac_183","N","R1",0.615,"G_48",76,"T13","Nutrients",0.299067422469478,-0.52423089225888,0,"A","A","76","Nutrients"
"Ac_184_T13",2018-01-30,"Ac","Ac_184","N+P","R1",0.618,"G_48",76,"T13","Nutrients",0.114034531796386,-0.942963616227479,0,"A","A","76","Nutrients"
"Ac_186_T13",2018-01-30,"Ac","Ac_186","A","R2",0.591,"G_48",76,"T13","Nutrients",0.298136035964386,-0.525585527239369,0,"A","A","76","Ambient"
"Ac_187_T13",2018-01-30,"Ac","Ac_187","N","R2",0.601,"G_48",76,"T13","Nutrients",0.401798106609381,-0.395992114106026,0,"A","A","76","Nutrients"
"Ac_188_T13",2018-01-30,"Ac","Ac_188","N+P","R2",0.617,"G_48",76,"T13","Nutrients",0.410098584963427,-0.387111729233938,0,"A","A","76","Nutrients"
"Ac_189_T13",2018-01-30,"Ac","Ac_189","A","R1",0.59,"G_48",76,"T13","Nutrients",0.345568272403161,-0.461466138162941,0,"A","A","76","Ambient"
"Ac_190_T13",2018-01-30,"Ac","Ac_190","N","R1",0.621,"G_48",76,"T13","Nutrients",0.213386775025801,-0.67083250014724,0,"A","A","76","Nutrients"
"Ac_204_T13",2018-01-30,"Ac","Ac_204","A","R1",0.58,"G_50",76,"T13","Nutrients",0.050908228389566,-1.29321201618252,0,"A","A","76","Ambient"
"Ac_216_T13",2018-01-30,"Ac","Ac_216","N+P","R1",0.59,"G_62",76,"T13","Nutrients",0.151989405743777,-0.818186683024758,0,"A","A","76","Nutrients"
"Ac_217_T13",2018-01-30,"Ac","Ac_217","A","R2",0.561,"G_62",76,"T13","Nutrients",0.465399856428275,-0.332173755025261,0,"A","A","76","Ambient"
"Ac_218_T13",2018-01-30,"Ac","Ac_218","N","R2",0.614,"G_62",76,"T13","Nutrients",0.5245101770705,-0.280246080773224,0,"A","A","76","Nutrients"
"Ac_219_T13",2018-01-30,"Ac","Ac_219","N+P","R2",0.608,"G_62",76,"T13","Nutrients",0.282249449210364,-0.549366896896823,0,"A","A","76","Nutrients"
"Ac_220_T13",2018-01-30,"Ac","Ac_220","A","R1",0.552,"G_62",76,"T13","Nutrients",0.349906815489626,-0.456047598240989,0,"A","A","76","Ambient"
"Ac_221_T13",2018-01-30,"Ac","Ac_221","N","R1",0.608,"G_62",76,"T13","Nutrients",0.265271698721803,-0.576309081508751,0,"A","A","76","Nutrients"
"Ac_222_T13",2018-01-30,"Ac","Ac_222","N+P","R1",0.607,"G_62",76,"T13","Nutrients",0.131628397145928,-0.880650407125035,0,"A","A","76","Nutrients"
"Ac_223_T13",2018-01-30,"Ac","Ac_223","A","R2",0.557,"G_62",76,"T13","Nutrients",0.311983723816534,-0.505868062523379,0,"A","A","76","Ambient"
"Ac_224_T13",2018-01-30,"Ac","Ac_224","N","R2",0.61,"G_62",76,"T13","Nutrients",0.529257851141152,-0.276332690829592,0,"A","A","76","Nutrients"
"Ac_225_T13",2018-01-30,"Ac","Ac_225","N+P","R2",0.565,"G_62",76,"T13","Nutrients",0.522695509713728,-0.281751230751544,0,"A","A","76","Nutrients"
"Ac_226_T13",2018-01-30,"Ac","Ac_226","A","R1",0.581,"G_62",76,"T13","Nutrients",0.294133430272416,-0.531455612154816,0,"A","A","76","Ambient"
"Ac_227_T13",2018-01-30,"Ac","Ac_227","N","R1",0.601,"G_62",76,"T13","Nutrients",0.126924516617725,-0.896454481897394,0,"A","A","76","Nutrients"
"Ac_228_T13",2018-01-30,"Ac","Ac_228","N+P","R1",0.593,"G_62",76,"T13","Nutrients",0.214127600243944,-0.66932735016892,0,"A","A","76","Nutrients"
"Ac_229_T13",2018-01-30,"Ac","Ac_229","N+P","R2",0.609,"G_62",76,"T13","Nutrients",0.172664412862467,-0.762797163822588,0,"A","A","76","Nutrients"
"Ac_230_T13",2018-01-30,"Ac","Ac_230","N","R2",0.615,"G_62",76,"T13","Nutrients",0.450170264928793,-0.346623194817133,0,"A","A","76","Nutrients"
"Ac_231_T13",2018-01-30,"Ac","Ac_231","A","R2",0.577,"G_08",76,"T13","Nutrients",0.015959316443861,-1.79698571392619,0,"A","A","76","Ambient"
