"Sample","Date","Spp","Fragment","Treatment","Replicate","YII","Genotype","Days","Time_Point","Phase","TotalSH","logSH","D.Prp","Community","InitialCommunity","DaysF","Nutrients"
"Ac_102_T22",2018-03-05,"Ac","Ac_102","A","R2",0.457,"G_50",110,"T22","Heat",0.047515521399709,-1.32316450075109,0,"A","A","110","Ambient"
"Ac_105_T22",2018-03-05,"Ac","Ac_105","A","R1",0.388,"G_50",110,"T22","Heat",0.046586077450158,-1.33174385562751,0,"A","A","110","Ambient"
"Ac_108_T22",2018-03-05,"Ac","Ac_108","A","R2",0.426,"G_50",110,"T22","Heat",0.041078937315054,-1.38638079984052,0,"A","A","110","Ambient"
"Ac_116_T22",2018-03-05,"Ac","Ac_116","A","R1",0.469,"G_62",110,"T22","Heat",0.047121937541845,-1.32677686069906,0,"A","A","110","Ambient"
"Ac_119_T22",2018-03-05,"Ac","Ac_119","A","R2",0.449,"G_62",110,"T22","Heat",0.075810562027324,-1.12027028367356,0,"A","A","110","Ambient"
"Ac_122_T22",2018-03-05,"Ac","Ac_122","A","R1",0.346,"G_62",110,"T22","Heat",0.061641367179397,-1.21012773737926,0,"A","A","110","Ambient"
"Ac_125_T22",2018-03-05,"Ac","Ac_125","A","R2",0.397,"G_62",110,"T22","Heat",0.046376658015958,-1.33370055059933,0,"A","A","110","Ambient"
"Ac_128_T22",2018-03-05,"Ac","Ac_128","N+P","R2",0.34,"G_62",110,"T22","Heat",0.019424788097861,-1.71164371015545,0,"A","A","110","Nutrients"
"Ac_143_T22",2018-03-05,"Ac","Ac_143","A","R1",0.42,"G_08",110,"T22","Heat",0.065837011989091,-1.18152988779118,0,"A","A","110","Ambient"
"Ac_152_T22",2018-03-05,"Ac","Ac_152","A","R2",0.393,"G_31",110,"T22","Heat",0.028538289381455,-1.54457206256195,0,"A","A","110","Ambient"
"Ac_155_T22",2018-03-05,"Ac","Ac_155","N+P","R2",0.154,"G_31",110,"T22","Heat",0.015609224474928,-1.80661867378744,0,"A","A","110","Nutrients"
"Ac_157_T22",2018-03-05,"Ac","Ac_157","A","R1",0.405,"G_31",110,"T22","Heat",NA,NA,0,"A","A","110","Ambient"
"Ac_160_T22",2018-03-05,"Ac","Ac_160","A","R2",0.366,"G_31",110,"T22","Heat",0.012753549804094,-1.89436891752349,0,"A","A","110","Ambient"
"Ac_162_T22",2018-03-05,"Ac","Ac_162","A","R1",0.325,"G_07",110,"T22","Heat",0.05943854747564,-1.22593181215162,0,"A","A","110","Ambient"
"Ac_166_T22",2018-03-05,"Ac","Ac_166","A","R2",0.39,"G_07",110,"T22","Heat",0.076656007544436,-1.11545380374294,0,"A","A","110","Ambient"
"Ac_169_T22",2018-03-05,"Ac","Ac_169","A","R1",0.393,"G_07",110,"T22","Heat",0.043587028734162,-1.36064273521125,0,"A","A","110","Ambient"
"Ac_173_T22",2018-03-05,"Ac","Ac_173","A","R2",0.292,"G_07",110,"T22","Heat",0.022782070362594,-1.64240681115274,0,"A","A","110","Ambient"
"Ac_176_T22",2018-03-05,"Ac","Ac_176","A","R1",0.433,"G_48",110,"T22","Heat",0.057893398957284,-1.23737095198685,0,"A","A","110","Ambient"
"Ac_179_T22",2018-03-05,"Ac","Ac_179","A","R2",0.432,"G_48",110,"T22","Heat",0.048648619307333,-1.31292948089851,0,"A","A","110","Ambient"
"Ac_182_T22",2018-03-05,"Ac","Ac_182","A","R1",0.401,"G_48",110,"T22","Heat",0.039501265143935,-1.40338899459554,0,"A","A","110","Ambient"
"Ac_186_T22",2018-03-05,"Ac","Ac_186","A","R2",0.39,"G_48",110,"T22","Heat",0.068918861084663,-1.16166190807736,0,"A","A","110","Ambient"
"Ac_188_T22",2018-03-05,"Ac","Ac_188","N+P","R2",0.309,"G_48",110,"T22","Heat",0.024706640634907,-1.60718630166005,0,"A","A","110","Nutrients"
"Ac_204_T22",2018-03-05,"Ac","Ac_204","A","R1",0.405,"G_50",110,"T22","Heat",0.031250924299384,-1.50513713312996,0,"A","A","110","Ambient"
"Ac_217_T22",2018-03-05,"Ac","Ac_217","A","R2",0.418,"G_62",110,"T22","Heat",0.083247033371362,-1.07963123425893,0,"A","A","110","Ambient"
"Ac_220_T22",2018-03-05,"Ac","Ac_220","A","R1",0.456,"G_62",110,"T22","Heat",0.038354579929499,-1.41618276941126,0,"A","A","110","Ambient"
"Ac_225_T22",2018-03-05,"Ac","Ac_225","N+P","R2",0.292,"G_62",110,"T22","Heat",0.027690648871103,-1.55766686737333,0,"A","A","110","Nutrients"
"Ac_226_T22",2018-03-05,"Ac","Ac_226","A","R1",0.441,"G_62",110,"T22","Heat",0.03643686561803,-1.43845898909039,0,"A","A","110","Ambient"
"Ac_231_T22",2018-03-05,"Ac","Ac_231","A","R2",0.372,"G_08",110,"T22","Heat",0.062415262669156,-1.20470919745731,0,"A","A","110","Ambient"
