Spp,Fragment_ID,Date,Nutrient_Treatment,Replicate_Tank,YII,Genotype,Days_in_Experiment,Time_Point,Sample_ID,Phase,Symbiodiniaceae_genus
Ac,Ac_277,2017-11-16,Ambient,R2,0.621,G_48,1,T5,Ac_277_T5,Baseline,Symbiodinium
Ac,Ac_281,2017-11-16,Ambient,R1,0.636,G_48,1,T5,Ac_281_T5,Baseline,Symbiodinium
Ac,Ac_284,2017-11-16,Ambient,R2,0.624,G_48,1,T5,Ac_284_T5,Baseline,Symbiodinium
Ac,Ac_287,2017-11-16,Ambient,R1,0.611,G_48,1,T5,Ac_287_T5,Baseline,Symbiodinium
Ac,Ac_290,2017-11-16,Ambient,R2,0.622,G_48,1,T5,Ac_290_T5,Baseline,Symbiodinium
Ac,Ac_102,2017-11-16,Ambient,R2,0.604,G_50,1,T5,Ac_102_T5,Baseline,Symbiodinium
Ac,Ac_105,2017-11-16,Ambient,R1,0.616,G_50,1,T5,Ac_105_T5,Baseline,Symbiodinium
Ac,Ac_108,2017-11-16,Ambient,R2,0.614,G_50,1,T5,Ac_108_T5,Baseline,Symbiodinium
Ac,Ac_204,2017-11-16,Ambient,R1,0.605,G_50,1,T5,Ac_204_T5,Baseline,Symbiodinium
Ac,Ac_116,2017-11-16,Ambient,R1,0.63,G_62,1,T5,Ac_116_T5,Baseline,Symbiodinium
Ac,Ac_119,2017-11-16,Ambient,R2,0.611,G_62,1,T5,Ac_119_T5,Baseline,Symbiodinium
Ac,Ac_122,2017-11-16,Ambient,R1,0.623,G_62,1,T5,Ac_122_T5,Baseline,Symbiodinium
Ac,Ac_125,2017-11-16,Ambient,R2,0.601,G_62,1,T5,Ac_125_T5,Baseline,Symbiodinium
Ac,Ac_129,2017-11-16,Ambient,R1,0.622,G_62,1,T5,Ac_129_T5,Baseline,Symbiodinium
Ac,Ac_217,2017-11-16,Ambient,R2,0.633,G_62,1,T5,Ac_217_T5,Baseline,Symbiodinium
Ac,Ac_220,2017-11-16,Ambient,R1,0.603,G_62,1,T5,Ac_220_T5,Baseline,Symbiodinium
Ac,Ac_223,2017-11-16,Ambient,R2,0.63,G_62,1,T5,Ac_223_T5,Baseline,Symbiodinium
Ac,Ac_226,2017-11-16,Ambient,R1,0.613,G_62,1,T5,Ac_226_T5,Baseline,Symbiodinium
Ac,Ac_164,2017-11-16,NH4,R1,0.596,G_07,1,T5,Ac_164_T5,Baseline,Symbiodinium
Ac,Ac_167,2017-11-16,NH4,R2,0.602,G_07,1,T5,Ac_167_T5,Baseline,Symbiodinium
Ac,Ac_170,2017-11-16,NH4,R1,0.586,G_07,1,T5,Ac_170_T5,Baseline,Symbiodinium
Ac,Ac_174,2017-11-16,NH4,R2,0.601,G_07,1,T5,Ac_174_T5,Baseline,Symbiodinium
Ac,Ac_262,2017-11-16,NH4,R1,0.603,G_07,1,T5,Ac_262_T5,Baseline,Symbiodinium
Ac,Ac_265,2017-11-16,NH4,R2,0.6,G_07,1,T5,Ac_265_T5,Baseline,Symbiodinium
Ac,Ac_268,2017-11-16,NH4,R1,0.609,G_07,1,T5,Ac_268_T5,Baseline,Symbiodinium
Ac,Ac_271,2017-11-16,NH4,R2,0.605,G_07,1,T5,Ac_271_T5,Baseline,Symbiodinium
Ac,Ac_274,2017-11-16,NH4,R1,0.567,G_07,1,T5,Ac_274_T5,Baseline,Symbiodinium
Ac,Ac_144,2017-11-16,NH4,R1,0.584,G_08,1,T5,Ac_144_T5,Baseline,Symbiodinium
Ac,Ac_232,2017-11-16,NH4,R2,0.596,G_08,1,T5,Ac_232_T5,Baseline,Symbiodinium
Ac,Ac_234,2017-11-16,NH4,R2,0.592,G_08,1,T5,Ac_234_T5,Baseline,Symbiodinium
Ac,Ac_150,2017-11-16,NH4,R1,0.606,G_31,1,T5,Ac_150_T5,Baseline,Symbiodinium
Ac,Ac_154,2017-11-16,NH4,R2,0.608,G_31,1,T5,Ac_154_T5,Baseline,Symbiodinium
Ac,Ac_158,2017-11-16,NH4,R1,0.625,G_31,1,T5,Ac_158_T5,Baseline,Symbiodinium
Ac,Ac_246,2017-11-16,NH4,R2,0.616,G_31,1,T5,Ac_246_T5,Baseline,Symbiodinium
Ac,Ac_249,2017-11-16,NH4,R1,0.6,G_31,1,T5,Ac_249_T5,Baseline,Symbiodinium
Ac,Ac_299,2017-11-16,NH4,R2,0.591,G_31,1,T5,Ac_299_T5,Baseline,Symbiodinium
Ac,Ac_177,2017-11-16,NH4,R1,0.62,G_48,1,T5,Ac_177_T5,Baseline,Symbiodinium
Ac,Ac_180,2017-11-16,NH4,R2,0.607,G_48,1,T5,Ac_180_T5,Baseline,Symbiodinium
Ac,Ac_183,2017-11-16,NH4,R1,0.61,G_48,1,T5,Ac_183_T5,Baseline,Symbiodinium
Ac,Ac_187,2017-11-16,NH4,R2,0.594,G_48,1,T5,Ac_187_T5,Baseline,Symbiodinium
Ac,Ac_190,2017-11-16,NH4,R1,0.627,G_48,1,T5,Ac_190_T5,Baseline,Symbiodinium
Ac,Ac_278,2017-11-16,NH4,R2,0.615,G_48,1,T5,Ac_278_T5,Baseline,Symbiodinium
