Sample,Date,Spp,Fragment,Treatment,Replicate,YII,Genotype,Days,Time_Point,Phase,TotalSH,logSH,D.Prp,Community,InitialCommunity,DaysF,Nutrients
Ac_226_T19,2018-02-22,Ac,226,A,R1,0.481,G_62,99,T19,Heat,0.200342814322483,-0.698226229752661,0,A,A,99,Ambient
Ac_228_T19,2018-02-22,Ac,228,N+P,R1,0.53,G_62,99,T19,Heat,0.072295149746432,-1.14089083837655,0,A,A,99,Nutrients
Ac_229_T19,2018-02-22,Ac,229,N+P,R2,0.474,G_62,99,T19,Heat,0.089780296487629,-1.04681896473155,0,A,A,99,Nutrients
Ac_230_T19,2018-02-22,Ac,230,N,R2,0.361,G_62,99,T19,Heat,0.103094742779104,-0.986763480596588,0,A,A,99,Nutrients
Ac_231_T19,2018-02-22,Ac,231,A,R2,0.528,G_08,99,T19,Heat,0.144590299492864,-0.839860842712565,0,A,A,99,Ambient
Ac_247_T19,2018-02-22,Ac,247,N+P,R2,0.429,G_31,99,T19,Heat,NA,NA,0,A,A,99,Nutrients
Ac_248_T19,2018-02-22,Ac,248,A,R1,0.556,G_31,99,T19,Heat,0.090844480390154,-1.04170145480527,0,A,A,99,Ambient
Ac_249_T19,2018-02-22,Ac,249,N,R1,0.444,G_31,99,T19,Heat,NA,NA,0,A,A,99,Nutrients
Ac_250_T19,2018-02-22,Ac,250,N+P,R1,0.532,G_31,99,T19,Heat,0.021094967437182,-1.67582114067144,0,A,A,99,Nutrients
Ac_261_T19,2018-02-22,Ac,261,A,R1,0.533,G_07,99,T19,Heat,0.160044241168331,-0.795759948347793,0,A,A,99,Ambient
Ac_264_T19,2018-02-22,Ac,264,A,R2,0.522,G_07,99,T19,Heat,0.26591603314349,-0.575255476523926,0,A,A,99,Ambient
Ac_273_T19,2018-02-22,Ac,273,A,R1,0.508,G_07,99,T19,Heat,0.265639698400911,-0.575707021517422,0,A,A,99,Ambient
Ac_276_T19,2018-02-22,Ac,276,N+P,R1,0.478,G_48,99,T19,Heat,0.079112126999223,-1.10175693894023,0,A,A,99,Nutrients
Ac_277_T19,2018-02-22,Ac,277,A,R2,0.559,G_48,99,T19,Heat,0.143641314999992,-0.842720627671373,0,A,A,99,Ambient
Ac_278_T19,2018-02-22,Ac,278,N,R2,0.325,G_48,99,T19,Heat,0.136553923417362,-0.864695817354844,0,A,A,99,Nutrients
Ac_280_T19,2018-02-22,Ac,280,N+P,R2,0.483,G_48,99,T19,Heat,0.109578956149017,-0.960272840978157,0,A,A,99,Nutrients
Ac_281_T19,2018-02-22,Ac,281,A,R1,0.553,G_48,99,T19,Heat,0.199165914742997,-0.700784984715806,0,A,A,99,Ambient
Ac_282_T19,2018-02-22,Ac,282,N,R1,0.467,G_48,99,T19,Heat,0.118301696742496,-0.927009026457289,0,A,A,99,Nutrients
Ac_284_T19,2018-02-22,Ac,284,A,R2,0.553,G_48,99,T19,Heat,0.115546276199099,-0.937244046309863,0,A,A,99,Ambient
Ac_285_T19,2018-02-22,Ac,285,N,R2,0.387,G_48,99,T19,Heat,0.077833911488611,-1.10883114383833,0,A,A,99,Nutrients
Ac_286_T19,2018-02-22,Ac,286,N+P,R2,0.487,G_48,99,T19,Heat,0.061236798534213,-1.21298752233807,0,A,A,99,Nutrients
Ac_287_T19,2018-02-22,Ac,287,A,R1,0.557,G_48,99,T19,Heat,0.207336018769972,-0.683325244967296,0,A,A,99,Ambient
Ac_288_T19,2018-02-22,Ac,288,N,R1,0.509,G_48,99,T19,Heat,0.10606662481456,-0.974421250774365,0,A,A,99,Nutrients
Ac_289_T19,2018-02-22,Ac,289,N+P,R1,0.528,G_48,99,T19,Heat,0.097061480133941,-1.01295309021935,0,A,A,99,Nutrients
Ac_299_T19,2018-02-22,Ac,299,N,R2,0.374,G_31,99,T19,Heat,NA,NA,0,A,A,99,Nutrients
