Genotype,Colony
Ac_01,Red and Green
Ac_07,Red and Orange
Ac_08,Yellow
Ac_31,Orange
Ac_34,Red
Ac_41,Orange and Yellow
Ac_48,Green
Ac_50,Red and Yellow
Ac_62,Green and Orange
