Sample,Date,Fragment,Treatment,Replicate,YII,Genotype,Days,TotalSH,logSH,DaysF,Nutrients
Ac_102_T19,2018-02-22,102,A,R2,0.556,G_50,99,0.145545553571668,-0.837001057753756,99,Ambient
Ac_105_T19,2018-02-22,105,A,R1,0.558,G_50,99,0.180183982196286,-0.74428381908925,99,Ambient
Ac_108_T19,2018-02-22,108,A,R2,0.547,G_50,99,0.100484345838796,-0.997901590436156,99,Ambient
Ac_116_T19,2018-02-22,116,A,R1,0.565,G_62,99,0.208416683135443,-0.681067519999816,99,Ambient
Ac_117_T19,2018-02-22,117,N,R1,0.475,G_62,99,0.267302024747508,-0.572997751556446,99,Nutrients
Ac_118_T19,2018-02-22,118,N+P,R1,0.515,G_62,99,0.16199741202891,-0.790491923423674,99,Nutrients
Ac_119_T19,2018-02-22,119,A,R2,0.543,G_62,99,0.1717096077832,-0.765205403787898,99,Ambient
Ac_120_T19,2018-02-22,120,N,R2,0.376,G_62,99,NA,NA,99,Nutrients
Ac_122_T19,2018-02-22,122,A,R1,0.531,G_62,99,0.124054215950736,-0.906388471754305,99,Ambient
Ac_123_T19,2018-02-22,123,N,R1,0.457,G_62,99,0.233184317566738,-0.632300660702251,99,Nutrients
Ac_124_T19,2018-02-22,124,N+P,R1,0.504,G_62,99,0.052794910573815,-1.27740794141016,99,Nutrients
Ac_125_T19,2018-02-22,125,A,R2,0.533,G_62,99,0.113286092912821,-0.945823401186287,99,Ambient
Ac_126_T19,2018-02-22,126,N,R2,0.333,G_62,99,0.074896529026294,-1.12553830859768,99,Nutrients
Ac_128_T19,2018-02-22,128,N+P,R2,0.49,G_62,99,0.057953623229462,-1.23691940699336,99,Nutrients
Ac_130_T19,2018-02-22,130,N,R1,0.466,G_62,99,0.174469005733669,-0.758281713887626,99,Nutrients
Ac_143_T19,2018-02-22,143,A,R1,0.541,G_08,99,0.157567584277907,-0.80253312325023,99,Ambient
Ac_152_T19,2018-02-22,152,A,R2,0.512,G_31,99,0.035773688086545,-1.44643628397549,99,Ambient
Ac_155_T19,2018-02-22,155,N+P,R2,0.466,G_31,99,0.030884840081217,-1.51025464305625,99,Nutrients
Ac_157_T19,2018-02-22,157,A,R1,0.511,G_31,99,0.041207269228152,-1.38502616486003,99,Ambient
Ac_160_T19,2018-02-22,160,A,R2,0.518,G_31,99,0.029188475480385,-1.53478858770287,99,Ambient
Ac_162_T19,2018-02-22,162,A,R1,0.502,G_07,99,0.043300955501696,-1.36350252017006,99,Ambient
Ac_166_T19,2018-02-22,166,A,R2,0.49,G_07,99,0.118383725655819,-0.926707996461624,99,Ambient
Ac_169_T19,2018-02-22,169,A,R1,0.515,G_07,99,0.049003977755951,-1.30976866594404,99,Ambient
Ac_173_T19,2018-02-22,173,A,R2,0.495,G_07,99,0.157022441849457,-0.804038273228551,99,Ambient
Ac_176_T19,2018-02-22,176,A,R1,0.54,G_48,99,0.192848879782188,-0.714782879514181,99,Ambient
Ac_177_T19,2018-02-22,177,N,R1,0.469,G_48,99,0.144189965296639,-0.841064962695221,99,Nutrients
Ac_178_T19,2018-02-22,178,N+P,R1,0.535,G_48,99,0.041064702907041,-1.38653131483836,99,Nutrients
Ac_179_T19,2018-02-22,179,A,R2,0.565,G_48,99,0.130176656547162,-0.885466887055659,99,Ambient
Ac_182_T19,2018-02-22,182,A,R1,0.558,G_48,99,0.17374491628251,-0.76008789386161,99,Ambient
Ac_184_T19,2018-02-22,184,N+P,R1,0.468,G_48,99,0.056997508643512,-1.24414412688929,99,Nutrients
Ac_186_T19,2018-02-22,186,A,R2,0.547,G_48,99,0.128607142262266,-0.890734911979778,99,Ambient
Ac_187_T19,2018-02-22,187,N,R2,0.329,G_48,99,0.104172231966326,-0.982248030661629,99,Nutrients
Ac_188_T19,2018-02-22,188,N+P,R2,0.514,G_48,99,0.181563067225826,-0.740972489136948,99,Nutrients
Ac_190_T19,2018-02-22,190,N,R1,0.478,G_48,99,0.164372706628767,-0.784170293514729,99,Nutrients
Ac_204_T19,2018-02-22,204,A,R1,0.563,G_50,99,0.083045319587991,-1.08068483924375,99,Ambient
Ac_217_T19,2018-02-22,217,A,R2,0.531,G_62,99,0.236111901750945,-0.626882120780299,99,Ambient
Ac_220_T19,2018-02-22,220,A,R1,0.54,G_62,99,0.177703336067825,-0.750304419002532,99,Ambient
Ac_221_T19,2018-02-22,221,N,R1,0.463,G_62,99,0.146456351956806,-0.834291787792781,99,Nutrients
Ac_222_T19,2018-02-22,222,N+P,R1,0.514,G_62,99,0.103919814862903,-0.983301635646451,99,Nutrients
Ac_224_T19,2018-02-22,224,N,R2,0.371,G_62,99,0.103166227381205,-0.986462450600924,99,Nutrients
Ac_225_T19,2018-02-22,225,N+P,R2,0.498,G_62,99,0.034651044976348,-1.46028366377603,99,Nutrients
Ac_226_T19,2018-02-22,226,A,R1,0.481,G_62,99,0.200342814322483,-0.698226229752661,99,Ambient
Ac_228_T19,2018-02-22,228,N+P,R1,0.53,G_62,99,0.072295149746432,-1.14089083837655,99,Nutrients
Ac_229_T19,2018-02-22,229,N+P,R2,0.474,G_62,99,0.089780296487629,-1.04681896473155,99,Nutrients
Ac_230_T19,2018-02-22,230,N,R2,0.361,G_62,99,0.103094742779104,-0.986763480596588,99,Nutrients
Ac_231_T19,2018-02-22,231,A,R2,0.528,G_08,99,0.144590299492864,-0.839860842712565,99,Ambient
Ac_247_T19,2018-02-22,247,N+P,R2,0.429,G_31,99,NA,NA,99,Nutrients
Ac_248_T19,2018-02-22,248,A,R1,0.556,G_31,99,0.090844480390154,-1.04170145480527,99,Ambient
Ac_249_T19,2018-02-22,249,N,R1,0.444,G_31,99,NA,NA,99,Nutrients
Ac_250_T19,2018-02-22,250,N+P,R1,0.532,G_31,99,0.021094967437182,-1.67582114067144,99,Nutrients
Ac_261_T19,2018-02-22,261,A,R1,0.533,G_07,99,0.160044241168331,-0.795759948347793,99,Ambient
Ac_264_T19,2018-02-22,264,A,R2,0.522,G_07,99,0.26591603314349,-0.575255476523926,99,Ambient
Ac_273_T19,2018-02-22,273,A,R1,0.508,G_07,99,0.265639698400911,-0.575707021517422,99,Ambient
Ac_276_T19,2018-02-22,276,N+P,R1,0.478,G_48,99,0.079112126999223,-1.10175693894023,99,Nutrients
Ac_277_T19,2018-02-22,277,A,R2,0.559,G_48,99,0.143641314999992,-0.842720627671373,99,Ambient
Ac_278_T19,2018-02-22,278,N,R2,0.325,G_48,99,0.136553923417362,-0.864695817354844,99,Nutrients
Ac_280_T19,2018-02-22,280,N+P,R2,0.483,G_48,99,0.109578956149017,-0.960272840978157,99,Nutrients
Ac_281_T19,2018-02-22,281,A,R1,0.553,G_48,99,0.199165914742997,-0.700784984715806,99,Ambient
Ac_282_T19,2018-02-22,282,N,R1,0.467,G_48,99,0.118301696742496,-0.927009026457289,99,Nutrients
Ac_284_T19,2018-02-22,284,A,R2,0.553,G_48,99,0.115546276199099,-0.937244046309863,99,Ambient
Ac_285_T19,2018-02-22,285,N,R2,0.387,G_48,99,0.077833911488611,-1.10883114383833,99,Nutrients
Ac_286_T19,2018-02-22,286,N+P,R2,0.487,G_48,99,0.061236798534213,-1.21298752233807,99,Nutrients
Ac_287_T19,2018-02-22,287,A,R1,0.557,G_48,99,0.207336018769972,-0.683325244967296,99,Ambient
Ac_288_T19,2018-02-22,288,N,R1,0.509,G_48,99,0.10606662481456,-0.974421250774365,99,Nutrients
Ac_289_T19,2018-02-22,289,N+P,R1,0.528,G_48,99,0.097061480133941,-1.01295309021935,99,Nutrients
Ac_299_T19,2018-02-22,299,N,R2,0.374,G_31,99,NA,NA,99,Nutrients
