Sample,Date,Fragment,Treatment,Replicate,YII,Genotype,Days,TotalSH,logSH,DaysF,Nutrients
Ac_102_T22,2018-03-05,102,A,R2,0.457,G_50,110,0.047515521399709,-1.32316450075109,110,Ambient
Ac_105_T22,2018-03-05,105,A,R1,0.388,G_50,110,0.046586077450158,-1.33174385562751,110,Ambient
Ac_108_T22,2018-03-05,108,A,R2,0.426,G_50,110,0.041078937315054,-1.38638079984052,110,Ambient
Ac_116_T22,2018-03-05,116,A,R1,0.469,G_62,110,0.047121937541845,-1.32677686069906,110,Ambient
Ac_119_T22,2018-03-05,119,A,R2,0.449,G_62,110,0.075810562027324,-1.12027028367356,110,Ambient
Ac_122_T22,2018-03-05,122,A,R1,0.346,G_62,110,0.061641367179397,-1.21012773737926,110,Ambient
Ac_125_T22,2018-03-05,125,A,R2,0.397,G_62,110,0.046376658015958,-1.33370055059933,110,Ambient
Ac_128_T22,2018-03-05,128,N+P,R2,0.34,G_62,110,0.019424788097861,-1.71164371015545,110,Nutrients
Ac_143_T22,2018-03-05,143,A,R1,0.42,G_08,110,0.065837011989091,-1.18152988779118,110,Ambient
Ac_152_T22,2018-03-05,152,A,R2,0.393,G_31,110,0.028538289381455,-1.54457206256195,110,Ambient
Ac_155_T22,2018-03-05,155,N+P,R2,0.154,G_31,110,0.015609224474928,-1.80661867378744,110,Nutrients
Ac_157_T22,2018-03-05,157,A,R1,0.405,G_31,110,NA,NA,110,Ambient
Ac_160_T22,2018-03-05,160,A,R2,0.366,G_31,110,0.012753549804094,-1.89436891752349,110,Ambient
Ac_162_T22,2018-03-05,162,A,R1,0.325,G_07,110,0.05943854747564,-1.22593181215162,110,Ambient
Ac_166_T22,2018-03-05,166,A,R2,0.39,G_07,110,0.076656007544436,-1.11545380374294,110,Ambient
Ac_169_T22,2018-03-05,169,A,R1,0.393,G_07,110,0.043587028734162,-1.36064273521125,110,Ambient
Ac_173_T22,2018-03-05,173,A,R2,0.292,G_07,110,0.022782070362594,-1.64240681115274,110,Ambient
Ac_176_T22,2018-03-05,176,A,R1,0.433,G_48,110,0.057893398957284,-1.23737095198685,110,Ambient
Ac_179_T22,2018-03-05,179,A,R2,0.432,G_48,110,0.048648619307333,-1.31292948089851,110,Ambient
Ac_182_T22,2018-03-05,182,A,R1,0.401,G_48,110,0.039501265143935,-1.40338899459554,110,Ambient
Ac_186_T22,2018-03-05,186,A,R2,0.39,G_48,110,0.068918861084663,-1.16166190807736,110,Ambient
Ac_188_T22,2018-03-05,188,N+P,R2,0.309,G_48,110,0.024706640634907,-1.60718630166005,110,Nutrients
Ac_204_T22,2018-03-05,204,A,R1,0.405,G_50,110,0.031250924299384,-1.50513713312996,110,Ambient
Ac_217_T22,2018-03-05,217,A,R2,0.418,G_62,110,0.083247033371362,-1.07963123425893,110,Ambient
Ac_220_T22,2018-03-05,220,A,R1,0.456,G_62,110,0.038354579929499,-1.41618276941126,110,Ambient
Ac_225_T22,2018-03-05,225,N+P,R2,0.292,G_62,110,0.027690648871103,-1.55766686737333,110,Nutrients
Ac_226_T22,2018-03-05,226,A,R1,0.441,G_62,110,0.03643686561803,-1.43845898909039,110,Ambient
Ac_231_T22,2018-03-05,231,A,R2,0.372,G_08,110,0.062415262669156,-1.20470919745731,110,Ambient
Ac_248_T22,2018-03-05,248,A,R1,0.42,G_31,110,0.022421749639715,-1.64933050105301,110,Ambient
Ac_261_T22,2018-03-05,261,A,R1,0.348,G_07,110,0.071003929111467,-1.14871761826381,110,Ambient
Ac_264_T22,2018-03-05,264,A,R2,0.384,G_07,110,0.079524470484122,-1.09949921397275,110,Ambient
Ac_273_T22,2018-03-05,273,A,R1,0.32,G_07,110,0.038248385738178,-1.41738688939391,110,Ambient
Ac_277_T22,2018-03-05,277,A,R2,0.424,G_48,110,0.07419895459618,-1.12960221353915,110,Ambient
Ac_281_T22,2018-03-05,281,A,R1,0.45,G_48,110,0.035514270731426,-1.44959709892996,110,Ambient
Ac_284_T22,2018-03-05,284,A,R2,0.401,G_48,110,NA,NA,110,Ambient
Ac_286_T22,2018-03-05,286,N+P,R2,0.279,G_48,110,0.03183025821607,-1.49715983824487,110,Nutrients
Ac_287_T22,2018-03-05,287,A,R1,0.429,G_48,110,0.068182375319107,-1.16632787301015,110,Ambient
