Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate6_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-01-25 11:01:20 AM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A2,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A2,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,19.5672492981,,,,,,0,0.02,1,3,18,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,35.5493202209,,,,,,0,0.02,1,3,35,,N,N,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.3412475586,,,,,,0,0.02,1,3,24,,N,N,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,19.6662635803,,,,,,0,0.02,1,3,18,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,34.4564399719,,,,,,0,0.02,1,3,33,,N,N,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.9246444702,,,,,,0,0.02,1,3,25,,N,N,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,18.9450321198,18.9811286926,0.0510469154,,,,0,0.02,1,3,17,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,25.696762085,25.6929588318,0.0053786123,,,,0,0.02,1,3,24,,N,N,N,Y
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,19.0172233582,18.9811286926,0.0510469154,,,,0,0.02,1,3,17,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,25.6891555786,25.6929588318,0.0053786123,,,,0,0.02,1,3,24,,N,N,N,Y
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A11,NTC,Ssid,NTC,SYBR,None,15.9557476044,,,,,,0,0.02,1,3,18,,Y,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,21.6047973633,21.3381252289,0.3771313429,,,,0,0.02,1,3,20,,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.4075946808,26.912525177,0.7140781879,,,,0,0.02,1,3,24,,N,Y,Y,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,21.0714530945,21.3381252289,0.3771313429,,,,0,0.02,1,3,20,,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.4174537659,26.912525177,0.7140781879,,,,0,0.02,1,3,26,,N,Y,N,Y
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,19.8447055817,19.6168746948,0.3222015202,,,,0,0.02,1,3,18,,N,N,N,N
