Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate18_CD.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-22 13:07:19 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,61.4103622437,67.5247955322,83.9293823242,,N,N,N,N,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,30.4387588501,30.5329322815,0.1331813484,,,,0,0.02,1,3,29,91.0877532959,,,,N,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.597536087,28.6664638519,0.0974785835,,,,0,0.02,1,3,26,71.1039810181,,,,N,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,19.9296627045,20.0957374573,0.2348665148,,,,0,0.02,1,3,17,77.2184829712,,,,N,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,27.5740280151,27.7466030121,0.2440579087,,,,0,0.02,1,3,26,92.7317962646,,,,N,Y,N,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,33.5101280212,34.5586395264,1.4828164577,,,,0,0.02,1,3,31,73.1909866333,,,,N,Y,N,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,20.2618141174,20.0957374573,0.2348665148,,,,0,0.02,1,3,18,77.2180023193,,,,N,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,27.919178009,27.7466030121,0.2440579087,,,,0,0.02,1,3,26,64.2447738647,,,,N,Y,N,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,35.6071472168,34.5586395264,1.4828164577,,,,0,0.02,1,3,34,71.7006530762,,,,N,Y,N,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,19.5096797943,19.643447876,0.1891752928,,,,0,0.02,1,3,17,77.2203216553,,,,N,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,35.5207748413,34.7789993286,1.0490289927,,,,0,0.02,1,3,34,68.5707321167,,,,N,Y,N,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,30.6972560883,30.7293128967,0.0453351736,,,,0,0.02,1,3,29,71.4042205811,,,,N,Y,N,N,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,19.7772140503,19.643447876,0.1891752928,,,,0,0.02,1,3,18,77.0740432739,,,,N,N,N,N,N
