Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate35_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-30 18:27:15 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,14.9247074127,,,,,,0,0.02,1,3,39,,Y,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,31.2030544281,31.0754051208,0.1805247366,,,,0,0.02,1,3,30,,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.936958313,28.9348106384,0.0030386192,,,,0,0.02,1,3,27,,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,18.49269104,18.4086036682,0.1189175025,,,,0,0.02,1,3,16,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,35.8312530518,35.8312530518,,,,,0,0.02,1,3,35,,N,N,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,28.6377906799,28.6759700775,0.0539938211,,,,0,0.02,1,3,27,,N,N,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,18.3245162964,18.4086036682,0.1189175025,,,,0,0.02,1,3,15,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.8312530518,,,,,0,0.02,1,3,39,,N,N,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,28.7141494751,28.6759700775,0.0539938211,,,,0,0.02,1,3,27,,N,N,N,Y
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,17.4534702301,17.6028118134,0.2112008929,,,,0,0.02,1,3,15,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,28.1100902557,28.5641002655,0.6420671344,,,,0,0.02,1,3,26,,N,Y,N,Y
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,17.7521533966,17.6028118134,0.2112008929,,,,0,0.02,1,3,13,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,29.0181102753,28.5641002655,0.6420671344,,,,0,0.02,1,3,27,,N,Y,N,Y
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
A11,+,Ssid,UNKNOWN,SYBR,None,18.4989528656,18.5368862152,0.0536458567,,,,0,0.02,1,3,15,,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,17.6111831665,16.953874588,0.929574728,,,,0,0.02,1,3,15,,N,Y,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,26.5952091217,26.6437988281,0.0687162206,,,,0,0.02,1,3,25,,N,N,N,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,29.2763996124,29.293138504,0.0236723684,,,,0,0.02,1,3,27,,N,N,N,N
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,16.2965660095,16.953874588,0.929574728,,,,0,0.02,1,3,15,,N,Y,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,26.6923885345,26.6437988281,0.0687162206,,,,0,0.02,1,3,25,,N,N,N,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,29.3098773956,29.293138504,0.0236723684,,,,0,0.02,1,3,27,,N,N,N,N
