Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate19_CD.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-23 13:33:52 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,28.0333614349,28.0955123901,0.0878933743,,,,0,0.02,1,3,28,75.8790588379,,,,N,N,N,N
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,31,72.3026580811,,,,N,N,N,N
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,19.7035923004,19.7787513733,0.1062909812,,,,0,0.02,1,3,18,77.0670394897,66.3346862793,,,N,N,N,Y
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,28.157661438,28.0955123901,0.0878933743,,,,0,0.02,1,3,26,78.8557662964,,,,N,N,Y,N
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.7442855835,,,,N,N,Y,N
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,18.3829269409,18.4676704407,0.1198440567,,,,0,0.02,1,3,15,77.070098877,,,,N,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,25.6778144836,25.7475624084,0.09863846,,,,0,0.02,1,3,24,61.4206390381,,,,N,N,Y,N
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.2382965088,,,,N,N,Y,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,18.5524120331,18.4676704407,0.1198440567,,,,0,0.02,1,3,16,77.0693969727,,,,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,25.8173103333,25.7475624084,0.09863846,,,,0,0.02,1,3,24,61.2693023682,,,,N,N,Y,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.6844787598,,,,N,N,Y,N
C9,,,,,,,,,,,,,,,,,,,,,N,N,N,N
C10,,,,,,,,,,,,,,,,,,,,,N,N,N,N
C11,,,,,,,,,,,,,,,,,,,,,N,N,N,N
C12,,,,,,,,,,,,,,,,,,,,,N,N,N,N
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,21.7174816132,21.4521980286,0.375166297,,,,0,0.02,1,3,20,77.0711898804,,,,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,28.6712055206,28.77110672,0.1412816346,,,,0,0.02,1,3,28,73.3457717896,,,,N,N,Y,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.600692749,,,,N,N,Y,N
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,21.1869163513,21.4521980286,0.375166297,,,,0,0.02,1,3,19,77.2161026001,,,,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,28.8710079193,28.77110672,0.1412816346,,,,0,0.02,1,3,28,78.1104660034,,,,N,N,Y,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.9989852905,,,,N,N,Y,N
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,20.0559883118,20.1769943237,0.1711269915,,,,0,0.02,1,3,18,77.070098877,,,,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,39.6238021851,38.6279373169,1.4083656073,,,,0,0.02,1,3,39,62.9110641479,,,,Y,N,Y,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,31.8350410461,31.7930202484,0.0594263822,,,,0,0.02,1,3,30,76.3248901367,,,,Y,N,Y,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,20.2979984283,20.1769943237,0.1711269915,,,,0,0.02,1,3,19,77.0693969727,,,,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,37.6320724487,38.6279373169,1.4083656073,,,,0,0.02,1,3,34,65.1447982788,,,,Y,N,N,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,31.7509994507,31.7930202484,0.0594263822,,,,0,0.02,1,3,30,77.2184524536,,,,Y,N,N,N
D9,,,,,,,,,,,,,,,,,,,,,N,N,N,N
D10,,,,,,,,,,,,,,,,,,,,,N,N,N,N
D11,,,,,,,,,,,,,,,,,,,,,N,N,N,N
D12,,,,,,,,,,,,,,,,,,,,,N,N,N,N
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,19.2849025726,19.1170310974,0.2374074608,,,,0,0.02,1,3,17,77.0711898804,,,,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,28.8075275421,28.7976436615,0.0139779178,,,,0,0.02,1,3,28,65.1498565674,,,,N,N,N,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,30.3746948242,30.4397506714,0.0920042098,,,,0,0.02,1,3,28,72.0046234131,,,,N,N,N,N
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,18.9491577148,19.1170310974,0.2374074608,,,,0,0.02,1,3,17,77.0670394897,,,,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,28.7877597809,28.7976436615,0.0139779178,,,,0,0.02,1,3,27,69.4649505615,,,,N,N,N,N
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,30.5048084259,30.4397506714,0.0920042098,,,,0,0.02,1,3,28,73.1914672852,,,,N,N,N,N
