Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate21_CD.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-28 12:13:34 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,61.4230422974,84.6795654297,,,N,N,N,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,29.1014671326,29.3798770905,0.3937311471,,,,0,0.02,1,3,27,91.5372543335,,,,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,27.6070842743,27.9220237732,0.4453917146,,,,0,0.02,1,3,25,73.6476211548,,,,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,18.5517158508,18.4675712585,0.1189984232,,,,0,0.02,1,3,16,77.2177581787,,,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.7116699219,,,,N,N,Y,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.5467319489,26.710269928,0.2312776297,,,,0,0.02,1,3,24,69.0174255371,,,,N,N,Y,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,18.3834266663,18.4675712585,0.1189984232,,,,0,0.02,1,3,16,77.2175827026,,,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,67.5255813599,,,,N,Y,Y,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.8738079071,26.710269928,0.2312776297,,,,0,0.02,1,3,25,71.1041641235,,,,N,Y,Y,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,18.08070755,18.3229389191,0.3425668776,,,,0,0.02,1,3,16,77.3630065918,,,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,32.2409248352,31.7983837128,0.6258476377,,,,0,0.02,1,3,30,90.0389556885,,,,Y,N,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,28.1147460938,28.1723537445,0.0814695209,,,,0,0.02,1,3,26,71.9943695068,,,,Y,N,N,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,18.5651702881,18.3229389191,0.3425668776,,,,0,0.02,1,3,16,77.2214050293,,,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,31.3558425903,31.7983837128,0.6258476377,,,,0,0.02,1,3,30,93.32837677,,,,Y,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,28.2299613953,28.1723537445,0.0814695209,,,,0,0.02,1,3,26,71.7032775879,,,,Y,N,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,18.3175754547,18.1572380066,0.2267513871,,,,0,0.02,1,3,16,77.2178039551,,,,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.2578125,,,,N,N,N,Y
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.5938796997,87.6589202881,,,N,N,N,Y
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,18.4429855347,18.460308075,0.0244991202,,,,0,0.02,1,3,17,77.2255477905,,,,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,29.9468860626,29.8403816223,0.1506200284,,,,0,0.02,1,3,29,75.5856628418,,,,N,N,Y,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.7531433105,,,,N,N,Y,N
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,18.4776325226,18.460308075,0.0244991202,,,,0,0.02,1,3,17,77.2177581787,,,,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,29.733877182,29.8403816223,0.1506200284,,,,0,0.02,1,3,28,75.8758850098,,,,N,N,Y,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.9993591309,,,,N,N,Y,N
