Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate37_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-28 16:30:23 PM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,27.8913478851,26.8744735718,1.4380761385,,,,0,0.02,1,3,26,,N,Y,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,28.0885944366,28.1441421509,0.0785576776,,,,0,0.02,1,3,26,,N,N,Y,N,Y
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,25.8576011658,26.8744735718,1.4380761385,,,,0,0.02,1,3,23,,N,Y,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,28.1996917725,28.1441421509,0.0785576776,,,,0,0.02,1,3,26,,N,N,Y,N,Y
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,21.313451767,21.1330375671,0.2551428676,,,,0,0.02,1,3,19,,N,N,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,36.4391059875,36.4391059875,,,,,0,0.02,1,3,34,,N,N,N,N,N
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,28.343296051,28.250328064,0.13147524,,,,0,0.02,1,3,26,,N,N,N,N,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,20.9526252747,21.1330375671,0.2551428676,,,,0,0.02,1,3,19,,N,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.4391059875,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,28.1573619843,28.250328064,0.13147524,,,,0,0.02,1,3,26,,N,N,Y,N,Y
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,19.130941391,19.0032730103,0.1805490106,,,,0,0.02,1,3,18,,N,N,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,28.2599811554,28.4654846191,0.2906257808,,,,0,0.02,1,3,26,,N,N,N,N,Y
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,18.8756065369,19.0032730103,0.1805490106,,,,0,0.02,1,3,17,,N,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,28.6709880829,28.4654846191,0.2906257808,,,,0,0.02,1,3,27,,N,N,N,N,Y
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,Undetermined,23.8340301514,,,,,0,0.02,1,3,39,,N,N,N,N,Y
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,32.707359314,33.1232872009,0.5882108808,,,,0,0.02,1,3,31,,N,Y,N,N,N
