Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate14_CD.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-10 18:21:19 PM EST,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,81.1075439453,75.1465301514,71.5699234009,,N,N,N,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,29.3977375031,29.5538711548,0.2208049744,,,,0,0.02,1,3,27,92.4334716797,,,,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,27.8242225647,28.0620307922,0.3363116086,,,,0,0.02,1,3,26,73.5072555542,,,,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,21.5224246979,21.5386619568,0.022962952,,,,0,0.02,1,3,20,76.1883621216,,,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.2880210876,,,,N,N,Y,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,27.2091121674,27.0606555939,0.2099492997,,,,0,0.02,1,3,25,71.5692596436,,,,N,N,Y,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,21.5548992157,21.5386619568,0.022962952,,,,0,0.02,1,3,20,76.1875915527,,,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,67.0975723267,,,,N,Y,Y,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.9121990204,27.0606555939,0.2099492997,,,,0,0.02,1,3,25,72.4621734619,,,,N,Y,Y,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,20.7355270386,20.7469520569,0.0161560681,,,,0,0.02,1,3,19,76.1868286133,,,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,25.9828548431,26.0690555573,0.1219062209,,,,0,0.02,1,3,24,61.7340736389,,,,Y,N,N,N
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,36.1481704712,37.5008087158,1.9129220247,,,,0,0.02,1,3,34,72.0149002075,,,,Y,N,N,N
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,20.7583751678,20.7469520569,0.0161560681,,,,0,0.02,1,3,19,76.1910171509,,,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,26.1552562714,26.0690555573,0.1219062209,,,,0,0.02,1,3,25,72.9132766724,,,,Y,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,38.8534507751,37.5008087158,1.9129220247,,,,0,0.02,1,3,35,72.9132766724,,,,Y,N,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,20.8071098328,20.8374252319,0.0428724475,,,,0,0.02,1,3,18,76.1904602051,,,,N,N,N,N
