Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plated27_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-13 06:39:14 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,18.520401001,18.7483596802,0.3223836124,,,,0,0.02,1,3,16,,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,30.6832618713,30.5685539246,0.1622228771,,,,0,0.02,1,3,29,,N,N,Y,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,19.7385120392,19.7337646484,0.0067124758,,,,0,0.02,1,3,18,,N,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,27.9694919586,28.4504776001,0.6802177429,,,,0,0.02,1,3,26,,N,Y,N,Y
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,19.729019165,19.7337646484,0.0067124758,,,,0,0.02,1,3,18,,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,28.9314651489,28.4504776001,0.6802177429,,,,0,0.02,1,3,27,,N,Y,N,Y
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,18.1740856171,18.2624053955,0.1249030307,,,,0,0.02,1,3,17,,N,N,N,N
