Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate22_CD.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-04 12:39:50 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,61.5784034729,88.0688552856,66.0430831909,,N,N,N,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,31.3284721375,31.2143325806,0.1614163667,,,,0,0.02,1,3,29,61.4295806885,,,,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,29.8933677673,29.6314506531,0.3704067469,,,,0,0.02,1,3,28,70.9542388916,,,,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,18.7073841095,18.6090564728,0.1390562803,,,,0,0.02,1,3,17,77.2032470703,,,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.4281692505,,,,Y,N,Y,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,27.2250041962,27.6561126709,0.6096807718,,,,0,0.02,1,3,25,71.6968536377,,,,Y,N,Y,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,18.5107288361,18.6090564728,0.1390562803,,,,0,0.02,1,3,17,77.2006378174,,,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.3350143433,,,,Y,Y,Y,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,28.087223053,27.6561126709,0.6096807718,,,,0,0.02,1,3,26,71.0980300903,,,,Y,Y,Y,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,17.741558075,17.8691902161,0.1804991066,,,,0,0.02,1,3,16,77.3457946777,,,,N,N,N,N
