Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate20_CD.eds,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-23 16:20:37 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,MTP
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,28.4732666016,29.0210399628,0.7746685147,,,,0,0.02,1,3,26,73.0588607788,,,,N,Y,N,N,N
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,17.5697059631,17.5172367096,0.0742027313,,,,0,0.02,1,3,16,77.085723877,,,,N,N,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,32.6621704102,32.436164856,0.3196201324,,,,0,0.02,1,3,31,68.2900085449,,,,N,Y,N,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,29.568813324,29.0210399628,0.7746685147,,,,0,0.02,1,3,27,73.3587265015,,,,N,Y,N,N,N
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,34.0612754822,31.9684295654,2.9597296715,,,,0,0.02,1,3,34,77.0861663818,66.8006668091,,,N,Y,N,N,Y
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,31.4077892303,31.2436485291,0.232130006,,,,0,0.02,1,3,29,73.9557952881,,,,N,N,N,Y,N
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.5707550049,,,,N,N,N,Y,N
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,29.875585556,31.9684295654,2.9597296715,,,,0,0.02,1,3,30,77.2336273193,,,,N,Y,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,31.0795078278,31.2436485291,0.232130006,,,,0,0.02,1,3,29,75.2957077026,,,,N,N,N,Y,N
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.4633712769,,,,N,N,N,Y,N
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,18.3165187836,18.990196228,0.9527224302,,,,0,0.02,1,3,17,77.0843429565,,,,N,Y,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,65.4565811157,,,,N,N,N,Y,N
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,27.5778427124,27.723608017,0.2061432749,,,,0,0.02,1,3,25,72.3139801025,,,,N,N,N,Y,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,19.6638717651,18.990196228,0.9527224302,,,,0,0.02,1,3,18,77.0841064453,,,,N,Y,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,65.60572052,,,,N,N,N,Y,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,27.8693733215,27.723608017,0.2061432749,,,,0,0.02,1,3,26,70.0778198242,,,,N,N,N,Y,N
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,17.8967247009,18.040189743,0.2028902024,,,,0,0.02,1,3,16,77.0835723877,,,,N,N,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,31.4444999695,31.7549533844,0.439047426,,,,0,0.02,1,3,29,65.9038162231,,,,N,Y,N,N,N
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,31.9942054749,32.3971176147,0.5698010921,,,,0,0.02,1,3,30,73.5060501099,,,,N,Y,N,N,N
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,18.1836547852,18.040189743,0.2028902024,,,,0,0.02,1,3,17,77.085723877,,,,N,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,32.0654067993,31.7549533844,0.439047426,,,,0,0.02,1,3,30,66.6501312256,,,,N,Y,N,N,N
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,32.8000259399,32.3971176147,0.5698010921,,,,0,0.02,1,3,31,72.3151702881,,,,N,Y,N,N,N
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,17.5520210266,17.5720653534,0.0283469595,,,,0,0.02,1,3,16,76.9371032715,,,,N,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,29.8095550537,29.7145843506,0.1343102008,,,,0,0.02,1,3,28,72.7632751465,,,,N,N,N,Y,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.9123382568,,,,N,N,N,Y,N
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,17.5921096802,17.5720653534,0.0283469595,,,,0,0.02,1,3,16,77.0845565796,,,,N,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,29.6196117401,29.7145843506,0.1343102008,,,,0,0.02,1,3,28,71.7180175781,,,,N,N,N,Y,N
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.7180175781,,,,N,N,N,Y,N
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,16.78789711,16.7382621765,0.0701943934,,,,0,0.02,1,3,15,77.0843429565,,,,N,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,26.7157554626,26.7411079407,0.0358551666,,,,0,0.02,1,3,25,73.9537887573,,,,N,N,N,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,36.6832122803,36.6832122803,,,,,0,0.02,1,3,35,73.9537887573,,,,N,N,N,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,16.688627243,16.7382621765,0.0701943934,,,,0,0.02,1,3,15,77.0841064453,,,,N,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,26.766462326,26.7411079407,0.0358551666,,,,0,0.02,1,3,25,79.4692230225,,,,N,N,N,Y,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.6832122803,,,,,0,0.02,1,3,39,73.6554946899,,,,N,N,N,Y,N
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,16.7722187042,16.7546367645,0.0248646177,,,,0,0.02,1,3,14,76.9345092773,,,,N,N,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,28.3384857178,29.5514068604,1.7153308392,,,,0,0.02,1,3,26,80.6611022949,,,,N,Y,N,Y,N
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.80418396,,,,N,Y,N,Y,N
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,16.7370548248,16.7546367645,0.0248646177,,,,0,0.02,1,3,14,76.9366455078,,,,N,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,30.7643299103,29.5514068604,1.7153308392,,,,0,0.02,1,3,29,74.1041259766,,,,N,Y,N,Y,N
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.8679275513,,,,N,Y,N,Y,N
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,17.8462028503,17.6469955444,0.2817203104,,,,0,0.02,1,3,16,76.9371032715,,,,N,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.5025405884,,,,N,N,Y,Y,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.1272888184,28.2022647858,0.1060320288,,,,0,0.02,1,3,26,69.9310379028,,,,N,N,Y,Y,N
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,17.4477901459,17.6469955444,0.2817203104,,,,0,0.02,1,3,15,77.0845565796,,,,N,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.0533447266,,,,N,N,Y,Y,N
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,28.2772407532,28.2022647858,0.1060320288,,,,0,0.02,1,3,26,74.2522201538,,,,N,N,Y,Y,N
