Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate25_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-12 17:39:47 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,19.5666160583,,,,,,0,0.02,1,3,39,,Y,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,29.9775047302,29.8797035217,0.1383117884,,,,0,0.02,1,3,28,,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.080291748,27.8026542664,0.3926400542,,,,0,0.02,1,3,26,,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,18.4132633209,18.5263748169,0.1599624604,,,,0,0.02,1,3,16,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,30.7203083038,30.8954162598,0.2476400435,,,,0,0.02,1,3,29,,N,N,N,N
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,30.8622608185,30.8349895477,0.0385674015,,,,0,0.02,1,3,29,,N,N,N,N
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,18.6394844055,18.5263748169,0.1599624604,,,,0,0.02,1,3,16,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,31.0705242157,30.8954162598,0.2476400435,,,,0,0.02,1,3,29,,N,N,N,N
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,30.807718277,30.8349895477,0.0385674015,,,,0,0.02,1,3,29,,N,N,N,N
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,17.8695659637,18.0923500061,0.3150628507,,,,0,0.02,1,3,16,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,32.4253387451,,,,,0,0.02,1,3,39,,N,N,N,Y
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,27.2482643127,27.3426589966,0.133494243,,,,0,0.02,1,3,25,,N,N,N,Y
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,18.3151321411,18.0923500061,0.3150628507,,,,0,0.02,1,3,16,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,32.4253387451,32.4253387451,,,,,0,0.02,1,3,29,,N,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,27.4370536804,27.3426589966,0.133494243,,,,0,0.02,1,3,25,,N,N,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,18.3872909546,18.3578567505,0.0416249037,,,,0,0.02,1,3,15,,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,18.4612159729,18.3355884552,0.1776641458,,,,0,0.02,1,3,17,,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,26.1942653656,26.2644462585,0.0992507711,,,,0,0.02,1,3,24,,N,N,Y,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.6715812683,,,,,0,0.02,1,3,39,,N,N,Y,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,18.2099609375,18.3355884552,0.1776641458,,,,0,0.02,1,3,17,,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,26.3346271515,26.2644462585,0.0992507711,,,,0,0.02,1,3,24,,N,N,N,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,34.6715812683,34.6715812683,,,,,0,0.02,1,3,33,,N,N,N,N
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,16.8331203461,16.7508506775,0.1163482293,,,,0,0.02,1,3,15,,N,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,28.7828617096,28.7669830322,0.0224558413,,,,0,0.02,1,3,27,,N,N,N,Y
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
