Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate38_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-30 10:16:59 AM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,20.6149806976,21.1948642731,0.8200792074,,,,0,0.02,1,3,19,,N,Y,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,29.9263515472,29.8613624573,0.0919071063,,,,0,0.02,1,3,28,,N,N,Y,N,Y
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,21.7747478485,21.1948642731,0.8200792074,,,,0,0.02,1,3,20,,N,Y,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,29.7963752747,29.8613624573,0.0919071063,,,,0,0.02,1,3,28,,N,N,Y,N,Y
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,37.6678199768,38.1719284058,0.7129196525,,,,0,0.02,1,3,34,,N,Y,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,29.0576591492,29.1247673035,0.0949052647,,,,0,0.02,1,3,27,,N,N,Y,N,Y
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,38.6760406494,38.1719284058,0.7129196525,,,,0,0.02,1,3,35,,N,Y,N,N,N
