Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate13_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-10 16:05:30 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,27.2121181488,27.3284797668,0.164561525,,,,0,0.02,1,3,25,,N,N,Y,Y
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,21.9440517426,22.0672645569,0.1742478907,,,,0,0.02,1,3,19,,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,27.4448432922,27.3284797668,0.164561525,,,,0,0.02,1,3,25,,N,N,Y,Y
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,20.9677715302,20.9408874512,0.0380184799,,,,0,0.02,1,3,20,,N,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,26.2331485748,26.1594963074,0.1041600332,,,,0,0.02,1,3,24,,N,Y,N,N
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,31.8514041901,32.2137260437,0.512399137,,,,0,0.02,1,3,30,,N,Y,N,N
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,20.9140052795,20.9408874512,0.0380184799,,,,0,0.02,1,3,19,,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,26.0858440399,26.1594963074,0.1041600332,,,,0,0.02,1,3,24,,N,Y,N,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,32.57604599,32.2137260437,0.512399137,,,,0,0.02,1,3,31,,N,Y,N,N
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,21.9028110504,21.7977905273,0.1485200971,,,,0,0.02,1,3,19,,N,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,28.99102211,29.4744110107,0.6836164594,,,,0,0.02,1,3,27,,N,Y,N,N
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,28.995092392,29.3713188171,0.5320631862,,,,0,0.02,1,3,27,,N,Y,N,N
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,21.6927719116,21.7977905273,0.1485200971,,,,0,0.02,1,3,20,,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,29.9578018188,29.4744110107,0.6836164594,,,,0,0.02,1,3,28,,N,Y,N,N
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,29.747543335,29.3713188171,0.5320631862,,,,0,0.02,1,3,28,,N,Y,N,N
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,22.3292560577,22.1529159546,0.2493825704,,,,0,0.02,1,3,21,,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,26.8521099091,26.8798236847,0.0391931981,,,,0,0.02,1,3,25,,N,N,Y,Y
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,21.9765758514,22.1529159546,0.2493825704,,,,0,0.02,1,3,19,,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,Y
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,26.9075374603,26.8798236847,0.0391931981,,,,0,0.02,1,3,25,,N,N,Y,Y
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,21.5221691132,21.183681488,0.4786937833,,,,0,0.02,1,3,19,,N,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,26.2781257629,26.3873710632,0.154496178,,,,0,0.02,1,3,25,,N,N,N,N
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,31.0121212006,31.3595314026,0.4913108647,,,,0,0.02,1,3,29,,N,N,N,N
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,20.8451938629,21.183681488,0.4786937833,,,,0,0.02,1,3,19,,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,26.4966163635,26.3873710632,0.154496178,,,,0,0.02,1,3,25,,N,N,N,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,31.7069396973,31.3595314026,0.4913108647,,,,0,0.02,1,3,30,,N,N,N,N
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,21.3693714142,21.3386955261,0.0433836058,,,,0,0.02,1,3,19,,N,N,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,29.4283275604,29.4554901123,0.0384136476,,,,0,0.02,1,3,27,,N,Y,N,N
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,29.0357532501,29.4010925293,0.5166677833,,,,0,0.02,1,3,27,,N,Y,N,N
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,21.3080177307,21.3386955261,0.0433836058,,,,0,0.02,1,3,19,,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,29.4826526642,29.4554901123,0.0384136476,,,,0,0.02,1,3,27,,N,Y,N,N
