Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate33_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-30 14:40:15 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,30.7758846283,31.0201339722,0.3454193771,,,,0,0.02,1,3,29,,N,Y,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,28.9312267303,29.290140152,0.5075802207,,,,0,0.02,1,3,27,,N,Y,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,18.9652786255,18.9420509338,0.0328475684,,,,0,0.02,1,3,17,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,30.0200099945,30.3000526428,0.3960387707,,,,0,0.02,1,3,28,,N,N,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,18.9188251495,18.9420509338,0.0328475684,,,,0,0.02,1,3,16,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,30.5800933838,30.3000526428,0.3960387707,,,,0,0.02,1,3,29,,N,N,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,19.157459259,19.3327064514,0.2478369623,,,,0,0.02,1,3,17,,N,N,N,N
