Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate8_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-01-26 17:12:32 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
A1,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
A2,NTC,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,20.4188079834,20.4830093384,0.0907944292,,,,0,0.02,1,3,19,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,25.9132118225,26.0795249939,0.2352023423,,,,0,0.02,1,3,24,,N,N,N,Y
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,20.5472106934,20.4830093384,0.0907944292,,,,0,0.02,1,3,19,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.2458381653,26.0795249939,0.2352023423,,,,0,0.02,1,3,24,,N,N,N,Y
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,19.4457817078,19.5021057129,0.0796541721,,,,0,0.02,1,3,18,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,31.7930870056,,,,,0,0.02,1,3,39,,N,N,N,Y
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,26.3457450867,26.1444206238,0.2847157717,,,,0,0.02,1,3,24,,N,N,N,Y
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,19.558429718,19.5021057129,0.0796541721,,,,0,0.02,1,3,18,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,31.7930870056,31.7930870056,,,,,0,0.02,1,3,29,,N,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,25.9430961609,26.1444206238,0.2847157717,,,,0,0.02,1,3,24,,N,N,N,N
A11,NTC,Ssid,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N
B1,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,28.8702468872,28.8840942383,0.0195844602,,,,0,0.02,1,3,27,,N,N,N,Y
B1,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
B2,Sample 1,Ssid,UNKNOWN,SYBR,None,19.9503383636,20.0396060944,0.126243636,,,,0,0.02,1,3,19,,N,N,N,N
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,20.1288738251,20.0396060944,0.126243636,,,,0,0.02,1,3,19,,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,28.8979434967,28.8840942383,0.0195844602,,,,0,0.02,1,3,27,,N,Y,N,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,20.6099834442,20.5883617401,0.030577708,,,,0,0.02,1,3,19,,N,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,33.2133331299,33.2133331299,,,,,0,0.02,1,3,28,,N,N,N,N
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,26.1747741699,26.200920105,0.0369745865,,,,0,0.02,1,3,24,,N,N,N,N
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,20.566740036,20.5883617401,0.030577708,,,,0,0.02,1,3,19,,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,33.2133331299,,,,,0,0.02,1,3,39,,N,N,N,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,26.2270641327,26.200920105,0.0369745865,,,,0,0.02,1,3,24,,N,N,N,Y
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,19.609992981,19.8336906433,0.3163549304,,,,0,0.02,1,3,18,,N,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,32.0508766174,31.521194458,0.7490823269,,,,0,0.02,1,3,28,,Y,N,N,N
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,25.7495613098,25.7432594299,0.0089108553,,,,0,0.02,1,3,23,,Y,N,N,N
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,20.0573863983,19.8336906433,0.3163549304,,,,0,0.02,1,3,18,,N,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,30.9915142059,31.521194458,0.7490823269,,,,0,0.02,1,3,28,,Y,N,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,25.7369594574,25.7432594299,0.0089108553,,,,0,0.02,1,3,24,,Y,N,N,N
C1,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,27.0670146942,27.1196060181,0.0743753612,,,,0,0.02,1,3,25,,N,N,N,N
C1,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,28.8235111237,28.6903152466,0.1883660704,,,,0,0.02,1,3,27,,N,N,N,N
C2,Sample 2,Ssid,UNKNOWN,SYBR,None,20.4005737305,20.3974075317,0.0044776811,,,,0,0.02,1,3,19,,N,N,N,N
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,20.394241333,20.3974075317,0.0044776811,,,,0,0.02,1,3,18,,N,N,N,N
