Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate34_CD.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-30 16:31:40 PM EDT,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,NTC,Ssid,NTC,SYBR,None,16.9667282104,,,,,,0,0.02,1,3,39,,Y,N,N,N,N
A2,+,C,UNKNOWN,VIC,NFQ-MGB,29.6069297791,29.8525791168,0.3474006355,,,,0,0.02,1,3,28,,N,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,27.9597492218,28.1201286316,0.2268120795,,,,0,0.02,1,3,26,,N,N,N,N,N
A3,Sample 7,Ssid,UNKNOWN,SYBR,None,17.579870224,17.5503311157,0.0417746082,,,,0,0.02,1,3,15,,N,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,27.6354427338,28.0857009888,0.6367599964,,,,0,0.02,1,3,26,,N,Y,N,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,Y
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,17.5207920074,17.5503311157,0.0417746082,,,,0,0.02,1,3,15,,N,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,28.5359573364,28.0857009888,0.6367599964,,,,0,0.02,1,3,27,,N,Y,N,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,N,Y
A7,Sample 15,Ssid,UNKNOWN,SYBR,None,18.8470611572,19.0326633453,0.2624811232,,,,0,0.02,1,3,16,,N,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,33.479133606,,,,,0,0.02,1,3,39,,N,N,N,N,Y
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,27.6188297272,27.8975067139,0.3941087723,,,,0,0.02,1,3,26,,N,N,N,N,Y
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,19.2182655334,19.0326633453,0.2624811232,,,,0,0.02,1,3,16,,N,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,33.479133606,33.479133606,,,,,0,0.02,1,3,31,,N,N,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,28.1761837006,27.8975067139,0.3941087723,,,,0,0.02,1,3,26,,N,N,N,N,N
A11,+,Ssid,UNKNOWN,SYBR,None,18.3421859741,18.3277053833,0.0204772986,,,,0,0.02,1,3,16,,N,N,N,N,N
A12,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
A12,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,18.7433567047,18.1775341034,0.800194025,,,,0,0.02,1,3,16,,N,Y,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,35.2724952698,35.6397171021,0.5193327665,,,,0,0.02,1,3,35,,N,Y,N,N,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,26.7691669464,26.945640564,0.249572739,,,,0,0.02,1,3,25,,N,Y,N,N,N
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,17.6117115021,18.1775341034,0.800194025,,,,0,0.02,1,3,16,,N,Y,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,36.006942749,35.6397171021,0.5193327665,,,,0,0.02,1,3,35,,N,Y,N,N,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,27.1221160889,26.945640564,0.249572739,,,,0,0.02,1,3,25,,N,Y,N,N,N
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,17.2028617859,16.9732208252,0.3247600198,,,,0,0.02,1,3,14,,N,N,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,26.8407592773,26.8845901489,0.0619848631,,,,0,0.02,1,3,25,,N,N,N,N,Y
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,16.7435817719,16.9732208252,0.3247600198,,,,0,0.02,1,3,15,,N,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,26.9284191132,26.8845901489,0.0619848631,,,,0,0.02,1,3,25,,N,N,Y,N,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,22.3591117859,20.9765739441,1.9552050829,,,,0,0.02,1,3,21,,N,Y,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,32.5633621216,,,,,0,0.02,1,3,39,,N,N,N,N,Y
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,26.6754379272,27.0234375,0.492144376,,,,0,0.02,1,3,24,,N,N,N,N,Y
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,19.5940341949,20.9765739441,1.9552050829,,,,0,0.02,1,3,19,,N,Y,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,32.5633621216,32.5633621216,,,,,0,0.02,1,3,29,,N,N,N,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,27.3714351654,27.0234375,0.492144376,,,,0,0.02,1,3,25,,N,N,N,N,N
C1,Sample 2,Ssid,UNKNOWN,SYBR,None,17.6167449951,17.3322868347,0.4022859335,,,,0,0.02,1,3,15,,N,N,N,Y,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,31.4628162384,31.2015171051,0.369532764,,,,0,0.02,1,3,30,,N,N,N,N,N
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,27.8442249298,27.8538284302,0.0135800522,,,,0,0.02,1,3,26,,N,N,N,N,N
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,17.047826767,17.3322868347,0.4022859335,,,,0,0.02,1,3,15,,N,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,30.9402179718,31.2015171051,0.369532764,,,,0,0.02,1,3,29,,N,N,N,N,N
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,27.8634300232,27.8538284302,0.0135800522,,,,0,0.02,1,3,26,,N,N,N,N,N
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,16.6247615814,16.6233215332,0.0020365356,,,,0,0.02,1,3,14,,N,N,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,26.4478931427,26.4231185913,0.035036508,,,,0,0.02,1,3,25,,N,N,N,N,Y
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,16.621881485,16.6233215332,0.0020365356,,,,0,0.02,1,3,15,,N,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,26.3983440399,26.4231185913,0.035036508,,,,0,0.02,1,3,24,,N,N,N,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,18.8796443939,18.6997184753,0.2544536889,,,,0,0.02,1,3,18,,N,N,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,Y
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,26.9144077301,26.9241046906,0.0137135731,,,,0,0.02,1,3,25,,N,N,Y,N,Y
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,18.5197925568,18.6997184753,0.2544536889,,,,0,0.02,1,3,17,,N,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,Y
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,26.933801651,26.9241046906,0.0137135731,,,,0,0.02,1,3,25,,N,N,N,N,Y
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,17.480506897,17.1207771301,0.5087347031,,,,0,0.02,1,3,16,,N,Y,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,35.3270683289,35.6933517456,0.5180003047,,,,0,0.02,1,3,35,,N,Y,N,N,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,27.3145446777,27.4984054565,0.2600197494,,,,0,0.02,1,3,25,,N,Y,N,N,N
