Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate39_CD.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-05-29 10:34:04 AM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,26.9563503265,27.0432395935,0.1228786334,,,,0,0.02,1,3,25,,N,N,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C3,Sample 2,Ssid,UNKNOWN,SYBR,None,20.3315162659,20.264383316,0.0949403271,,,,0,0.02,1,3,20,,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,27.1301269531,27.0432395935,0.1228786334,,,,0,0.02,1,3,25,,N,N,N,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C5,Sample 9,Ssid,UNKNOWN,SYBR,None,22.9333972931,23.2922210693,0.5074521303,,,,0,0.02,1,3,22,,Y,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,27.5834751129,27.7199478149,0.1930015534,,,,0,0.02,1,3,26,,N,Y,N,Y
C7,Sample 9,Ssid,UNKNOWN,SYBR,None,23.6510429382,23.2922210693,0.5074521303,,,,0,0.02,1,3,22,,Y,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,27.856420517,27.7199478149,0.1930015534,,,,0,0.02,1,3,26,,N,Y,N,Y
C9,Sample 17,Ssid,UNKNOWN,SYBR,None,21.3280143738,14.2931499481,9.9488010406,,,,0,0.02,1,3,19,,Y,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,27.2363491058,27.556312561,0.4524966478,,,,0,0.02,1,3,25,,N,N,N,N
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,32.5451889038,32.7534103394,0.2944722772,,,,0,0.02,1,3,30,,N,N,N,N
C11,Sample 17,Ssid,UNKNOWN,SYBR,None,7.2582845688,14.2931499481,9.9488010406,,,,0,0.02,1,3,6,,Y,N,Y,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,27.8762760162,27.556312561,0.4524966478,,,,0,0.02,1,3,26,,N,N,N,N
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,32.9616355896,32.7534103394,0.2944722772,,,,0,0.02,1,3,31,,N,N,N,N
D1,Sample 3,Ssid,UNKNOWN,SYBR,None,19.8778648376,20.0399074554,0.2291628718,,,,0,0.02,1,3,19,,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,26.8807029724,26.8508281708,0.042249348,,,,0,0.02,1,3,25,,N,Y,N,Y
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
D3,Sample 3,Ssid,UNKNOWN,SYBR,None,20.2019500732,20.0399074554,0.2291628718,,,,0,0.02,1,3,19,,N,N,N,N
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,26.8209533691,26.8508281708,0.042249348,,,,0,0.02,1,3,25,,N,Y,N,Y
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
D5,Sample 10,Ssid,UNKNOWN,SYBR,None,27.473072052,26.2271385193,1.762016058,,,,0,0.02,1,3,23,,Y,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,29.1524047852,29.3259162903,0.2453836799,,,,0,0.02,1,3,27,,N,Y,N,Y
D7,Sample 10,Ssid,UNKNOWN,SYBR,None,24.9812049866,26.2271385193,1.762016058,,,,0,0.02,1,3,23,,Y,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,29.4994297028,29.3259162903,0.2453836799,,,,0,0.02,1,3,27,,N,Y,N,Y
D9,Sample 18,Ssid,UNKNOWN,SYBR,None,Undetermined,14.5409498215,,,,,0,0.02,1,3,39,,N,Y,N,Y
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
D11,Sample 18,Ssid,UNKNOWN,SYBR,None,14.5409498215,14.5409498215,,,,,0,0.02,1,3,13,,N,N,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
E1,Sample 4,Ssid,UNKNOWN,SYBR,None,30.7162971497,31.0465717316,0.467078805,,,,0,0.02,1,3,30,,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,29.70362854,29.7595863342,0.0791376233,,,,0,0.02,1,3,28,,Y,N,N,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,38.451587677,38.8131256104,0.5112945437,,,,0,0.02,1,3,35,,Y,N,N,N
E3,Sample 4,Ssid,UNKNOWN,SYBR,None,31.3768463135,31.0465717316,0.467078805,,,,0,0.02,1,3,30,,N,N,N,N
E4,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,29.8155460358,29.7595863342,0.0791376233,,,,0,0.02,1,3,28,,Y,N,N,N
E4,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,39.1746673584,38.8131256104,0.5112945437,,,,0,0.02,1,3,35,,Y,N,N,N
E5,Sample 11,Ssid,UNKNOWN,SYBR,None,22.889787674,23.0575752258,0.2372860759,,,,0,0.02,1,3,21,,N,N,N,N
E6,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
E6,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,28.2588291168,28.4045143127,0.2060286254,,,,0,0.02,1,3,26,,N,Y,N,Y
E7,Sample 11,Ssid,UNKNOWN,SYBR,None,23.2253608704,23.0575752258,0.2372860759,,,,0,0.02,1,3,22,,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,28.5501976013,28.4045143127,0.2060286254,,,,0,0.02,1,3,27,,N,Y,N,Y
E9,Sample 19,Ssid,UNKNOWN,SYBR,None,19.5253486633,19.2669830322,0.3653841913,,,,0,0.02,1,3,18,,N,N,N,N
