Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate3.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-01-30 21:33:53 PM EST,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,,,,,,,,,,,,,,,,,,,,,N,N,N,N
A2,,,,,,,,,,,,,,,,,,,,,N,N,N,N
A3,NTC,Ofav,NTC,SYBR,None,36.1967544556,,,,,,0,0.02,1,3,34,73.7928924561,,,,N,N,N,N
A4,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.5602149963,,,,N,N,N,N
A4,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,70.9584884644,,,,N,N,N,N
A5,NTC,Ofav,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,78.2748413086,,,,N,N,N,N
A6,NTC,C,NTC,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.7138786316,,,,N,N,N,N
A6,NTC,D,NTC,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.5609359741,,,,N,N,N,N
A7,-,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,75.5828704834,,,,N,N,Y,N
A8,-,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.7081108093,,,,N,Y,Y,N
A8,-,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.151473999,,,,N,Y,Y,N
