Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate30.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-10-30 13:03:09 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,24.4871444702,24.5510749817,0.0904100463,,,,0,0.02,1,3,22,,N,N,Y
C5,Sample 9,Ofav,UNKNOWN,SYBR,None,29.2633209229,29.2877922058,0.0346089676,,,,0,0.02,1,3,29,,N,N,N
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,25.7471809387,25.6722869873,0.1059146896,,,,0,0.02,1,3,24,,N,N,Y
C7,Sample 9,Ofav,UNKNOWN,SYBR,None,29.3122653961,29.2877922058,0.0346089676,,,,0,0.02,1,3,28,,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,25.5973949432,25.6722869873,0.1059146896,,,,0,0.02,1,3,24,,N,N,Y
C9,Sample 17,Ofav,UNKNOWN,SYBR,None,23.5035762787,28.0912322998,6.487924099,,,,0,0.02,1,3,21,,Y,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,26.449546814,26.6068344116,0.2224382609,,,,0,0.02,1,3,25,,N,N,Y
C11,Sample 17,Ofav,UNKNOWN,SYBR,None,32.6788864136,28.0912322998,6.487924099,,,,0,0.02,1,3,32,,Y,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,26.7641220093,26.6068344116,0.2224382609,,,,0,0.02,1,3,25,,N,N,Y
D1,Sample 3,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,24.9975852966,24.8571586609,0.1985946,,,,0,0.02,1,3,23,,N,N,Y
D3,Sample 3,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D4,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D4,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,24.7167301178,24.8571586609,0.1985946,,,,0,0.02,1,3,22,,N,Y,Y
D5,Sample 10,Ofav,UNKNOWN,SYBR,None,32.6920700073,32.8064880371,0.1618088335,,,,0,0.02,1,3,31,,N,N,N
D6,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
D6,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,25.161523819,25.0807914734,0.114172779,,,,0,0.02,1,3,23,,N,N,Y
D7,Sample 10,Ofav,UNKNOWN,SYBR,None,32.9209022522,32.8064880371,0.1618088335,,,,0,0.02,1,3,32,,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,25.0000591278,25.0807914734,0.114172779,,,,0,0.02,1,3,23,,N,N,Y
D9,Sample 18,Ofav,UNKNOWN,SYBR,None,35.9695854187,34.9319190979,1.4674817324,,,,0,0.02,1,3,33,,Y,N,N
D10,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.4677238464,,,,,0,0.02,1,3,39,,N,N,Y
D10,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,26.7862281799,26.7055053711,0.1141592935,,,,0,0.02,1,3,25,,N,N,Y
D11,Sample 18,Ofav,UNKNOWN,SYBR,None,33.8942527771,34.9319190979,1.4674817324,,,,0,0.02,1,3,34,,Y,N,N
D12,Sample 18,C,UNKNOWN,VIC,NFQ-MGB,34.4677238464,34.4677238464,,,,,0,0.02,1,3,28,,N,N,N
D12,Sample 18,D,UNKNOWN,FAM,NFQ-MGB,26.6247825623,26.7055053711,0.1141592935,,,,0,0.02,1,3,25,,N,N,N
