Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate2.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-01-30 18:48:45 PM EST,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,HIGHSD,NOAMP,EXPFAIL,MTP
A1,,Ofav,UNKNOWN,SYBR,None,Undetermined,33.1921577454,0.2164239287,,,,0,0.02,1,3,39,79.9286804199,72.3281021118,83.8034820557,,N,N,Y,Y
A2,,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.2998123169,,,,N,Y,Y,N
A2,,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.1358566284,,,,N,Y,Y,N
A3,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,88.5738449097,82.015335083,,,N,N,Y,Y
A4,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.4454536438,,,,N,Y,Y,N
A4,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,70.9851074219,,,,N,Y,Y,N
A5,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,93.1953887939,78.5875396729,,,N,N,Y,Y
A6,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.5947380066,,,,N,Y,Y,N
A6,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.1779708862,,,,N,Y,Y,N
A7,-,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,93.4928588867,89.9153366089,84.2509231567,,N,N,Y,Y
A8,-,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.4442100525,,,,N,Y,Y,N
A8,-,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.325843811,,,,N,Y,Y,N
A9,-,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,92.597442627,82.3140487671,,,N,N,Y,Y
A10,-,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.449180603,,,,N,Y,Y,N
A10,-,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.7758178711,,,,N,Y,Y,N
A11,,Ofav,UNKNOWN,SYBR,None,33.4001235962,33.1921577454,0.2164239287,,,,0,0.02,1,3,32,73.6692199707,,,,N,N,N,N
A12,,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.5967826843,,,,N,Y,Y,N
A12,,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,71.4335861206,,,,N,Y,Y,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,19.9074897766,19.7654304504,0.2009022236,,,,0,0.02,1,3,18,74.8616256714,,,,N,N,N,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.4488449097,,,,N,Y,Y,N
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,25.728313446,25.7921714783,0.0903088972,,,,0,0.02,1,3,24,70.5397338867,,,,N,Y,Y,N
B3,Sample 1,Ofav,UNKNOWN,SYBR,None,19.6233711243,19.7654304504,0.2009022236,,,,0,0.02,1,3,18,74.8605957031,,,,N,N,N,N
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,67.258682251,,,,N,N,Y,N
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,25.8560295105,25.7921714783,0.0903088972,,,,0,0.02,1,3,24,71.2832183838,,,,N,N,Y,N
B5,Sample 7,Ofav,UNKNOWN,SYBR,None,20.6684455872,20.3369941711,0.468744427,,,,0,0.02,1,3,19,74.8610458374,,,,N,N,N,N
B6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,65.172164917,,,,N,N,Y,N
B6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.4540958405,26.5035247803,0.0699017271,,,,0,0.02,1,3,24,72.9232711792,,,,N,N,Y,N
B7,Sample 7,Ofav,UNKNOWN,SYBR,None,20.0055408478,20.3369941711,0.468744427,,,,0,0.02,1,3,19,74.8599243164,,,,N,N,N,N
B8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.5123672485,,,,N,Y,Y,N
B8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,26.5529518127,26.5035247803,0.0699017271,,,,0,0.02,1,3,24,72.0277175903,,,,N,Y,Y,N
B9,Sample 13,Ofav,UNKNOWN,SYBR,None,20.7234306335,20.0282783508,0.9830951095,,,,0,0.02,1,3,20,74.7132720947,,,,Y,N,N,N
B10,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,38.0121040344,35.438079834,3.6402225494,,,,0,0.02,1,3,39,67.857673645,,,,Y,N,Y,N
B10,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,26.9750385284,27.0214004517,0.065564312,,,,0,0.02,1,3,25,70.6893310547,,,,Y,N,Y,N
B11,Sample 13,Ofav,UNKNOWN,SYBR,None,19.3331241608,20.0282783508,0.9830951095,,,,0,0.02,1,3,18,74.8615646362,,,,Y,N,N,N
B12,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,32.8640518188,35.438079834,3.6402225494,,,,0,0.02,1,3,30,67.7075271606,,,,Y,N,N,N
B12,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,27.0677604675,27.0214004517,0.065564312,,,,0,0.02,1,3,25,69.6450805664,,,,Y,N,N,N
C1,Sample 2,Ofav,UNKNOWN,SYBR,None,21.0456352234,21.1397895813,0.1331543773,,,,0,0.02,1,3,20,74.7125930786,,,,N,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,66.0688018799,,,,N,N,Y,N
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,26.8251152039,26.9437198639,0.1677323133,,,,0,0.02,1,3,25,70.2416687012,,,,N,N,Y,N
C3,Sample 2,Ofav,UNKNOWN,SYBR,None,21.2339439392,21.1397895813,0.1331543773,,,,0,0.02,1,3,20,74.7115325928,,,,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,65.4699935913,,,,N,Y,Y,N
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,27.0623245239,26.9437198639,0.1677323133,,,,0,0.02,1,3,25,71.1341629028,,,,N,Y,Y,N
C5,Sample 8,Ofav,UNKNOWN,SYBR,None,19.7292118073,19.7786426544,0.0699057728,,,,0,0.02,1,3,18,75.0101013184,,,,N,N,N,N
