Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate8.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-04-05 15:48:04 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
C5,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,32.7080764771,32.6880912781,0.0282633398,,,,1,0.2042896058,1,3,27,,N,Y,N,Y
C6,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,35.5585708618,35.4150466919,0.2029765248,,,,1,0.0043125925,1,3,35,,N,N,N,N
C7,Sample 9,Ofav,UNKNOWN,SYBR,None,21.6233406067,21.6873397827,0.0905085057,,,,1,0.2210532461,1,3,17,,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0652341412,1,3,39,,N,N,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,31.0459423065,31.0359725952,0.0140993008,,,,1,0.2042896058,1,3,26,,N,N,N,Y
C9,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0043125925,1,3,39,,N,N,N,Y
C10,Sample 9,Ofav,UNKNOWN,SYBR,None,21.7513389587,21.6873397827,0.0905085057,,,,1,0.2210532461,1,3,17,,N,N,N,N
C11,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0652341412,1,3,39,,N,N,N,Y
C11,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,31.0260028839,31.0359725952,0.0140993008,,,,1,0.2042896058,1,3,26,,N,N,N,Y
C12,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.0043125925,1,3,39,,N,N,N,Y
D1,Sample 3,Ofav,UNKNOWN,SYBR,None,21.9749584198,21.9845905304,0.0136218611,,,,1,0.2210532461,1,3,17,,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0652341412,1,3,39,,N,N,N,Y
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,30.7261447906,30.7940063477,0.0959693864,,,,1,0.2042896058,1,3,25,,N,N,N,Y
D3,Sample 3,B,UNKNOWN,FAM,NFQ-MGB,38.1471138,38.1471138,,,,,1,0.0043125925,1,3,36,,N,N,N,N
D4,Sample 3,Ofav,UNKNOWN,SYBR,None,21.994222641,21.9845905304,0.0136218611,,,,1,0.2210532461,1,3,17,,N,N,N,N
D5,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.0652341412,1,3,39,,N,N,N,Y
