Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\home\mcano\Dropbox\RSMAS\Projects\2017-Nutrients\2. Ofav-Nutrients\qPCR\qPCR-Raw\Ofav_Nut_Plate5.eds,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-03-07 16:15:33 PM EST,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Comments,BADROX,HIGHSD,NOAMP,NOSIGNAL,EXPFAIL,MTP
C1,Sample 2,Ofav,UNKNOWN,SYBR,None,6.331143856,14.2716779709,11.2296104431,,,,0,0.02,1,3,34,83.2155303955,,,,Y,Y,N,Y,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.6098403931,,,,N,Y,Y,N,Y,N
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,32.4017753601,32.8269424438,0.6012797356,,,,0,0.02,1,3,30,73.3812103271,,,,N,Y,Y,N,Y,N
C3,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,39.5694999695,39.6071472168,0.0532412492,,,,0,0.02,1,3,35,71.7401428223,,,,N,N,N,N,N,N
C4,Sample 2,Ofav,UNKNOWN,SYBR,None,22.2122116089,14.2716779709,11.2296104431,,,,0,0.02,1,3,20,74.5709991455,,,,N,Y,N,N,N,N
C5,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.9053115845,,,,N,Y,Y,N,Y,N
C5,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,33.2521133423,32.8269424438,0.6012797356,,,,0,0.02,1,3,31,78.4434051514,,,,N,Y,Y,N,Y,N
C6,Sample 2,B,UNKNOWN,FAM,NFQ-MGB,39.6447944641,39.6071472168,0.0532412492,,,,0,0.02,1,3,35,72.4837341309,,,,N,N,N,N,N,N
C7,Sample 9,Ofav,UNKNOWN,SYBR,None,21.8321590424,21.9455833435,0.1604048312,,,,0,0.02,1,3,20,74.42237854,,,,N,N,N,N,N,N
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.759098053,,,,N,Y,Y,N,Y,N
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,34.7608757019,34.0647926331,0.9844101071,,,,0,0.02,1,3,33,73.826461792,,,,N,Y,Y,N,Y,N
C9,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,38.8448295593,39.4154968262,0.8070427179,,,,0,0.02,1,3,35,71.4467468262,,,,N,Y,N,N,N,N
C10,Sample 9,Ofav,UNKNOWN,SYBR,None,22.0590057373,21.9455833435,0.1604048312,,,,0,0.02,1,3,19,74.4263916016,,,,N,N,N,N,N,N
C11,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.7109832764,,,,N,Y,Y,N,Y,N
C11,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,33.3687095642,34.0647926331,0.9844101071,,,,0,0.02,1,3,31,76.0369033813,,,,N,Y,Y,N,Y,N
C12,Sample 9,B,UNKNOWN,FAM,NFQ-MGB,39.9861602783,39.4154968262,0.8070427179,,,,0,0.02,1,3,35,74.6938476563,,,,N,Y,N,N,N,N
D1,Sample 3,Ofav,UNKNOWN,SYBR,None,22.7562980652,22.616268158,0.1980308443,,,,0,0.02,1,3,20,74.5732498169,,,,N,N,N,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,81.4274673462,,,,N,N,Y,N,Y,N
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,72.785194397,,,,N,N,Y,N,Y,N
D3,Sample 3,B,UNKNOWN,FAM,NFQ-MGB,38.531162262,38.1519203186,0.5363290906,,,,0,0.02,1,3,35,76.0609283447,,,,N,Y,N,N,N,N
D4,Sample 3,Ofav,UNKNOWN,SYBR,None,22.4762401581,22.616268158,0.1980308443,,,,0,0.02,1,3,20,74.4220123291,,,,N,N,N,N,N,N
D5,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.2286911011,,,,N,N,Y,N,Y,N
D5,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,73.2286911011,,,,N,N,Y,N,Y,N
D6,Sample 3,B,UNKNOWN,FAM,NFQ-MGB,37.7726783752,38.1519203186,0.5363290906,,,,0,0.02,1,3,35,72.4837341309,,,,N,Y,N,N,N,N
D7,Sample 10,Ofav,UNKNOWN,SYBR,None,22.2198944092,22.453792572,0.3307819664,,,,0,0.02,1,3,20,74.5713653564,,,,N,N,N,N,N,N
D8,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.759098053,,,,N,N,Y,N,Y,N
D8,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,34.7857513428,34.7857513428,,,,,0,0.02,1,3,33,73.826461792,,,,N,N,Y,N,Y,N
D9,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,35,78.2999191284,,,,N,N,N,N,N,N
D10,Sample 10,Ofav,UNKNOWN,SYBR,None,22.6876907349,22.453792572,0.3307819664,,,,0,0.02,1,3,21,74.4263916016,,,,N,N,N,N,N,N
D11,Sample 10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,76.1861343384,,,,N,N,Y,N,Y,N
D11,Sample 10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.7857513428,,,,,0,0.02,1,3,39,71.1123657227,,,,N,N,Y,N,Y,N
D12,Sample 10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,74.3953933716,,,,N,N,N,N,Y,N
E1,Sample 4,Ofav,UNKNOWN,SYBR,None,23.3221054077,22.9989242554,0.4570485055,,,,0,0.02,1,3,22,74.5732498169,,,,N,N,N,N,N,N
E2,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,62.056854248,,,,N,Y,Y,N,Y,N
E2,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,34.7557983398,35.6604614258,1.2793867588,,,,0,0.02,1,3,33,73.5302200317,,,,N,Y,Y,N,Y,N
E3,Sample 4,B,UNKNOWN,FAM,NFQ-MGB,39.7247123718,39.7247123718,,,,,0,0.02,1,3,35,75.7629470825,,,,N,N,N,N,N,N
E4,Sample 4,Ofav,UNKNOWN,SYBR,None,22.6757411957,22.9989242554,0.4570485055,,,,0,0.02,1,3,21,74.2730178833,,,,N,N,N,N,N,N
E5,Sample 4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,61.9053115845,,,,N,Y,Y,N,Y,N
E5,Sample 4,D,UNKNOWN,FAM,NFQ-MGB,36.5651245117,35.6604614258,1.2793867588,,,,0,0.02,1,3,34,71.8877639771,,,,N,Y,Y,N,Y,N
E6,Sample 4,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.7247123718,,,,,0,0.02,1,3,35,72.4837341309,,,,N,N,N,N,N,N
E7,Sample 11,Ofav,UNKNOWN,SYBR,None,20.2189331055,20.2528877258,0.0480204336,,,,0,0.02,1,3,18,74.7203445435,,,,N,N,N,N,N,N
E8,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,31.9149208069,32.0908889771,0.2488565743,,,,0,0.02,1,3,27,61.6101150513,,,,N,N,N,N,N,N
E8,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,25.1509609222,25.0402183533,0.1566122919,,,,0,0.02,1,3,23,69.8040084839,,,,N,N,N,N,N,N
E9,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.2808914185,,,,,0,0.02,1,3,39,71.8936920166,,,,N,N,Y,N,Y,N
E10,Sample 11,Ofav,UNKNOWN,SYBR,None,20.2868442535,20.2528877258,0.0480204336,,,,0,0.02,1,3,18,74.5753707886,,,,N,N,N,N,N,N
E11,Sample 11,C,UNKNOWN,VIC,NFQ-MGB,32.2668571472,32.0908889771,0.2488565743,,,,0,0.02,1,3,27,63.0540390015,,,,N,N,N,N,N,N
E11,Sample 11,D,UNKNOWN,FAM,NFQ-MGB,24.9294776917,25.0402183533,0.1566122919,,,,0,0.02,1,3,23,75.8876724243,,,,N,N,N,N,N,N
E12,Sample 11,B,UNKNOWN,FAM,NFQ-MGB,39.2808914185,39.2808914185,,,,,0,0.02,1,3,35,71.7092819214,,,,N,N,N,N,N,N
F1,Sample 5,Ofav,UNKNOWN,SYBR,None,20.279132843,20.0485401154,0.326107353,,,,0,0.02,1,3,18,74.5732498169,,,,N,N,N,N,N,N
