Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ofav\Ofav_Nut_Plate27.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-10-29 14:48:15 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,NTC,Ofav,UNKNOWN,SYBR,None,Undetermined,34.6176109314,,,,,0,0.02,1,3,39,,N,N,N,Y
A2,+,C,UNKNOWN,VIC,NFQ-MGB,14.689740181,14.6453046799,0.0628412887,,,,0,0.02,1,3,12,,N,N,N,N
A2,+,D,UNKNOWN,FAM,NFQ-MGB,9.8386192322,9.8971347809,0.0827528089,,,,0,0.02,1,3,7,,N,N,N,N
A3,Sample 7,Ofav,UNKNOWN,SYBR,None,23.1601333618,22.9543647766,0.2910020649,,,,0,0.02,1,3,22,,N,N,N,N
A4,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
A4,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,24.9577140808,25.1118049622,0.2179187685,,,,0,0.02,1,3,23,,N,N,N,Y
A5,Sample 7,Ofav,UNKNOWN,SYBR,None,22.7485942841,22.9543647766,0.2910020649,,,,0,0.02,1,3,21,,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,25.2658977509,25.1118049622,0.2179187685,,,,0,0.02,1,3,23,,N,Y,N,Y
A7,Sample 15,Ofav,UNKNOWN,SYBR,None,19.922121048,20.0909156799,0.238710314,,,,0,0.02,1,3,18,,N,N,N,N
A8,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.8185386658,,,,,0,0.02,1,3,39,,N,Y,N,Y
A8,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,26.5216522217,26.602897644,0.1148997247,,,,0,0.02,1,3,25,,N,Y,N,Y
A9,Sample 15,Ofav,UNKNOWN,SYBR,None,20.2597084045,20.0909156799,0.238710314,,,,0,0.02,1,3,19,,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,34.8185386658,34.8185386658,,,,,0,0.02,1,3,28,,N,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,26.6841449738,26.602897644,0.1148997247,,,,0,0.02,1,3,25,,N,N,N,N
A11,+,Ofav,UNKNOWN,SYBR,None,5.6165060997,5.8666014671,0.3536882699,,,,0,0.02,1,3,4,,N,N,N,N
A12,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
A12,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,N,Y
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,10.3382730484,10.3382730484,,,,,0,0.02,1,3,9,,N,N,Y,N
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,23.9495639801,24.0767059326,0.1798072159,,,,0,0.02,1,3,22,,N,N,N,Y
B3,Sample 1,Ofav,UNKNOWN,SYBR,None,Undetermined,10.3382730484,,,,,0,0.02,1,3,39,,N,N,N,Y
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,24.2038497925,24.0767059326,0.1798072159,,,,0,0.02,1,3,22,,N,N,N,Y
B5,Sample 8,Ofav,UNKNOWN,SYBR,None,38.038936615,37.543510437,0.7006357312,,,,0,0.02,1,3,34,,Y,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,24.2719745636,24.2879524231,0.0225974545,,,,0,0.02,1,3,22,,N,N,N,Y
B7,Sample 8,Ofav,UNKNOWN,SYBR,None,37.0480880737,37.543510437,0.7006357312,,,,0,0.02,1,3,34,,Y,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,24.3039321899,24.2879524231,0.0225974545,,,,0,0.02,1,3,22,,N,N,N,Y
B9,Sample 16,Ofav,UNKNOWN,SYBR,None,19.969335556,20.125421524,0.2207388878,,,,0,0.02,1,3,18,,N,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.068572998,,,,,0,0.02,1,3,39,,N,N,N,Y
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,26.3539791107,26.4947814941,0.1991259903,,,,0,0.02,1,3,25,,N,N,N,Y
B11,Sample 16,Ofav,UNKNOWN,SYBR,None,20.2815074921,20.125421524,0.2207388878,,,,0,0.02,1,3,19,,N,N,N,N
B12,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,34.068572998,34.068572998,,,,,0,0.02,1,3,28,,N,N,N,N
B12,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,26.6355857849,26.4947814941,0.1991259903,,,,0,0.02,1,3,25,,N,N,N,N
C1,Sample 2,Ofav,UNKNOWN,SYBR,None,19.7152614594,19.9005870819,0.2620899975,,,,0,0.02,1,3,17,,N,N,N,N
C2,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C2,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,25.6921863556,25.9026489258,0.2976376712,,,,0,0.02,1,3,24,,N,N,N,Y
C3,Sample 2,Ofav,UNKNOWN,SYBR,None,20.0859127045,19.9005870819,0.2620899975,,,,0,0.02,1,3,17,,N,N,N,N
C4,Sample 2,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C4,Sample 2,D,UNKNOWN,FAM,NFQ-MGB,26.1131095886,25.9026489258,0.2976376712,,,,0,0.02,1,3,24,,N,N,N,Y
C5,Sample 9,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C6,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C6,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,26.3283977509,26.1624736786,0.2346520722,,,,0,0.02,1,3,24,,N,N,N,Y
C7,Sample 9,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C8,Sample 9,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C8,Sample 9,D,UNKNOWN,FAM,NFQ-MGB,25.9965496063,26.1624736786,0.2346520722,,,,0,0.02,1,3,24,,N,N,N,Y
C9,Sample 17,Ofav,UNKNOWN,SYBR,None,21.3321266174,21.3333110809,0.0016750843,,,,0,0.02,1,3,19,,N,N,N,N
C10,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C10,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,27.2582988739,27.3298473358,0.1011848077,,,,0,0.02,1,3,25,,N,N,N,Y
C11,Sample 17,Ofav,UNKNOWN,SYBR,None,21.3344955444,21.3333110809,0.0016750843,,,,0,0.02,1,3,21,,N,N,N,N
C12,Sample 17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
C12,Sample 17,D,UNKNOWN,FAM,NFQ-MGB,27.4013957977,27.3298473358,0.1011848077,,,,0,0.02,1,3,26,,N,N,N,Y
D1,Sample 3,Ofav,UNKNOWN,SYBR,None,19.9808082581,20.4109382629,0.6082943082,,,,0,0.02,1,3,19,,Y,N,N,N
D2,Sample 3,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,Y
D2,Sample 3,D,UNKNOWN,FAM,NFQ-MGB,24.5222702026,24.4525260925,0.0986330658,,,,0,0.02,1,3,23,,N,N,N,Y
