Fragment,Colony,Treatment,Replicate,Days_Experiment,Fu.stat_exp,Fu.time_texp
Ss_24-7,Ss_24,N,R1,113,0,113
Ss_24-10,Ss_24,N,R1,113,0,113
Ss_24-14,Ss_24,N,R1,82,0,82
Ss_27-5,Ss_27,N,R1,113,0,113
Ss_27-12,Ss_27,N,R1,82,0,82
Ss_27-21,Ss_27,N,R1,113,0,113
Ss_27-45,Ss_27,N,R1,113,0,113
Ss_28-3,Ss_28,N,R1,113,0,113
Ss_28-6,Ss_28,N,R1,82,0,82
Ss_28-9,Ss_28,N,R1,113,0,113
Ss_30-2,Ss_30,N,R1,82,0,82
Ss_30-5,Ss_30,N,R1,113,0,113
Ss_30-9,Ss_30,N,R1,113,0,113
Ss_30-13,Ss_30,N,R1,113,0,113
Ss_20-3,Ss_20,NP,R1,113,0,113
Ss_20-11,Ss_20,NP,R1,113,0,113
Ss_20-17,Ss_20,NP,R1,113,0,113
Ss_20-23,Ss_20,NP,R1,82,0,82
Ss_22-6,Ss_22,NP,R1,82,0,82
Ss_22-12,Ss_22,NP,R1,113,0,113
Ss_22-18,Ss_22,NP,R1,113,0,113
Ss_22-25,Ss_22,NP,R1,113,0,113
Ss_23-56,Ss_23,NP,R1,113,0,113
Ss_23-59,Ss_23,NP,R1,82,0,82
Ss_23-63,Ss_23,NP,R1,113,0,113
Ss_23-67,Ss_23,NP,R1,113,0,113
Ss_24-5,Ss_24,NP,R1,113,0,113
Ss_24-11,Ss_24,NP,R1,82,0,82
Ss_24-15,Ss_24,NP,R1,113,0,113
Ss_27-6,Ss_27,NA,NA,113,0,113
Ss_27-18,Ss_27,NP,R1,113,0,113
Ss_27-27,Ss_27,NP,R1,82,0,82
Ss_27-46,Ss_27,NP,R1,113,0,113
Ss_28-4,Ss_28,NP,R1,82,0,82
Ss_28-7,Ss_28,NP,R1,113,0,113
Ss_28-10,Ss_28,NP,R1,113,0,113
Ss_30-3,Ss_30,NP,R1,113,0,113
Ss_30-7,Ss_30,NP,R1,113,0,113
Ss_30-10,Ss_30,NP,R1,82,0,82
Ss_30-14,Ss_30,NP,R1,113,0,113
Ss_20-26,Ss_20,Control,R2,113,0,113
Ss_20-32,Ss_20,Control,R2,113,0,113
Ss_20-38,Ss_20,Control,R2,113,0,113
Ss_20-45,Ss_20,Control,R2,82,0,82
Ss_22-26,Ss_22,Control,R2,63,1,63
Ss_22-32,Ss_22,Control,R2,113,0,113
Ss_22-35,Ss_22,Control,R2,113,0,113
Ss_22-39,Ss_22,Control,R2,82,0,82
Ss_23-68,Ss_23,Control,R2,113,0,113
Ss_23-72,Ss_23,Control,R2,113,0,113
Ss_23-75,Ss_23,Control,R2,113,0,113
Ss_23-79,Ss_23,Control,R2,82,0,82
Ss_24-16,Ss_24,Control,R2,113,0,113
Ss_24-19,Ss_24,Control,R2,113,0,113
Ss_24-23,Ss_24,Control,R2,82,0,82
Ss_27-57,Ss_27,Control,R2,113,0,113
Ss_27-73,Ss_27,Control,R2,113,0,113
Ss_27-85,Ss_27,Control,R2,113,0,113
Ss_27-94,Ss_27,Control,R2,82,0,82
Ss_28-11,Ss_28,Control,R2,113,0,113
Ss_28-15,Ss_28,Control,R2,113,0,113
Ss_28-20,Ss_28,Control,R2,82,0,82
Ss_28-29,Ss_28,Control,R2,113,0,113
Ss_30-15,Ss_30,Control,R2,113,0,113
Ss_30-20,Ss_30,Control,R2,113,0,113
Ss_30-23,Ss_30,Control,R2,82,0,82
Ss_30-26,Ss_30,Control,R2,113,0,113
Ss_20-29,Ss_20,N,R2,113,0,113
Ss_20-33,Ss_20,N,R2,113,0,113
Ss_20-39,Ss_20,N,R2,82,0,82
Ss_20-46,Ss_20,N,R2,113,0,113
Ss_22-27,Ss_22,N,R2,113,0,113
Ss_22-33,Ss_22,N,R2,113,0,113
Ss_22-36,Ss_22,N,R2,82,0,82
Ss_22-41,Ss_22,N,R2,113,0,113
Ss_23-70,Ss_23,N,R2,82,0,82
Ss_23-73,Ss_23,N,R2,113,0,113
Ss_23-76,Ss_23,N,R2,113,0,113
Ss_23-80,Ss_23,N,R2,113,0,113
Ss_24-17,Ss_24,N,R2,113,0,113
Ss_24-21,Ss_24,N,R2,113,0,113
Ss_24-24,Ss_24,N,R2,113,0,113
Ss_24-27,Ss_24,N,R2,82,0,82
Ss_27-67,Ss_27,N,R2,113,0,113
Ss_27-75,Ss_27,N,R2,113,0,113
Ss_27-86,Ss_27,N,R2,113,0,113
Ss_27-97,Ss_27,N,R2,82,0,82
Ss_28-13,Ss_28,N,R2,113,0,113
Ss_28-18,Ss_28,N,R2,113,0,113
Ss_28-21,Ss_28,N,R2,113,0,113
Ss_28-30,Ss_28,N,R2,82,0,82
Ss_30-16,Ss_30,N,R2,113,0,113
Ss_30-21,Ss_30,N,R2,113,0,113
Ss_30-24,Ss_30,N,R2,82,0,82
Ss_30-27,Ss_30,N,R2,113,0,113
Ss_20-30,Ss_20,NP,R2,113,0,113
Ss_20-36,Ss_20,NP,R2,82,0,82
Ss_20-41,Ss_20,NP,R2,113,0,113
Ss_20-48,Ss_20,NP,R2,113,0,113
Ss_22-31,Ss_22,NP,R2,113,0,113
Ss_22-34,Ss_22,NP,R2,113,0,113
Ss_22-38,Ss_22,NP,R2,113,0,113
Ss_22-42,Ss_22,NP,R2,82,0,82
Ss_23-71,Ss_23,NP,R2,82,0,82
Ss_23-74,Ss_23,NP,R2,113,0,113
Ss_23-78,Ss_23,NP,R2,113,0,113
Ss_23-81,Ss_23,NP,R2,113,0,113
Ss_24-18,Ss_24,NP,R2,113,0,113
Ss_24-22,Ss_24,NP,R2,113,0,113
Ss_24-25,Ss_24,NP,R2,113,0,113
Ss_24-28,Ss_24,NP,R2,82,0,82
Ss_27-68,Ss_27,NP,R2,113,0,113
Ss_27-77,Ss_27,NP,R2,82,0,82
Ss_27-87,Ss_27,NP,R2,113,0,113
Ss_27-98,Ss_27,NP,R2,113,0,113
Ss_28-14,Ss_28,NP,R2,113,0,113
Ss_28-19,Ss_28,NP,R2,113,0,113
Ss_28-23,Ss_28,NP,R2,113,0,113
Ss_30-18,Ss_30,NP,R2,113,0,113
Ss_30-22,Ss_30,NP,R2,113,0,113
Ss_30-25,Ss_30,NP,R2,82,0,82
Ss_30-28,Ss_30,NP,R2,113,0,113
