Fragment,Treatment,Replicate,Date,Time_Point,Phase,Genotype,Days_Experiment,Days_Survivor,Fu.time_tot,Fu.stat_tot,Fu.time_texp,Fu.stat_exp
Ac_214,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_50,-97,17,17,1,NA,NA
Ac_215,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_50,-97,17,17,1,NA,NA
Ac_127,BaseLine,NA,8/12/17,T0.1,Baseline,Ac_62,-97,17,17,1,NA,NA
Ac_200,BaseLine,NA,7/31/17,T0.1,Baseline,Ac_62,-106,8,8,1,NA,NA
Ac_162,Control,R1,3/8/18,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_169,Control,R1,3/8/18,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_261,Control,R1,3/8/18,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_267,Control,R1,2/5/18,T14,Nutrients,Ac_07,82,196,196,0,82,0
Ac_273,Control,R1,3/8/18,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_166,Control,R2,3/8/18,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_173,Control,R2,3/8/18,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_264,Control,R2,3/8/18,T23,Heat,Ac_07,113,227,227,0,113,0
Ac_270,Control,R2,2/5/18,T14,Nutrients,Ac_07,82,196,196,0,82,0
Ac_143,Control,R1,3/8/18,T23,Heat,Ac_08,113,227,227,0,113,0
Ac_231,Control,R2,3/8/18,T23,Heat,Ac_08,113,227,227,0,113,0
Ac_149,Control,R1,2/5/18,T14,Nutrients,Ac_31,82,196,196,0,82,0
Ac_157,Control,R1,3/8/18,T23,Heat,Ac_31,113,227,227,0,113,0
Ac_248,Control,R1,3/8/18,T23,Heat,Ac_31,113,227,227,0,113,0
Ac_152,Control,R2,3/8/18,T23,Heat,Ac_31,113,227,227,0,113,0
Ac_160,Control,R2,3/8/18,T23,Heat,Ac_31,113,227,227,0,113,0
Ac_176,Control,R1,3/8/18,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_182,Control,R1,3/8/18,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_189,Control,R1,2/5/18,T14,Nutrients,Ac_48,82,196,196,0,82,0
Ac_281,Control,R1,3/8/18,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_287,Control,R1,3/8/18,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_179,Control,R2,3/8/18,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_186,Control,R2,3/8/18,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_277,Control,R2,3/8/18,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_284,Control,R2,3/8/18,T23,Heat,Ac_48,113,227,227,0,113,0
Ac_290,Control,R2,2/5/18,T14,Nutrients,Ac_48,82,196,196,0,82,0
Ac_105,Control,R1,3/8/18,T23,Heat,Ac_50,113,227,227,0,113,0
Ac_204,Control,R1,3/8/18,T23,Heat,Ac_50,113,227,227,0,113,0
Ac_102,Control,R2,3/8/18,T23,Heat,Ac_50,113,227,227,0,113,0
Ac_108,Control,R2,3/8/18,T23,Heat,Ac_50,113,227,227,0,113,0
Ac_116,Control,R1,3/8/18,T23,Heat,Ac_62,113,227,227,0,113,0
