Fragment,Time1,Time2,Treatment,Replicate,Date,Time_Point,Phase,Genotype,Gen_Treat,Days_Experiment,Days_Survivor,Fu.time_tot,Fu.stat_tot,Fu.time_texp,Fu.stat_exp,HeatStress
Ac_119,0,82,Ambient,R2,03/08/18,T23,Heat,G_62,Ac_62_Ambient,113,227,227,0,113,0,0
Ac_125,0,82,Ambient,R2,03/08/18,T23,Heat,G_62,Ac_62_Ambient,113,227,227,0,113,0,0
Ac_217,0,82,Ambient,R2,03/08/18,T23,Heat,G_62,Ac_62_Ambient,113,227,227,0,113,0,0
Ac_223,0,82,Ambient,R2,02/05/18,T14,Nutrients,G_62,Ac_62_Ambient,82,196,196,0,82,0,0
Ac_164,0,82,N,R1,02/12/18,T16,Ramping,G_07,Ac_07_N,89,203,203,1,89,0,0
Ac_170,0,82,N,R1,02/19/18,T18,Heat,G_07,Ac_07_N,96,210,210,1,96,0,0
Ac_262,0,82,N,R1,02/15/18,T17,Heat,G_07,Ac_07_N,92,206,206,1,92,0,0
Ac_268,0,82,N,R1,02/05/18,T14,Nutrients,G_07,Ac_07_N,82,196,196,0,82,0,0
Ac_274,0,82,N,R1,02/15/18,T17,Heat,G_07,Ac_07_N,92,206,206,1,92,0,0
Ac_167,0,71,N,R2,01/25/18,T12,Nutrients,G_07,Ac_07_N,71,185,185,1,71,1,0
Ac_174,0,82,N,R2,02/19/18,T18,Heat,G_07,Ac_07_N,96,210,210,1,96,0,0
Ac_265,0,82,N,R2,02/05/18,T14,Nutrients,G_07,Ac_07_N,82,196,196,0,82,0,0
Ac_271,0,82,N,R2,02/19/18,T18,Heat,G_07,Ac_07_N,96,210,210,1,96,0,0
Ac_144,0,82,N,R1,02/15/18,T17,Heat,G_08,Ac_08_N,92,206,206,1,92,0,0
Ac_232,0,82,N,R2,02/15/18,T17,Heat,G_08,Ac_08_N,92,206,206,1,92,0,0
Ac_234,0,82,N,R2,02/05/18,T14,Nutrients,G_08,Ac_08_N,82,196,196,0,82,0,0
Ac_150,0,82,N,R1,02/22/18,T19,Heat,G_31,Ac_31_N,99,213,213,1,99,0,0
Ac_158,0,82,N,R1,02/05/18,T14,Nutrients,G_31,Ac_31_N,82,196,196,0,82,0,0
Ac_249,0,82,N,R1,02/26/18,T20,Heat,G_31,Ac_31_N,103,217,217,1,103,0,0
Ac_154,0,82,N,R2,02/22/18,T19,Heat,G_31,Ac_31_N,99,213,213,1,99,0,0
Ac_246,0,82,N,R2,02/05/18,T14,Nutrients,G_31,Ac_31_N,82,196,196,0,82,0,0
Ac_299,0,82,N,R2,02/26/18,T20,Heat,G_31,Ac_31_N,103,217,217,1,103,0,0
Ac_177,0,82,N,R1,03/05/18,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,0,0
