Fragment,Treatment,Replicate,Date,Time_Point,Phase,Genotype,Gen_Treat,Days_Experiment,Days_Survivor,Fu.time_tot,Fu.stat_tot,Fu.time_texp,Fu.stat_exp
Ac_234,N,R2,02/05/2018,T14,Nutrients,G_08,Ac_08_N,82,196,196,0,82,0
Ac_150,N,R1,02/22/2018,T19,Heat,G_31,Ac_31_N,99,213,213,1,99,1
Ac_158,N,R1,02/05/2018,T14,Nutrients,G_31,Ac_31_N,82,196,196,0,82,0
Ac_249,N,R1,02/26/2018,T20,Heat,G_31,Ac_31_N,103,217,217,1,103,1
Ac_154,N,R2,02/22/2018,T19,Heat,G_31,Ac_31_N,99,213,213,1,99,1
Ac_246,N,R2,02/05/2018,T14,Nutrients,G_31,Ac_31_N,82,196,196,0,82,0
Ac_299,N,R2,02/26/2018,T20,Heat,G_31,Ac_31_N,103,217,217,1,103,1
Ac_177,N,R1,03/05/2018,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,1
Ac_183,N,R1,02/05/2018,T14,Nutrients,G_48,Ac_48_N,82,196,196,0,82,0
Ac_190,N,R1,03/05/2018,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,1
Ac_282,N,R1,03/05/2018,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,1
Ac_288,N,R1,03/05/2018,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,1
Ac_180,N,R2,02/05/2018,T14,Nutrients,G_48,Ac_48_N,82,196,196,0,82,0
Ac_187,N,R2,03/05/2018,T22,Heat,G_48,Ac_48_N,110,224,224,1,110,1
Ac_278,N,R2,03/01/2018,T21,Heat,G_48,Ac_48_N,106,220,220,1,106,1
Ac_285,N,R2,03/01/2018,T21,Heat,G_48,Ac_48_N,106,220,220,1,106,1
Ac_106,N,R1,02/15/2018,T17,Heat,G_50,Ac_50_N,92,206,206,1,92,1
Ac_206,N,R1,01/30/2018,T13,Nutrients,G_50,Ac_50_N,76,190,190,1,76,1
Ac_103,N,R2,01/25/2018,T12,Nutrients,G_50,Ac_50_N,71,185,185,1,71,1
Ac_109,N,R2,01/25/2018,T12,Nutrients,G_50,Ac_50_N,71,185,185,1,71,1
Ac_117,N,R1,03/05/2018,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,1
Ac_123,N,R1,03/05/2018,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,1
Ac_130,N,R1,03/01/2018,T21,Heat,G_62,Ac_62_N,106,220,220,1,106,1
Ac_221,N,R1,03/05/2018,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,1
Ac_227,N,R1,02/05/2018,T14,Nutrients,G_62,Ac_62_N,82,196,196,0,82,0
Ac_120,N,R2,02/26/2018,T20,Heat,G_62,Ac_62_N,103,217,217,1,103,1
Ac_126,N,R2,03/01/2018,T21,Heat,G_62,Ac_62_N,106,220,220,1,106,1
Ac_218,N,R2,02/05/2018,T14,Nutrients,G_62,Ac_62_N,82,196,196,0,82,0
Ac_224,N,R2,03/05/2018,T22,Heat,G_62,Ac_62_N,110,224,224,1,110,1
Ac_230,N,R2,03/01/2018,T21,Heat,G_62,Ac_62_N,106,220,220,1,106,1
Ac_165,N_P,R1,02/22/2018,T19,Heat,G_07,Ac_07_N_P,99,213,213,1,99,1
Ac_171,N_P,R1,02/19/2018,T18,Heat,G_07,Ac_07_N_P,96,210,210,1,96,1
Ac_263,N_P,R1,02/19/2018,T18,Heat,G_07,Ac_07_N_P,96,210,210,1,96,1
Ac_269,N_P,R1,02/05/2018,T14,Nutrients,G_07,Ac_07_N_P,82,196,196,0,82,0
Ac_168,N_P,R2,02/15/2018,T17,Heat,G_07,Ac_07_N_P,92,206,206,1,92,1
Ac_175,N_P,R2,02/15/2018,T17,Heat,G_07,Ac_07_N_P,92,206,206,1,92,1
Ac_266,N_P,R2,02/05/2018,T14,Nutrients,G_07,Ac_07_N_P,82,196,196,0,82,0
Ac_272,N_P,R2,02/19/2018,T18,Heat,G_07,Ac_07_N_P,96,210,210,1,96,1
Ac_145,N_P,R1,02/19/2018,T18,Heat,G_08,Ac_08_N_P,96,210,210,1,96,1
Ac_233,N_P,R2,02/22/2018,T19,Heat,G_08,Ac_08_N_P,99,213,213,1,99,1
Ac_235,N_P,R2,02/15/2018,T17,Heat,G_08,Ac_08_N_P,92,206,206,1,92,1
Ac_151,N_P,R1,02/19/2018,T18,Heat,G_31,Ac_31_N_P,96,210,210,1,96,1
Ac_159,N_P,R1,02/05/2018,T14,Nutrients,G_31,Ac_31_N_P,82,196,196,0,82,0
Ac_250,N_P,R1,03/01/2018,T21,Heat,G_31,Ac_31_N_P,106,220,220,1,106,1
Ac_155,N_P,R2,03/08/2018,T23,Heat,G_31,Ac_31_N_P,113,227,227,0,113,0
Ac_247,N_P,R2,02/26/2018,T20,Heat,G_31,Ac_31_N_P,103,217,217,1,103,1
Ac_178,N_P,R1,03/05/2018,T22,Heat,G_48,Ac_48_N_P,110,224,224,1,110,1
Ac_184,N_P,R1,03/05/2018,T22,Heat,G_48,Ac_48_N_P,110,224,224,1,110,1
Ac_276,N_P,R1,03/01/2018,T21,Heat,G_48,Ac_48_N_P,106,220,220,1,106,1
Ac_283,N_P,R1,02/05/2018,T14,Nutrients,G_48,Ac_48_N_P,82,196,196,0,82,0
Ac_289,N_P,R1,03/01/2018,T21,Heat,G_48,Ac_48_N_P,106,220,220,1,106,1
Ac_181,N_P,R2,02/05/2018,T14,Nutrients,G_48,Ac_48_N_P,82,196,196,0,82,0
Ac_188,N_P,R2,03/08/2018,T23,Heat,G_48,Ac_48_N_P,113,227,227,0,113,0
Ac_280,N_P,R2,03/05/2018,T22,Heat,G_48,Ac_48_N_P,110,224,224,1,110,1
Ac_286,N_P,R2,03/08/2018,T23,Heat,G_48,Ac_48_N_P,113,227,227,0,113,0
Ac_101,N_P,R1,02/19/2018,T18,Heat,G_50,Ac_50_N_P,96,210,210,1,96,1
Ac_107,N_P,R1,02/19/2018,T18,Heat,G_50,Ac_50_N_P,96,210,210,1,96,1
Ac_300,N_P,R1,01/19/2018,T11,Nutrients,G_50,Ac_50_N_P,65,179,179,1,65,1
Ac_104,N_P,R2,02/19/2018,T18,Heat,G_50,Ac_50_N_P,96,210,210,1,96,1
Ac_110,N_P,R2,02/05/2018,T14,Nutrients,G_50,Ac_50_N_P,82,196,196,0,82,0
Ac_118,N_P,R1,03/01/2018,T21,Heat,G_62,Ac_62_N_P,106,220,220,1,106,1
Ac_124,N_P,R1,03/05/2018,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,1
Ac_216,N_P,R1,02/05/2018,T14,Nutrients,G_62,Ac_62_N_P,82,196,196,0,82,0
Ac_222,N_P,R1,03/05/2018,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,1
Ac_228,N_P,R1,03/05/2018,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,1
Ac_121,N_P,R2,02/05/2018,T14,Nutrients,G_62,Ac_62_N_P,82,196,196,0,82,0
Ac_128,N_P,R2,03/08/2018,T23,Heat,G_62,Ac_62_N_P,113,227,227,0,113,0
Ac_219,N_P,R2,02/05/2018,T14,Nutrients,G_62,Ac_62_N_P,82,196,196,0,82,0
Ac_225,N_P,R2,03/08/2018,T23,Heat,G_62,Ac_62_N_P,113,227,227,0,113,0
Ac_229,N_P,R2,03/05/2018,T22,Heat,G_62,Ac_62_N_P,110,224,224,1,110,1
