Genotype,Treatment,Rep,Frag,Date,ProK T=9,1st  EtOH,2nd EtOH,DNA,qPCR,Targets,Plate,Sample,Sample.Plate
Red and Yellow,Control,R1,204,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate12,Sample 22,Sample 22_Plate12.csv
Yellow,Control,R1,143,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 1,Sample 1_Plate13.csv
F,N,R1,146,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 2,Sample 2_Plate13.csv
Green,N,R1,177,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 3,Sample 3_Plate13.csv
Green,N,R1,183,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 4,Sample 4_Plate13.csv
Green,N,R1,190,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 5,Sample 5_Plate13.csv
Green,N,R1,282,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 6,Sample 6_Plate13.csv
Green,N,R1,288,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 7,Sample 7_Plate13.csv
Green and Orange,N,R1,117,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 8,Sample 8_Plate13.csv
Green and Orange,N,R1,123,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 9,Sample 9_Plate13.csv
Green and Orange,N,R1,130,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 10,Sample 10_Plate13.csv
Green and Orange,N,R1,221,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 11,Sample 11_Plate13.csv
Green and Orange,N,R1,227,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 12,Sample 12_Plate13.csv
Orange,N,R1,150,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 13,Sample 13_Plate13.csv
Orange,N,R1,158,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 14,Sample 14_Plate13.csv
Orange,N,R1,249,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 15,Sample 15_Plate13.csv
Red and Orange,N,R1,164,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 16,Sample 16_Plate13.csv
Red and Orange,N,R1,170,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 17,Sample 17_Plate13.csv
Red and Orange,N,R1,262,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 18,Sample 18_Plate13.csv
Red and Orange,N,R1,268,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 19,Sample 19_Plate13.csv
Red and Orange,N,R1,274,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 20,Sample 20_Plate13.csv
Red and Yellow,N,R1,106,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 21,Sample 21_Plate13.csv
Yellow,N,R1,144,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/08,"Acer, A",Plate13,Sample 22,Sample 22_Plate13.csv
F,NP,R1,138,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 1,Sample 1_Plate14.csv
F,NP,R1,240,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 2,Sample 2_Plate14.csv
Green,NP,R1,178,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 3,Sample 3_Plate14.csv
Green,NP,R1,184,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 4,Sample 4_Plate14.csv
Green,NP,R1,276,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 5,Sample 5_Plate14.csv
Green,NP,R1,283,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 6,Sample 6_Plate14.csv
Green,NP,R1,289,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 7,Sample 7_Plate14.csv
Green and Orange,NP,R1,118,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 8,Sample 8_Plate14.csv
Green and Orange,NP,R1,124,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 9,Sample 9_Plate14.csv
Green and Orange,NP,R1,216,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 10,Sample 10_Plate14.csv
Green and Orange,NP,R1,222,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 11,Sample 11_Plate14.csv
Green and Orange,NP,R1,228,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 12,Sample 12_Plate14.csv
Orange,NP,R1,151,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 13,Sample 13_Plate14.csv
Orange,NP,R1,159,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 14,Sample 14_Plate14.csv
Orange,NP,R1,250,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 15,Sample 15_Plate14.csv
Red and Orange,NP,R1,165,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 16,Sample 16_Plate14.csv
Red and Orange,NP,R1,171,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 17,Sample 17_Plate14.csv
Red and Orange,NP,R1,263,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 18,Sample 18_Plate14.csv
Red and Orange,NP,R1,269,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 19,Sample 19_Plate14.csv
Red and Yellow,NP,R1,101,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 20,Sample 20_Plate14.csv
Red and Yellow,NP,R1,107,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 21,Sample 21_Plate14.csv
Yellow,NP,R1,145,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate14,Sample 22,Sample 22_Plate14.csv
F,Control,R2,139,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 1,Sample 1_Plate15.csv
F,Control,R2,192,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 2,Sample 2_Plate15.csv
F,Control,R2,241,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 3,Sample 3_Plate15.csv
Green,Control,R2,179,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 4,Sample 4_Plate15.csv
Green,Control,R2,186,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 5,Sample 5_Plate15.csv
Green,Control,R2,277,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 6,Sample 6_Plate15.csv
Green,Control,R2,284,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 7,Sample 7_Plate15.csv
Green,Control,R2,290,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 8,Sample 8_Plate15.csv
Green and Orange,Control,R2,119,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 9,Sample 9_Plate15.csv
Green and Orange,Control,R2,125,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 10,Sample 10_Plate15.csv
Green and Orange,Control,R2,217,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 11,Sample 11_Plate15.csv
Green and Orange,Control,R2,223,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 12,Sample 12_Plate15.csv
Orange,Control,R2,152,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 13,Sample 13_Plate15.csv
Orange,Control,R2,160,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 14,Sample 14_Plate15.csv
Red and Orange,Control,R2,166,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 15,Sample 15_Plate15.csv
Red and Orange,Control,R2,173,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 16,Sample 16_Plate15.csv
Red and Orange,Control,R2,264,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 17,Sample 17_Plate15.csv
Red and Orange,Control,R2,270,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 18,Sample 18_Plate15.csv
Red and Yellow,Control,R2,102,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 19,Sample 19_Plate15.csv
Red and Yellow,Control,R2,108,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 20,Sample 20_Plate15.csv
Yellow,Control,R2,231,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 21,Sample 21_Plate15.csv
F,N,R2,236,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate15,Sample 22,Sample 22_Plate15.csv
F,N,R2,242,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 1,Sample 1_Plate16.csv
Green,N,R2,180,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 2,Sample 2_Plate16.csv
Green,N,R2,187,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 3,Sample 3_Plate16.csv
Green,N,R2,278,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 4,Sample 4_Plate16.csv
Green,N,R2,285,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 5,Sample 5_Plate16.csv
Green and Orange,N,R2,120,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 6,Sample 6_Plate16.csv
Green and Orange,N,R2,126,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 7,Sample 7_Plate16.csv
Green and Orange,N,R2,218,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 8,Sample 8_Plate16.csv
Green and Orange,N,R2,224,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 9,Sample 9_Plate16.csv
Green and Orange,N,R2,230,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 10,Sample 10_Plate16.csv
Orange,N,R2,154,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 11,Sample 11_Plate16.csv
Orange,N,R2,246,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 12,Sample 12_Plate16.csv
Orange,N,R2,299,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 13,Sample 13_Plate16.csv
Red and Orange,N,R2,174,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 14,Sample 14_Plate16.csv
Red and Orange,N,R2,265,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 15,Sample 15_Plate16.csv
Red and Orange,N,R2,271,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 16,Sample 16_Plate16.csv
Yellow,N,R2,232,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 17,Sample 17_Plate16.csv
Yellow,N,R2,234,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 18,Sample 18_Plate16.csv
F,NP,R2,140,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 19,Sample 19_Plate16.csv
Green,NP,R2,181,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 20,Sample 20_Plate16.csv
Green,NP,R2,188,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 21,Sample 21_Plate16.csv
Green,NP,R2,280,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate16,Sample 22,Sample 22_Plate16.csv
Green,NP,R2,286,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 1,Sample 1_Plate17.csv
Green and Orange,NP,R2,121,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 2,Sample 2_Plate17.csv
Green and Orange,NP,R2,128,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 3,Sample 3_Plate17.csv
Green and Orange,NP,R2,219,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 4,Sample 4_Plate17.csv
Green and Orange,NP,R2,225,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 5,Sample 5_Plate17.csv
Green and Orange,NP,R2,229,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 6,Sample 6_Plate17.csv
Orange,NP,R2,155,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 7,Sample 7_Plate17.csv
Orange,NP,R2,247,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 8,Sample 8_Plate17.csv
Red and Orange,NP,R2,168,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 9,Sample 9_Plate17.csv
Red and Orange,NP,R2,175,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 10,Sample 10_Plate17.csv
Red and Orange,NP,R2,266,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 11,Sample 11_Plate17.csv
Red and Orange,NP,R2,272,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 12,Sample 12_Plate17.csv
Red and Yellow,NP,R2,104,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 13,Sample 13_Plate17.csv
Red and Yellow,NP,R2,110,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 14,Sample 14_Plate17.csv
Yellow,NP,R2,233,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 15,Sample 15_Plate17.csv
Yellow,NP,R2,235,2018/01/29,2018/01/29,2018/02/01,2018/02/02,2018/02/03,2018/02/09,"Acer, A",Plate17,Sample 16,Sample 16_Plate17.csv
F,Control,R1,291,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 1,Sample 1_Plate18.csv
Green,Control,R1,176,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 2,Sample 2_Plate18.csv
Green,Control,R1,182,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 3,Sample 3_Plate18.csv
Green,Control,R1,281,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 4,Sample 4_Plate18.csv
Green,Control,R1,287,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 5,Sample 5_Plate18.csv
Green and Orange,Control,R1,116,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 6,Sample 6_Plate18.csv
Green and Orange,Control,R1,122,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 7,Sample 7_Plate18.csv
Green and Orange,Control,R1,220,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 8,Sample 8_Plate18.csv
Green and Orange,Control,R1,226,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 9,Sample 9_Plate18.csv
Orange,Control,R1,157,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 10,Sample 10_Plate18.csv
Orange,Control,R1,248,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 11,Sample 11_Plate18.csv
Red and Orange,Control,R1,162,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 12,Sample 12_Plate18.csv
Red and Orange,Control,R1,169,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 13,Sample 13_Plate18.csv
Red and Orange,Control,R1,261,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 14,Sample 14_Plate18.csv
Red and Orange,Control,R1,273,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 15,Sample 15_Plate18.csv
Red and Yellow,Control,R1,105,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 16,Sample 16_Plate18.csv
Red and Yellow,Control,R1,204,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 17,Sample 17_Plate18.csv
Yellow,Control,R1,143,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 18,Sample 18_Plate18.csv
Green,N,R1,177,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 19,Sample 19_Plate18.csv
Green,N,R1,190,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 20,Sample 20_Plate18.csv
Green,N,R1,282,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 21,Sample 21_Plate18.csv
Green,N,R1,288,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate18,Sample 22,Sample 22_Plate18.csv
Green and Orange,N,R1,117,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 1,Sample 1_Plate19.csv
Green and Orange,N,R1,123,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 2,Sample 2_Plate19.csv
Green and Orange,N,R1,130,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 3,Sample 3_Plate19.csv
Green and Orange,N,R1,221,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 4,Sample 4_Plate19.csv
Green,NP,R1,178,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/12,"Acer, A",Plate19,Sample 5,Sample 5_Plate19.csv
Green,NP,R1,184,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/12,"Acer, A",Plate19,Sample 6,Sample 6_Plate19.csv
Green,NP,R1,276,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/12,"Acer, A",Plate19,Sample 7,Sample 7_Plate19.csv
Green,NP,R1,289,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/12,"Acer, A",Plate19,Sample 8,Sample 8_Plate19.csv
Green and Orange,NP,R1,118,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/12,"Acer, A",Plate19,Sample 9,Sample 9_Plate19.csv
Green and Orange,NP,R1,124,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/12,"Acer, A",Plate19,Sample 10,Sample 10_Plate19.csv
Green and Orange,NP,R1,222,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/12,"Acer, A",Plate19,Sample 11,Sample 11_Plate19.csv
Green and Orange,NP,R1,228,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/12,"Acer, A",Plate19,Sample 12,Sample 12_Plate19.csv
Orange,NP,R1,250,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/05,2018/03/12,"Acer, A",Plate19,Sample 13,Sample 13_Plate19.csv
F,Control,R2,139,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 14,Sample 14_Plate19.csv
F,Control,R2,192,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 15,Sample 15_Plate19.csv
Green,Control,R2,179,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 16,Sample 16_Plate19.csv
Green,Control,R2,186,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 17,Sample 17_Plate19.csv
Green,Control,R2,277,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 18,Sample 18_Plate19.csv
Green,Control,R2,284,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 19,Sample 19_Plate19.csv
Green and Orange,Control,R2,119,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 20,Sample 20_Plate19.csv
Green and Orange,Control,R2,125,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 21,Sample 21_Plate19.csv
Red and Orange,Control,R1,273,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/12,"Acer, A",Plate19,Sample 22,Sample 22_Plate19.csv
Orange,Control,R2,152,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 1,Sample 1_Plate20.csv
Orange,Control,R2,160,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 2,Sample 2_Plate20.csv
Red and Orange,Control,R2,166,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 3,Sample 3_Plate20.csv
Red and Orange,Control,R2,173,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 4,Sample 4_Plate20.csv
Red and Orange,Control,R2,264,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 5,Sample 5_Plate20.csv
Red and Yellow,Control,R2,102,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 6,Sample 6_Plate20.csv
Red and Yellow,Control,R2,108,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 7,Sample 7_Plate20.csv
Yellow,Control,R2,231,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 8,Sample 8_Plate20.csv
Green,N,R2,187,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 9,Sample 9_Plate20.csv
Green,N,R2,278,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 10,Sample 10_Plate20.csv
Green,N,R2,285,2018/02/23,2018/02/26,2018/02/28,2018/02/28,2018/03/01,2018/03/13,"Acer, A",Plate20,Sample 11,Sample 11_Plate20.csv
