"Treatment","Replicate","Fragment","Genotype","Date","Days","Time_Point","Phase","Sample","A.Acer","logA.SH"
"N","R1","Ac_190","Green",2017-11-15,0,"T5","Baseline","190_T5",0.126353950004027,-0.89841117686921
"N","R1","Ac_206","Red and Yellow",2017-11-15,0,"T5","Baseline","206_T5",0.122898794596501,-0.910452376695769
"N","R1","Ac_221","Green and Orange",2017-11-15,0,"T5","Baseline","221_T5",0.355653106666228,-0.448973393342885
"N","R1","Ac_227","Green and Orange",2017-11-15,0,"T5","Baseline","227_T5",0.172963876880728,-0.762044588833426
"N","R1","Ac_239","F",2017-11-15,0,"T5","Baseline","239_T5",0.0813644655130945,-1.08956522411584
"N","R1","Ac_249","Orange",2017-11-15,0,"T5","Baseline","249_T5",0.0568791088017051,-1.24504721687628
"N","R1","Ac_262","Red and Orange",2017-11-15,0,"T5","Baseline","262_T5",0.301669902332044,-0.520468017313081
"N","R1","Ac_268","Red and Orange",2017-11-15,0,"T5","Baseline","268_T5",0.422212931379412,-0.37446846941605
"N","R1","Ac_274","Red and Orange",2017-11-15,0,"T5","Baseline","274_T5",0.105809617455687,-0.975474855759189
"N","R1","Ac_282","Green",2017-11-15,0,"T5","Baseline","282_T5",0.206475523099665,-0.685131424941279
"N","R1","Ac_288","Green",2017-11-15,0,"T5","Baseline","288_T5",0.193250314989944,-0.71387978952719
"N","R2","Ac_103","Red and Yellow",2017-11-15,0,"T5","Baseline","103_T5",0.337051901819096,-0.472303218006844
"N","R2","Ac_109","Red and Yellow",2017-11-15,0,"T5","Baseline","109_T5",0.112737756709208,-0.947930611155935
"N","R2","Ac_120","Green and Orange",2017-11-15,0,"T5","Baseline","120_T5",0.518365882064884,-0.285363590699512
"N","R2","Ac_126","Green and Orange",2017-11-15,0,"T5","Baseline","126_T5",0.244099741224086,-0.612432680988428
"N","R2","Ac_167","Red and Orange",2017-11-15,0,"T5","Baseline","167_T5",0.557499598365273,-0.253755441154795
"N","R2","Ac_174","Red and Orange",2017-11-15,0,"T5","Baseline","174_T5",0.644629747596269,-0.19068965706319
"N","R2","Ac_180","Green",2017-11-15,0,"T5","Baseline","180_T5",0.226179906128767,-0.645545980511466
"N","R2","Ac_187","Green",2017-11-15,0,"T5","Baseline","187_T5",0.563912282202302,-0.248788446226338
"N","R2","Ac_218","Green and Orange",2017-11-15,0,"T5","Baseline","218_T5",0.0899983692624289,-1.04576535974673
"N","R2","Ac_224","Green and Orange",2017-11-15,0,"T5","Baseline","224_T5",0.263621998783286,-0.579018351469726
"N","R2","Ac_232","Yellow",2017-11-15,0,"T5","Baseline","232_T5",0.186796932729007,-0.728630259314723
"N","R2","Ac_234","Yellow",2017-11-15,0,"T5","Baseline","234_T5",0.11949669901789,-0.92264409152016
"N","R2","Ac_236","F",2017-11-15,0,"T5","Baseline","236_T5",0.139907253949157,-0.854159767506604
"N","R2","Ac_242","F",2017-11-15,0,"T5","Baseline","242_T5",0.093430841416163,-1.02950973998087
"N","R2","Ac_246","Orange",2017-11-15,0,"T5","Baseline","246_T5",0.270095717554961,-0.568482301621485
"N","R2","Ac_265","Red and Orange",2017-11-15,0,"T5","Baseline","265_T5",0.894741396124479,-0.0483024691141273
"N","R2","Ac_271","Red and Orange",2017-11-15,0,"T5","Baseline","271_T5",0.731303752913466,-0.135902197852346
"N","R2","Ac_278","Green",2017-11-15,0,"T5","Baseline","278_T5",0.542630735170341,-0.265495610985689
"N","R2","Ac_285","Green",2017-11-15,0,"T5","Baseline","285_T5",0.537763100489531,-0.26940900092932
"N","R2","Ac_299","Orange",2017-11-15,0,"T5","Baseline","299_T5",0.0250254994227658,-1.60161724674027
"N+P","R1","Ac_101","Red and Yellow",2017-11-15,0,"T5","Baseline","101_T5",0.126222645449595,-0.898862721862706
"N+P","R1","Ac_107","Red and Yellow",2017-11-15,0,"T5","Baseline","107_T5",0.225788305612171,-0.646298555500626
"N+P","R1","Ac_118","Green and Orange",2017-11-15,0,"T5","Baseline","118_T5",0.316229238607539,-0.49999797760793
