"","Sample","Treatment","Replicate","Genotype","Fragment","Date","Days","A.Acer","logA.SH"
"269","169_2018-03-06","Control","R1","Red and Orange",169,2018-03-06,111,0.0435870287341618,-1.36064273521125
"270","261_2018-03-06","Control","R1","Red and Orange",261,2018-03-06,111,0.0710039291114669,-1.14871761826381
"271","139_2018-03-03","Control","R2","F",139,2018-03-03,108,0.0109725501235864,-1.95969242658258
"272","273_2018-03-06","Control","R1","Red and Orange",273,2018-03-06,111,0.0382483857381775,-1.41738688939391
"273","108_2018-03-06","Control","R2","Red and Yellow",108,2018-03-06,111,0.0410789373150541,-1.38638079984052
"274","204_2018-03-06","Control","R1","Red and Yellow",204,2018-03-06,111,0.0312509242993839,-1.50513713312996
"275","285_2018-02-26","N","R2","Green",285,2018-02-26,103,0.0310028073712854,-1.5085989780801
"276","126_2018-02-26","N","R2","Green and Orange",126,2018-02-26,103,0.0501030649710582,-1.30013570608279
"277","155_2018-03-01","NP","R2","Orange",155,2018-03-01,106,0.0121705879125082,-1.91468844223081
"278","291_2018-03-06","Control","R1","F",291,2018-03-06,111,0.0275184433099352,-1.5603761373343
"279","176_2018-03-06","Control","R1","Green",176,2018-03-06,111,0.0578933989572837,-1.23737095198685
"280","182_2018-03-06","Control","R1","Green",182,2018-03-06,111,0.0395012651439354,-1.40338899459554
"281","281_2018-03-06","Control","R1","Green",281,2018-03-06,111,0.0355142707314262,-1.44959709892996
"282","143_2018-03-06","Control","R1","Yellow",143,2018-03-06,111,0.0658370119890906,-1.18152988779118
"283","166_2018-03-06","Control","R2","Red and Orange",166,2018-03-06,111,0.0766560075444357,-1.11545380374294
"284","173_2018-03-06","Control","R2","Red and Orange",173,2018-03-06,111,0.0227820703625944,-1.64240681115274
"285","264_2018-03-06","Control","R2","Red and Orange",264,2018-03-06,111,0.0795244704841215,-1.09949921397275
"286","102_2018-03-06","Control","R2","Red and Yellow",102,2018-03-06,111,0.0475155213997089,-1.32316450075109
"287","226_2018-03-06","Control","R1","Green and Orange",226,2018-03-06,111,0.0364368656180297,-1.43845898909039
"288","286_2018-03-06","NP","R2","Green",286,2018-03-06,111,0.0318302582160696,-1.49715983824487
"289","128_2018-03-06","NP","R2","Green and Orange",128,2018-03-06,111,0.0194247880978606,-1.71164371015545
"290","225_2018-03-06","NP","R2","Green and Orange",225,2018-03-06,111,0.0276906488711025,-1.55766686737333
"291","155_2018-03-06","NP","R2","Orange",155,2018-03-06,111,0.0156092244749276,-1.80661867378744
"292","179_2018-03-06","Control","R2","Green",179,2018-03-06,111,0.0486486193073333,-1.31292948089851
"293","105_2018-03-06","Control","R1","Red and Yellow",105,2018-03-06,111,0.0465860774501583,-1.33174385562751
"294","186_2018-03-06","Control","R2","Green",186,2018-03-06,111,0.0689188610846632,-1.16166190807736
"295","277_2018-03-06","Control","R2","Green",277,2018-03-06,111,0.0741989545961804,-1.12960221353915
"296","119_2018-03-06","Control","R2","Green and Orange",119,2018-03-06,111,0.0758105620273241,-1.12027028367356
"297","125_2018-03-06","Control","R2","Green and Orange",125,2018-03-06,111,0.0463766580159584,-1.33370055059933
"298","217_2018-03-06","Control","R2","Green and Orange",217,2018-03-06,111,0.083247033371362,-1.07963123425893
"299","129_2017-11-15","Control","R1","Green and Orange",129,2017-11-15,0,0.303662922649904,-0.517608232354274
"300","220_2017-11-15","Control","R1","Green and Orange",220,2017-11-15,0,0.232861279426904,-0.632902720693579
"301","226_2017-11-15","Control","R1","Green and Orange",226,2017-11-15,0,0.201806237389838,-0.695065414798191
"302","149_2017-11-15","Control","R1","Orange",149,2017-11-15,0,0.255260581193829,-0.5930162462681
"303","248_2017-11-15","Control","R1","Orange",248,2017-11-15,0,0.300001718655779,-0.522876257278394
"304","162_2017-11-15","Control","R1","Red and Orange",162,2017-11-15,0,0.11344324969223,-0.945221341194959
"305","169_2017-11-15","Control","R1","Red and Orange",169,2017-11-15,0,0.175743431114947,-0.755120898933154
"306","261_2017-11-15","Control","R1","Red and Orange",261,2017-11-15,0,0.114867507837329,-0.939802801273008
"307","267_2017-11-15","Control","R1","Red and Orange",267,2017-11-15,0,0.102773674535102,-0.988118115577077
"308","291_2017-11-15","Control","R1","F",291,2017-11-15,0,0.0774840229683132,-1.11078783881015
"309","273_2017-11-15","Control","R1","Red and Orange",273,2017-11-15,0,0.0949651951237375,-1.02243553508277
"310","105_2017-11-15","Control","R1","Red and Yellow",105,2017-11-15,0,0.114430431012182,-0.941458466249159
"311","204_2017-11-15","Control","R1","Red and Yellow",204,2017-11-15,0,0.0763114140820397,-1.11741049871476
"312","176_2017-11-15","Control","R1","Green",176,2017-11-15,0,0.310366052486853,-0.508125787490859
"313","182_2017-11-15","Control","R1","Green",182,2017-11-15,0,0.425149654558215,-0.371458169459411
"314","189_2017-11-15","Control","R1","Green",189,2017-11-15,0,0.427069469480569,-0.369501474487594
"315","281_2017-11-15","Control","R1","Green",281,2017-11-15,0,0.173925656424154,-0.759636348868115
"316","287_2017-11-15","Control","R1","Green",287,2017-11-15,0,0.560405364345022,-0.251497716187313
"317","116_2017-11-15","Control","R1","Green and Orange",116,2017-11-15,0,0.406983629770169,-0.390423059186241
"318","122_2017-11-15","Control","R1","Green and Orange",122,2017-11-15,0,0.46669200929802,-0.330969635042605
"319","143_2017-11-15","Control","R1","Yellow",143,2017-11-15,0,0.226965145880749,-0.644040830533146
"320","123_2017-11-15","N","R1","Green and Orange",123,2017-11-15,0,0.138412166836429,-0.858825732439396
"321","130_2017-11-15","N","R1","Green and Orange",130,2017-11-15,0,0.315900619365541,-0.500449522601426
"322","221_2017-11-15","N","R1","Green and Orange",221,2017-11-15,0,0.355653106666228,-0.448973393342885
"323","227_2017-11-15","N","R1","Green and Orange",227,2017-11-15,0,0.172963876880728,-0.762044588833426
"324","150_2017-11-15","N","R1","Orange",150,2017-11-15,0,0.0513690310326297,-1.28929862623889
"325","158_2017-11-15","N","R1","Orange",158,2017-11-15,0,0.200899053304691,-0.697022109770006
"326","249_2017-11-15","N","R1","Orange",249,2017-11-15,0,0.0568791088017051,-1.24504721687628
"327","164_2017-11-15","N","R1","Red and Orange",164,2017-11-15,0,0.541879010418286,-0.266097670977017
"328","170_2017-11-15","N","R1","Red and Orange",170,2017-11-15,0,0.28391730115438,-0.546808141933679
"329","262_2017-11-15","N","R1","Red and Orange",262,2017-11-15,0,0.301669902332044,-0.520468017313081
"330","146_2017-11-15","N","R1","F",146,2017-11-15,0,0.0807184717803625,-1.09302706906597
"331","268_2017-11-15","N","R1","Red and Orange",268,2017-11-15,0,0.422212931379412,-0.37446846941605
"332","274_2017-11-15","N","R1","Red and Orange",274,2017-11-15,0,0.105809617455687,-0.975474855759189
"333","106_2017-11-15","N","R1","Red and Yellow",106,2017-11-15,0,0.193518402593131,-0.713277729535862
"334","239_2017-11-15","N","R1","F",239,2017-11-15,0,0.0813644655130945,-1.08956522411584
"335","177_2017-11-15","N","R1","Green",177,2017-11-15,0,0.346047663962707,-0.460864078171615
"336","183_2017-11-15","N","R1","Green",183,2017-11-15,0,0.22688649938446,-0.644191345530978
"337","190_2017-11-15","N","R1","Green",190,2017-11-15,0,0.126353950004027,-0.89841117686921
"338","282_2017-11-15","N","R1","Green",282,2017-11-15,0,0.206475523099665,-0.685131424941279
"339","288_2017-11-15","N","R1","Green",288,2017-11-15,0,0.193250314989944,-0.71387978952719
"340","117_2017-11-15","N","R1","Green and Orange",117,2017-11-15,0,0.0722200220402959,-1.14134238337004
"341","206_2017-11-15","N","R1","Red and Yellow",206,2017-11-15,0,0.122898794596501,-0.910452376695769
"342","289_2017-11-15","NP","R1","Green",289,2017-11-15,0,0.281858439480406,-0.549968956888152
"343","118_2017-11-15","NP","R1","Green and Orange",118,2017-11-15,0,0.316229238607539,-0.49999797760793
"344","124_2017-11-15","NP","R1","Green and Orange",124,2017-11-15,0,0.370370903856221,-0.431363138596543
"345","216_2017-11-15","NP","R1","Green and Orange",216,2017-11-15,0,0.160766940385272,-0.793803253375976
"346","222_2017-11-15","NP","R1","Green and Orange",222,2017-11-15,0,0.272068657312248,-0.565321486667014
"347","228_2017-11-15","NP","R1","Green and Orange",228,2017-11-15,0,0.356146488469704,-0.448371333351559
"348","151_2017-11-15","NP","R1","Orange",151,2017-11-15,0,0.137694483903386,-0.861083457406875
"349","159_2017-11-15","NP","R1","Orange",159,2017-11-15,0,0.125307326213863,-0.902023536817179
"350","250_2017-11-15","NP","R1","Orange",250,2017-11-15,0,0.12003630088158,-0.920687396548345
"351","165_2017-11-15","NP","R1","Red and Orange",165,2017-11-15,0,0.290385771635873,-0.537024667074601
"352","144_2017-11-15","N","R1","Yellow",144,2017-11-15,0,0.217719520780827,-0.662102630272984
"353","171_2017-11-15","NP","R1","Red and Orange",171,2017-11-15,0,0.0929463918057216,-1.03176746494835
"354","263_2017-11-15","NP","R1","Red and Orange",263,2017-11-15,0,0.428106804262091,-0.368447869502771
"355","269_2017-11-15","NP","R1","Red and Orange",269,2017-11-15,0,0.278267180866849,-0.555538011807935
"356","138_2017-11-15","NP","R1","F",138,2017-11-15,0,0.102951922137126,-0.987365540587916
"357","240_2017-11-15","NP","R1","F",240,2017-11-15,0,0.113207596184958,-0.946124431181951
"358","178_2017-11-15","NP","R1","Green",178,2017-11-15,0,0.117362439608742,-0.930470871407424
"359","276_2017-11-15","NP","R1","Green",276,2017-11-15,0,0.242413621147763,-0.615442980945067
"360","283_2017-11-15","NP","R1","Green",283,2017-11-15,0,0.250614652427727,-0.600993541153195
"361","101_2017-11-15","NP","R1","Red and Yellow",101,2017-11-15,0,0.126222645449595,-0.898862721862706
"362","277_2017-11-15","Control","R2","Green",277,2017-11-15,0,0.712292976939409,-0.147341337687576
"363","284_2017-11-15","Control","R2","Green",284,2017-11-15,0,0.499668325038112,-0.301318180469703
"364","290_2017-11-15","Control","R2","Green",290,2017-11-15,0,0.321756828332264,-0.492472227716332
"365","119_2017-11-15","Control","R2","Green and Orange",119,2017-11-15,0,0.319091629886396,-0.496084587664299
"366","125_2017-11-15","Control","R2","Green and Orange",125,2017-11-15,0,0.169404331766311,-0.771075488703346
"367","217_2017-11-15","Control","R2","Green and Orange",217,2017-11-15,0,0.394758619009687,-0.403668378995457
"368","223_2017-11-15","Control","R2","Green and Orange",223,2017-11-15,0,0.344611480716178,-0.462670258145596
"369","166_2017-11-15","Control","R2","Red and Orange",166,2017-11-15,0,0.272729501276429,-0.564267881682191
"370","107_2017-11-15","NP","R1","Red and Yellow",107,2017-11-15,0,0.225788305612171,-0.646298555500626
"371","173_2017-11-15","Control","R2","Red and Orange",173,2017-11-15,0,0.11482770469049,-0.939953316270839
"372","264_2017-11-15","Control","R2","Red and Orange",264,2017-11-15,0,0.359619378866786,-0.444156913412263
"373","270_2017-11-15","Control","R2","Red and Orange",270,2017-11-15,0,0.239740021049723,-0.62025946087569
"374","300_2017-11-15","NP","R1","Red and Yellow",300,2017-11-15,0,0.0267937936169603,-1.57196579216737
"375","145_2017-11-15","NP","R1","Yellow",145,2017-11-15,0,0.0447658587065591,-1.34905308037819
"376","139_2017-11-15","Control","R2","F",139,2017-11-15,0,0.241407544766733,-0.617249160919051
"377","192_2017-11-15","Control","R2","F",192,2017-11-15,0,0.0308741380659296,-1.51040515805408
"378","241_2017-11-15","Control","R2","F",241,2017-11-15,0,0.115586328427006,-0.937093531312031
"379","179_2017-11-15","Control","R2","Green",179,2017-11-15,0,0.243423890395612,-0.613636800971083
"380","186_2017-11-15","Control","R2","Green",186,2017-11-15,0,0.577159779243223,-0.238703941371596
"381","102_2017-11-15","Control","R2","Red and Yellow",102,2017-11-15,0,0.193988451107999,-0.712224124551037
"382","120_2017-11-15","N","R2","Green and Orange",120,2017-11-15,0,0.518365882064884,-0.285363590699512
"383","126_2017-11-15","N","R2","Green and Orange",126,2017-11-15,0,0.244099741224086,-0.612432680988428
"384","218_2017-11-15","N","R2","Green and Orange",218,2017-11-15,0,0.0899983692624289,-1.04576535974673
"385","224_2017-11-15","N","R2","Green and Orange",224,2017-11-15,0,0.263621998783286,-0.579018351469726
"386","246_2017-11-15","N","R2","Orange",246,2017-11-15,0,0.270095717554961,-0.568482301621485
"387","299_2017-11-15","N","R2","Orange",299,2017-11-15,0,0.0250254994227658,-1.60161724674027
"388","167_2017-11-15","N","R2","Red and Orange",167,2017-11-15,0,0.557499598365273,-0.253755441154795
"389","174_2017-11-15","N","R2","Red and Orange",174,2017-11-15,0,0.644629747596269,-0.19068965706319
"390","108_2017-11-15","Control","R2","Red and Yellow",108,2017-11-15,0,0.374631124878494,-0.426396143668087
"391","271_2017-11-15","N","R2","Red and Orange",271,2017-11-15,0,0.731303752913466,-0.135902197852346
"392","103_2017-11-15","N","R2","Red and Yellow",103,2017-11-15,0,0.337051901819096,-0.472303218006844
"393","231_2017-11-15","Control","R2","Yellow",231,2017-11-15,0,0.149533711234739,-0.825260887922863
"394","236_2017-11-15","N","R2","F",236,2017-11-15,0,0.139907253949157,-0.854159767506604
"395","242_2017-11-15","N","R2","F",242,2017-11-15,0,0.093430841416163,-1.02950973998087
"396","180_2017-11-15","N","R2","Green",180,2017-11-15,0,0.226179906128767,-0.645545980511466
"397","187_2017-11-15","N","R2","Green",187,2017-11-15,0,0.563912282202302,-0.248788446226338
"398","278_2017-11-15","N","R2","Green",278,2017-11-15,0,0.542630735170341,-0.265495610985689
"399","285_2017-11-15","N","R2","Green",285,2017-11-15,0,0.537763100489531,-0.26940900092932
"400","109_2017-11-15","N","R2","Red and Yellow",109,2017-11-15,0,0.112737756709208,-0.947930611155935
"401","121_2017-11-15","NP","R2","Green and Orange",121,2017-11-15,0,0.193652585827268,-0.712976699540197
"402","128_2017-11-15","NP","R2","Green and Orange",128,2017-11-15,0,0.143990214049822,-0.84166702268655
"403","219_2017-11-15","NP","R2","Green and Orange",219,2017-11-15,0,0.0979400451125364,-1.00903970027572
"404","225_2017-11-15","NP","R2","Green and Orange",225,2017-11-15,0,0.21228034016481,-0.67309022511472
"405","229_2017-11-15","NP","R2","Green and Orange",229,2017-11-15,0,0.369729655746411,-0.432115713585702
"406","155_2017-11-15","NP","R2","Orange",155,2017-11-15,0,0.0611731624504488,-1.21343906733157
"407","247_2017-11-15","NP","R2","Orange",247,2017-11-15,0,0.171531170515976,-0.765656948781394
"408","168_2017-11-15","NP","R2","Red and Orange",168,2017-11-15,0,0.484491302100918,-0.314714015276751
"409","175_2017-11-15","NP","R2","Red and Orange",175,2017-11-15,0,0.196287835215884,-0.707106614624749
"410","266_2017-11-15","NP","R2","Red and Orange",266,2017-11-15,0,0.199442208795728,-0.700182924724477
"411","232_2017-11-15","N","R2","Yellow",232,2017-11-15,0,0.186796932729007,-0.728630259314723
"412","272_2017-11-15","NP","R2","Red and Orange",272,2017-11-15,0,0.241826234826807,-0.616496585929892
"413","104_2017-11-15","NP","R2","Red and Yellow",104,2017-11-15,0,0.152517074736628,-0.816681533046438
"414","110_2017-11-15","NP","R2","Red and Yellow",110,2017-11-15,0,0.176414698191657,-0.753465233957002
"415","234_2017-11-15","N","R2","Yellow",234,2017-11-15,0,0.11949669901789,-0.92264409152016
"416","140_2017-11-15","NP","R2","F",140,2017-11-15,0,0.0414220472860959,-1.38276843989256
"417","237_2017-11-15","NP","R2","F",237,2017-11-15,0,0.168759739497455,-0.772731153679497
"418","181_2017-11-15","NP","R2","Green",181,2017-11-15,0,0.627219653351456,-0.202580341891916
"419","188_2017-11-15","NP","R2","Green",188,2017-11-15,0,0.528891124666238,-0.276633720825257
"420","280_2017-11-15","NP","R2","Green",280,2017-11-15,0,0.26472065486196,-0.577212171495742
"421","286_2017-11-15","NP","R2","Green",286,2017-11-15,0,0.32164533523447,-0.492622742714163
"422","184_2017-11-15","NP","R1","Green",184,2017-11-15,0,0.157676839665354,-0.802232093254567
"423","265_2017-11-15","N","R2","Red and Orange",265,2017-11-15,0,0.894741396124479,-0.0483024691141273
"424","265_2017-12-14","N","R2","Red and Orange",265,2017-12-14,29,0.0364368656180297,-1.43845898909039
"425","265_2018-01-29","N","R2","Red and Orange",265,2018-01-29,75,0.186473518608773,-0.729382834303884
"426","265_2018-02-05","N","R2","Red and Orange",265,2018-02-05,82,0.104110587175442,-0.982505104129438
"427","160_2017-11-15","Control","R2","Orange",160,2017-11-15,0,0.11789240396475,-0.928514176435607
"428","160_2017-12-14","Control","R2","Orange",160,2017-12-14,29,0.0921126220781962,-1.03568085489198
"429","160_2018-01-29","Control","R2","Orange",160,2018-01-29,75,0.159601118891987,-0.796964068330448
"430","160_2018-02-23","Control","R2","Orange",160,2018-02-23,100,0.0291884754803845,-1.53478858770287
"431","160_2018-03-06","Control","R2","Orange",160,2018-03-06,111,0.0127535498040942,-1.89436891752349
"432","184_2017-12-14","NP","R1","Green",184,2017-12-14,29,0.110302903365251,-0.95741305601935
"433","184_2018-01-29","NP","R1","Green",184,2018-01-29,75,0.114034531796386,-0.942963616227479
"434","184_2018-02-23","NP","R1","Green",184,2018-02-23,100,0.0569975086435116,-1.24414412688929
"435","152_2017-11-15","Control","R2","Orange",152,2017-11-15,0,0.367303021932878,-0.434975498544511
"436","152_2017-12-14","Control","R2","Orange",152,2017-12-14,29,0.0490379564997435,-1.30946763594838
"437","152_2018-01-29","Control","R2","Orange",152,2018-01-29,75,0.175317591647073,-0.756174503917979
"438","152_2018-02-23","Control","R2","Orange",152,2018-02-23,100,0.0357736880865453,-1.44643628397549
"439","152_2018-03-06","Control","R2","Orange",152,2018-03-06,111,0.0285382893814546,-1.54457206256195
"440","137_2017-12-14","Control","R1","F",137,2017-12-14,29,0.131902395486051,-0.879747317138043
"441","129_2017-12-14","Control","R1","Green and Orange",129,2017-12-14,29,0.0778069409843635,-1.10898165883616
"442","220_2017-12-14","Control","R1","Green and Orange",220,2017-12-14,29,0.135188343861283,-0.86906075229197
"443","226_2017-12-14","Control","R1","Green and Orange",226,2017-12-14,29,0.0856170935194069,-1.06743951943453
"444","149_2017-12-14","Control","R1","Orange",149,2017-12-14,29,0.107659136990316,-0.967949105867589
"445","157_2017-12-14","Control","R1","Orange",157,2017-12-14,29,0.0444412335061267,-1.35221389533266
"446","248_2017-12-14","Control","R1","Orange",248,2017-12-14,29,0.0829877769039381,-1.08098586923941
"447","162_2017-12-14","Control","R1","Red and Orange",162,2017-12-14,29,0.105882984517852,-0.975173825763526
"448","169_2017-12-14","Control","R1","Red and Orange",169,2017-12-14,29,0.0647284007968856,-1.18890512268495
"449","261_2017-12-14","Control","R1","Red and Orange",261,2017-12-14,29,0.0538482276351703,-1.26882858653374
"450","267_2017-12-14","Control","R1","Red and Orange",267,2017-12-14,29,0.0732281759784028,-1.13532178345676
"451","291_2017-12-14","Control","R1","F",291,2017-12-14,29,0.0521222318429602,-1.28297699632995
"452","273_2017-12-14","Control","R1","Red and Orange",273,2017-12-14,29,0.0973647033000655,-1.01159845523887
"453","105_2017-12-14","Control","R1","Red and Yellow",105,2017-12-14,29,0.0686566212436252,-1.16331757305351
"454","204_2017-12-14","Control","R1","Red and Yellow",204,2017-12-14,29,0.188422436609711,-0.724867384368925
"455","176_2017-12-14","Control","R1","Green",176,2017-12-14,29,0.0692300725757779,-1.15970521310555
"456","182_2017-12-14","Control","R1","Green",182,2017-12-14,29,0.0704401929286492,-1.15217946321395
"457","189_2017-12-14","Control","R1","Green",189,2017-12-14,29,0.078185379973035,-1.10687444886652
"458","281_2017-12-14","Control","R1","Green",281,2017-12-14,29,0.0790299152236073,-1.10220848393373
"459","287_2017-12-14","Control","R1","Green",287,2017-12-14,29,0.0863920681007903,-1.0635261294909
"460","116_2017-12-14","Control","R1","Green and Orange",116,2017-12-14,29,0.119331156189926,-0.923246151511488
"461","122_2017-12-14","Control","R1","Green and Orange",122,2017-12-14,29,0.111494362563435,-0.952747091086559
"462","143_2017-12-14","Control","R1","Yellow",143,2017-12-14,29,0.266654331964582,-0.57405135654127
"463","119_2017-12-14","Control","R2","Green and Orange",119,2017-12-14,29,0.0828728111233927,-1.08158792923074
"464","125_2017-12-14","Control","R2","Green and Orange",125,2017-12-14,29,0.12036957397678,-0.919483276565687
"465","217_2017-12-14","Control","R2","Green and Orange",217,2017-12-14,29,0.0692060834182143,-1.15985572810338
"466","223_2017-12-14","Control","R2","Green and Orange",223,2017-12-14,29,0.063594361668123,-1.19658138757438
"467","166_2017-12-14","Control","R2","Red and Orange",166,2017-12-14,29,0.0529965652533735,-1.27575227643401
"468","173_2017-12-14","Control","R2","Red and Orange",173,2017-12-14,29,0.0481454299229118,-1.31744493083347
"469","264_2017-12-14","Control","R2","Red and Orange",264,2017-12-14,29,0.0619841289574698,-1.20771949741395
"470","270_2017-12-14","Control","R2","Red and Orange",270,2017-12-14,29,0.0897180870908734,-1.04711999472722
"471","139_2017-12-14","Control","R2","F",139,2017-12-14,29,0.122601001632286,-0.911505981680592
"472","102_2017-12-14","Control","R2","Red and Yellow",102,2017-12-14,29,0.0539042438714916,-1.26837704154024
"473","108_2017-12-14","Control","R2","Red and Yellow",108,2017-12-14,29,0.0396384036023223,-1.40188384461722
"474","231_2017-12-14","Control","R2","Yellow",231,2017-12-14,29,0.166609511641197,-0.778300208599282
"475","192_2017-12-14","Control","R2","F",192,2017-12-14,29,0.0472527685809644,-1.3255727407164
"476","241_2017-12-14","Control","R2","F",241,2017-12-14,29,0.0510318824546492,-1.2921584111977
"477","179_2017-12-14","Control","R2","Green",179,2017-12-14,29,0.224539734366575,-0.648706795465937
"478","186_2017-12-14","Control","R2","Green",186,2017-12-14,29,0.0839132633016407,-1.07616938930879
"479","277_2017-12-14","Control","R2","Green",277,2017-12-14,29,0.104425262180869,-0.981194425676804
"480","284_2017-12-14","Control","R2","Green",284,2017-12-14,29,0.0916032548150359,-1.0380890948573
"481","290_2017-12-14","Control","R2","Green",290,2017-12-14,29,0.0946366405081091,-1.02394068506109
"482","146_2017-12-14","N","R1","F",146,2017-12-14,29,0.385697759564375,-0.413752883850201
"483","130_2017-12-14","N","R1","Green and Orange",130,2017-12-14,29,0.0606664486742814,-1.21705142727953
"484","221_2017-12-14","N","R1","Green and Orange",221,2017-12-14,29,0.0408234712374831,-1.3890900698015
"485","227_2017-12-14","N","R1","Green and Orange",227,2017-12-14,29,0.0448901482438145,-1.34784896039553
"486","150_2017-12-14","N","R1","Orange",150,2017-12-14,29,0.0388226570520571,-1.41091474448714
"487","158_2017-12-14","N","R1","Orange",158,2017-12-14,29,0.0542791775380091,-1.2653667415836
"488","249_2017-12-14","N","R1","Orange",249,2017-12-14,29,0.0312400954309583,-1.5052876481278
"489","164_2017-12-14","N","R1","Red and Orange",164,2017-12-14,29,0.0306927701430038,-1.51296391301723
"490","170_2017-12-14","N","R1","Red and Orange",170,2017-12-14,29,0.0313376904875506,-1.50393301314731
"491","262_2017-12-14","N","R1","Red and Orange",262,2017-12-14,29,0.0207469442259845,-1.68304586056738
"492","268_2017-12-14","N","R1","Red and Orange",268,2017-12-14,29,0.0304385336635216,-1.5165762729652
"493","239_2017-12-14","N","R1","F",239,2017-12-14,29,0.0186917139043424,-1.7283508749148
"494","274_2017-12-14","N","R1","Red and Orange",274,2017-12-14,29,0.0331704563524993,-1.47924855350286
"495","106_2017-12-14","N","R1","Red and Yellow",106,2017-12-14,29,0.0169395888724878,-1.77109713429909
"496","206_2017-12-14","N","R1","Red and Yellow",206,2017-12-14,29,0.0174884067436446,-1.75724975449855
"497","177_2017-12-14","N","R1","Green",177,2017-12-14,29,0.0392420078617948,-1.40624877955435
"498","183_2017-12-14","N","R1","Green",183,2017-12-14,29,0.0502073597656073,-1.2992326160958
"499","190_2017-12-14","N","R1","Green",190,2017-12-14,29,0.0492423243038071,-1.30766145597439
"500","282_2017-12-14","N","R1","Green",282,2017-12-14,29,0.0462642839076009,-1.33475415558415
"501","288_2017-12-14","N","R1","Green",288,2017-12-14,29,0.0766028920594841,-1.1157548337386
"502","117_2017-12-14","N","R1","Green and Orange",117,2017-12-14,29,0.0585390308232121,-1.23255447205623
"503","123_2017-12-14","N","R1","Green and Orange",123,2017-12-14,29,0.0862723862402481,-1.06412818948223
"504","144_2017-12-14","N","R1","Yellow",144,2017-12-14,29,0.0272055097523532,-1.56534313226276
"505","218_2017-12-14","N","R2","Green and Orange",218,2017-12-14,29,0.0451241219829438,-1.34559123542805
"506","224_2017-12-14","N","R2","Green and Orange",224,2017-12-14,29,0.0308313670758654,-1.51100721804541
"507","230_2017-12-14","N","R2","Green and Orange",230,2017-12-14,29,0.0579737119056357,-1.23676889199552
"508","154_2017-12-14","N","R2","Orange",154,2017-12-14,29,0.0408234712374831,-1.3890900698015
"509","246_2017-12-14","N","R2","Orange",246,2017-12-14,29,0.0664559724093365,-1.17746598284972
"510","299_2017-12-14","N","R2","Orange",299,2017-12-14,29,0.0222283191666392,-1.65309337599881
"511","167_2017-12-14","N","R2","Red and Orange",167,2017-12-14,29,0.0397209151046095,-1.40098075463023
"512","174_2017-12-14","N","R2","Red and Orange",174,2017-12-14,29,0.0254276627769785,-1.59469355684
"513","271_2017-12-14","N","R2","Red and Orange",271,2017-12-14,29,0.0259799537157258,-1.58536162697441
"514","236_2017-12-14","N","R2","F",236,2017-12-14,29,0.0191374533446561,-1.71811585506223
"515","103_2017-12-14","N","R2","Red and Yellow",103,2017-12-14,29,0.0284888791174934,-1.54532463755111
"516","109_2017-12-14","N","R2","Red and Yellow",109,2017-12-14,29,0.0340321632885237,-1.46811044366329
"517","232_2017-12-14","N","R2","Yellow",232,2017-12-14,29,0.0257379805342815,-1.58942553191588
"518","242_2017-12-14","N","R2","F",242,2017-12-14,29,0.037125201610517,-1.43033117920746
"519","180_2017-12-14","N","R2","Green",180,2017-12-14,29,0.0392148167994788,-1.40654980955001
"520","187_2017-12-14","N","R2","Green",187,2017-12-14,29,0.0255867846025979,-1.59198428687902
"521","278_2017-12-14","N","R2","Green",278,2017-12-14,29,0.0350010659712423,-1.4559187288389
"522","285_2017-12-14","N","R2","Green",285,2017-12-14,29,0.0322298809758888,-1.49174129832292
"523","120_2017-12-14","N","R2","Green and Orange",120,2017-12-14,29,0.0340321632885237,-1.46811044366329
"524","126_2017-12-14","N","R2","Green and Orange",126,2017-12-14,29,0.0351713048707676,-1.45381151886925
