"Time","Date","Spp","Fragment","Treatment","Replicate","YII","Sample","Genotype","Days","SampleID"
5,2017-11-16,"Ac","Ac_105","Ambient","R1",0.616,"2017-11-16_105","Ac_50",1,"Ac_105_5"
5,2017-11-16,"Ac","Ac_116","Ambient","R1",0.63,"2017-11-16_116","Ac_62",1,"Ac_116_5"
5,2017-11-16,"Ac","Ac_122","Ambient","R1",0.623,"2017-11-16_122","Ac_62",1,"Ac_122_5"
5,2017-11-16,"Ac","Ac_129","Ambient","R1",0.622,"2017-11-16_129","Ac_62",1,"Ac_129_5"
5,2017-11-16,"Ac","Ac_143","Ambient","R1",0.606,"2017-11-16_143","Ac_08",1,"Ac_143_5"
5,2017-11-16,"Ac","Ac_149","Ambient","R1",0.599,"2017-11-16_149","Ac_31",1,"Ac_149_5"
5,2017-11-16,"Ac","Ac_157","Ambient","R1",0.614,"2017-11-16_157","Ac_31",1,"Ac_157_5"
5,2017-11-16,"Ac","Ac_162","Ambient","R1",0.587,"2017-11-16_162","Ac_07",1,"Ac_162_5"
5,2017-11-16,"Ac","Ac_169","Ambient","R1",0.58,"2017-11-16_169","Ac_07",1,"Ac_169_5"
5,2017-11-16,"Ac","Ac_176","Ambient","R1",0.622,"2017-11-16_176","Ac_48",1,"Ac_176_5"
5,2017-11-16,"Ac","Ac_182","Ambient","R1",0.627,"2017-11-16_182","Ac_48",1,"Ac_182_5"
5,2017-11-16,"Ac","Ac_189","Ambient","R1",0.641,"2017-11-16_189","Ac_48",1,"Ac_189_5"
5,2017-11-16,"Ac","Ac_204","Ambient","R1",0.605,"2017-11-16_204","Ac_50",1,"Ac_204_5"
5,2017-11-16,"Ac","Ac_220","Ambient","R1",0.603,"2017-11-16_220","Ac_62",1,"Ac_220_5"
5,2017-11-16,"Ac","Ac_226","Ambient","R1",0.613,"2017-11-16_226","Ac_62",1,"Ac_226_5"
5,2017-11-16,"Ac","Ac_248","Ambient","R1",0.619,"2017-11-16_248","Ac_31",1,"Ac_248_5"
5,2017-11-16,"Ac","Ac_261","Ambient","R1",0.589,"2017-11-16_261","Ac_07",1,"Ac_261_5"
5,2017-11-16,"Ac","Ac_267","Ambient","R1",0.596,"2017-11-16_267","Ac_07",1,"Ac_267_5"
5,2017-11-16,"Ac","Ac_273","Ambient","R1",0.596,"2017-11-16_273","Ac_07",1,"Ac_273_5"
5,2017-11-16,"Ac","Ac_281","Ambient","R1",0.636,"2017-11-16_281","Ac_48",1,"Ac_281_5"
5,2017-11-16,"Ac","Ac_287","Ambient","R1",0.611,"2017-11-16_287","Ac_48",1,"Ac_287_5"
5,2017-11-16,"Ac","Ac_102","Ambient","R2",0.604,"2017-11-16_102","Ac_50",1,"Ac_102_5"
5,2017-11-16,"Ac","Ac_108","Ambient","R2",0.614,"2017-11-16_108","Ac_50",1,"Ac_108_5"
5,2017-11-16,"Ac","Ac_119","Ambient","R2",0.611,"2017-11-16_119","Ac_62",1,"Ac_119_5"
5,2017-11-16,"Ac","Ac_125","Ambient","R2",0.601,"2017-11-16_125","Ac_62",1,"Ac_125_5"
5,2017-11-16,"Ac","Ac_152","Ambient","R2",0.625,"2017-11-16_152","Ac_31",1,"Ac_152_5"
5,2017-11-16,"Ac","Ac_160","Ambient","R2",0.637,"2017-11-16_160","Ac_31",1,"Ac_160_5"
5,2017-11-16,"Ac","Ac_166","Ambient","R2",0.602,"2017-11-16_166","Ac_07",1,"Ac_166_5"
5,2017-11-16,"Ac","Ac_173","Ambient","R2",0.608,"2017-11-16_173","Ac_07",1,"Ac_173_5"
5,2017-11-16,"Ac","Ac_179","Ambient","R2",0.633,"2017-11-16_179","Ac_48",1,"Ac_179_5"
5,2017-11-16,"Ac","Ac_186","Ambient","R2",0.623,"2017-11-16_186","Ac_48",1,"Ac_186_5"
5,2017-11-16,"Ac","Ac_217","Ambient","R2",0.633,"2017-11-16_217","Ac_62",1,"Ac_217_5"
