"Time","Date","Spp","Fragment","Treatment","Replicate","YII","Sample","Genotype","Days","SampleID"
1,2017-08-30,"A.cer","A.cer_286","N+P","R2",0.479,"2017-08-30_286","Acer_48",-77,"A.cer_286_1"
3,2017-10-19,"A.cer","A.cer_276","N+P","R1",0.522,"2017-10-19_276","Acer_48",-27,"A.cer_276_3"
1,2017-08-30,"A.cer","A.cer_285","N","R2",0.525,"2017-08-30_285","Acer_48",-77,"A.cer_285_1"
4,2017-11-06,"A.cer","A.cer_276","N+P","R1",0.674,"2017-11-06_276","Acer_48",-9,"A.cer_276_4"
7,2017-11-29,"A.cer","A.cer_179","Ambient","R2",0.657,"2017-11-29_179","Acer_48",14,"A.cer_179_7"
14,2018-02-07,"A.cer","A.cer_177","N","R1",0.619,"2018-02-07_177","Acer_48",84,"A.cer_177_14"
8,2017-12-06,"A.cer","A.cer_184","N+P","R1",0.644,"2017-12-06_184","Acer_48",21,"A.cer_184_8"
14,2018-02-07,"A.cer","A.cer_190","N","R1",0.613,"2018-02-07_190","Acer_48",84,"A.cer_190_14"
14,2018-02-07,"A.cer","A.cer_282","N","R1",0.604,"2018-02-07_282","Acer_48",84,"A.cer_282_14"
7,2017-11-29,"A.cer","A.cer_189","Ambient","R1",0.635,"2017-11-29_189","Acer_48",14,"A.cer_189_7"
0,2017-07-26,"A.cer","A.cer_286","N+P","R2",0.602,"2017-07-26_286","Acer_48",-112,"A.cer_286_0"
4,2017-11-06,"A.cer","A.cer_188","N+P","R2",0.676,"2017-11-06_188","Acer_48",-9,"A.cer_188_4"
5,2017-11-16,"A.cer","A.cer_187","N","R2",0.594,"2017-11-16_187","Acer_48",1,"A.cer_187_5"
4,2017-11-06,"A.cer","A.cer_278","N","R2",0.676,"2017-11-06_278","Acer_48",-9,"A.cer_278_4"
0,2017-07-26,"A.cer","A.cer_282","N","R1",0.591,"2017-07-26_282","Acer_48",-112,"A.cer_282_0"
4,2017-11-06,"A.cer","A.cer_287","Ambient","R1",0.667,"2017-11-06_287","Acer_48",-9,"A.cer_287_4"
11,2018-01-19,"A.cer","A.cer_281","Ambient","R1",0.617,"2018-01-19_281","Acer_48",65,"A.cer_281_11"
0,2017-07-26,"A.cer","A.cer_280","N+P","R2",0.601,"2017-07-26_280","Acer_48",-112,"A.cer_280_0"
2,2017-10-10,"A.cer","A.cer_280","N+P","R2",0.524,"2017-10-10_280","Acer_48",-36,"A.cer_280_2"
3,2017-10-19,"A.cer","A.cer_178","N+P","R1",0.564,"2017-10-19_178","Acer_48",-27,"A.cer_178_3"
10,2018-01-03,"A.cer","A.cer_278","N","R2",0.647,"2018-01-03_278","Acer_48",49,"A.cer_278_10"
1,2017-08-30,"A.cer","A.cer_176","Ambient","R1",0.455,"2017-08-30_176","Acer_48",-77,"A.cer_176_1"
11,2018-01-19,"A.cer","A.cer_284","Ambient","R2",0.604,"2018-01-19_284","Acer_48",65,"A.cer_284_11"
14,2018-02-07,"A.cer","A.cer_184","N+P","R1",0.616,"2018-02-07_184","Acer_48",84,"A.cer_184_14"
10,2018-01-03,"A.cer","A.cer_277","Ambient","R2",0.567,"2018-01-03_277","Acer_48",49,"A.cer_277_10"
4,2017-11-06,"A.cer","A.cer_290","Ambient","R2",0.672,"2017-11-06_290","Acer_48",-9,"A.cer_290_4"
1,2017-08-30,"A.cer","A.cer_178","N+P","R1",0.498,"2017-08-30_178","Acer_48",-77,"A.cer_178_1"
4,2017-11-06,"A.cer","A.cer_285","N","R2",0.679,"2017-11-06_285","Acer_48",-9,"A.cer_285_4"
4,2017-11-06,"A.cer","A.cer_190","N","R1",0.672,"2017-11-06_190","Acer_48",-9,"A.cer_190_4"
8,2017-12-06,"A.cer","A.cer_176","Ambient","R1",0.619,"2017-12-06_176","Acer_48",21,"A.cer_176_8"
0,2017-07-26,"A.cer","A.cer_278","N","R2",0.584,"2017-07-26_278","Acer_48",-112,"A.cer_278_0"
