"Time","Date","Spp","Fragment","Treatment","Replicate","YII","Sample","Genotype","Days","SampleID"
4,2017-11-06,"A.cer","A.cer_159","N+P","R1",0.678,"2017-11-06_159","Acer_31",-9,"A.cer_159_4"
10,2018-01-03,"A.cer","A.cer_160","Ambient","R2",0.582,"2018-01-03_160","Acer_31",49,"A.cer_160_10"
2,2017-10-10,"A.cer","A.cer_160","Ambient","R2",0.505,"2017-10-10_160","Acer_31",-36,"A.cer_160_2"
4,2017-11-06,"A.cer","A.cer_248","Ambient","R1",0.675,"2017-11-06_248","Acer_31",-9,"A.cer_248_4"
17,2018-02-19,"A.cer","A.cer_247","N+P","R2",0.535,"2018-02-19_247","Acer_31",96,"A.cer_247_17"
5,2017-11-16,"A.cer","A.cer_248","Ambient","R1",0.619,"2017-11-16_248","Acer_31",1,"A.cer_248_5"
2,2017-10-10,"A.cer","A.cer_246","N","R2",0.478,"2017-10-10_246","Acer_31",-36,"A.cer_246_2"
12,2018-01-25,"A.cer","A.cer_154","N","R2",0.601,"2018-01-25_154","Acer_31",71,"A.cer_154_12"
12,2018-01-25,"A.cer","A.cer_246","N","R2",0.625,"2018-01-25_246","Acer_31",71,"A.cer_246_12"
3,2017-10-19,"A.cer","A.cer_155","N+P","R2",0.458,"2017-10-19_155","Acer_31",-27,"A.cer_155_3"
20,2018-03-01,"A.cer","A.cer_157","Ambient","R1",0.487,"2018-03-01_157","Acer_31",106,"A.cer_157_20"
6,2017-11-23,"A.cer","A.cer_247","N+P","R2",0.647,"2017-11-23_247","Acer_31",8,"A.cer_247_6"
11,2018-01-19,"A.cer","A.cer_157","Ambient","R1",0.544,"2018-01-19_157","Acer_31",65,"A.cer_157_11"
3,2017-10-19,"A.cer","A.cer_152","Ambient","R2",0.514,"2017-10-19_152","Acer_31",-27,"A.cer_152_3"
8,2017-12-06,"A.cer","A.cer_149","Ambient","R1",0.592,"2017-12-06_149","Acer_31",21,"A.cer_149_8"
4,2017-11-06,"A.cer","A.cer_250","N+P","R1",0.67,"2017-11-06_250","Acer_31",-9,"A.cer_250_4"
0,2017-07-26,"A.cer","A.cer_160","Ambient","R2",0.615,"2017-07-26_160","Acer_31",-112,"A.cer_160_0"
19,2018-02-26,"A.cer","A.cer_152","Ambient","R2",0.529,"2018-02-26_152","Acer_31",103,"A.cer_152_19"
9,2017-12-13,"A.cer","A.cer_160","Ambient","R2",0.618,"2017-12-13_160","Acer_31",28,"A.cer_160_9"
22,2018-03-08,"A.cer","A.cer_248","Ambient","R1",0.361,"2018-03-08_248","Acer_31",113,"A.cer_248_22"
22,2018-03-08,"A.cer","A.cer_152","Ambient","R2",0.341,"2018-03-08_152","Acer_31",113,"A.cer_152_22"
0,2017-07-26,"A.cer","A.cer_248","Ambient","R1",0.575,"2017-07-26_248","Acer_31",-112,"A.cer_248_0"
2,2017-10-10,"A.cer","A.cer_150","N","R1",0.492,"2017-10-10_150","Acer_31",-36,"A.cer_150_2"
4,2017-11-06,"A.cer","A.cer_247","N+P","R2",0.678,"2017-11-06_247","Acer_31",-9,"A.cer_247_4"
12,2018-01-25,"A.cer","A.cer_149","Ambient","R1",0.573,"2018-01-25_149","Acer_31",71,"A.cer_149_12"
21,2018-03-05,"A.cer","A.cer_248","Ambient","R1",0.42,"2018-03-05_248","Acer_31",110,"A.cer_248_21"
14,2018-02-07,"A.cer","A.cer_249","N","R1",0.588,"2018-02-07_249","Acer_31",84,"A.cer_249_14"
14,2018-02-07,"A.cer","A.cer_250","N+P","R1",0.624,"2018-02-07_250","Acer_31",84,"A.cer_250_14"
4,2017-11-06,"A.cer","A.cer_160","Ambient","R2",0.687,"2017-11-06_160","Acer_31",-9,"A.cer_160_4"
2,2017-10-10,"A.cer","A.cer_149","Ambient","R1",0.497,"2017-10-10_149","Acer_31",-36,"A.cer_149_2"
17,2018-02-19,"A.cer","A.cer_155","N+P","R2",0.554,"2018-02-19_155","Acer_31",96,"A.cer_155_17"
5,2017-11-16,"A.cer","A.cer_157","Ambient","R1",0.614,"2017-11-16_157","Acer_31",1,"A.cer_157_5"
2,2017-10-10,"A.cer","A.cer_152","Ambient","R2",0.516,"2017-10-10_152","Acer_31",-36,"A.cer_152_2"
6,2017-11-23,"A.cer","A.cer_299","N","R2",0.615,"2017-11-23_299","Acer_31",8,"A.cer_299_6"
1,2017-08-30,"A.cer","A.cer_155","N+P","R2",0.503,"2017-08-30_155","Acer_31",-77,"A.cer_155_1"
11,2018-01-19,"A.cer","A.cer_249","N","R1",0.624,"2018-01-19_249","Acer_31",65,"A.cer_249_11"
10,2018-01-03,"A.cer","A.cer_150","N","R1",0.627,"2018-01-03_150","Acer_31",49,"A.cer_150_10"
3,2017-10-19,"A.cer","A.cer_248","Ambient","R1",0.542,"2017-10-19_248","Acer_31",-27,"A.cer_248_3"
1,2017-08-30,"A.cer","A.cer_160","Ambient","R2",0.489,"2017-08-30_160","Acer_31",-77,"A.cer_160_1"
10,2018-01-03,"A.cer","A.cer_246","N","R2",0.655,"2018-01-03_246","Acer_31",49,"A.cer_246_10"
20,2018-03-01,"A.cer","A.cer_155","N+P","R2",0.359,"2018-03-01_155","Acer_31",106,"A.cer_155_20"
3,2017-10-19,"A.cer","A.cer_159","N+P","R1",0.485,"2017-10-19_159","Acer_31",-27,"A.cer_159_3"
8,2017-12-06,"A.cer","A.cer_152","Ambient","R2",0.617,"2017-12-06_152","Acer_31",21,"A.cer_152_8"
9,2017-12-13,"A.cer","A.cer_248","Ambient","R1",0.627,"2017-12-13_248","Acer_31",28,"A.cer_248_9"
17,2018-02-19,"A.cer","A.cer_150","N","R1",0.532,"2018-02-19_150","Acer_31",96,"A.cer_150_17"
14,2018-02-07,"A.cer","A.cer_299","N","R2",0.576,"2018-02-07_299","Acer_31",84,"A.cer_299_14"
5,2017-11-16,"A.cer","A.cer_149","Ambient","R1",0.599,"2017-11-16_149","Acer_31",1,"A.cer_149_5"
4,2017-11-06,"A.cer","A.cer_149","Ambient","R1",0.687,"2017-11-06_149","Acer_31",-9,"A.cer_149_4"
6,2017-11-23,"A.cer","A.cer_248","Ambient","R1",0.629,"2017-11-23_248","Acer_31",8,"A.cer_248_6"
18,2018-02-22,"A.cer","A.cer_247","N+P","R2",0.429,"2018-02-22_247","Acer_31",99,"A.cer_247_18"
1,2017-08-30,"A.cer","A.cer_159","N+P","R1",0.528,"2017-08-30_159","Acer_31",-77,"A.cer_159_1"
3,2017-10-19,"A.cer","A.cer_247","N+P","R2",0.522,"2017-10-19_247","Acer_31",-27,"A.cer_247_3"
4,2017-11-06,"A.cer","A.cer_151","N+P","R1",0.664,"2017-11-06_151","Acer_31",-9,"A.cer_151_4"
0,2017-07-26,"A.cer","A.cer_154","N","R2",0.613,"2017-07-26_154","Acer_31",-112,"A.cer_154_0"
6,2017-11-23,"A.cer","A.cer_152","Ambient","R2",0.612,"2017-11-23_152","Acer_31",8,"A.cer_152_6"
17,2018-02-19,"A.cer","A.cer_248","Ambient","R1",0.581,"2018-02-19_248","Acer_31",96,"A.cer_248_17"
5,2017-11-16,"A.cer","A.cer_152","Ambient","R2",0.625,"2017-11-16_152","Acer_31",1,"A.cer_152_5"
3,2017-10-19,"A.cer","A.cer_299","N","R2",0.484,"2017-10-19_299","Acer_31",-27,"A.cer_299_3"
16,2018-02-15,"A.cer","A.cer_249","N","R1",0.532,"2018-02-15_249","Acer_31",92,"A.cer_249_16"
7,2017-11-29,"A.cer","A.cer_160","Ambient","R2",0.632,"2017-11-29_160","Acer_31",14,"A.cer_160_7"
0,2017-07-26,"A.cer","A.cer_158","N","R1",0.619,"2017-07-26_158","Acer_31",-112,"A.cer_158_0"
13,2018-01-30,"A.cer","A.cer_250","N+P","R1",0.589,"2018-01-30_250","Acer_31",76,"A.cer_250_13"
0,2017-07-26,"A.cer","A.cer_247","N+P","R2",0.622,"2017-07-26_247","Acer_31",-112,"A.cer_247_0"
1,2017-08-30,"A.cer","A.cer_250","N+P","R1",0.532,"2017-08-30_250","Acer_31",-77,"A.cer_250_1"
17,2018-02-19,"A.cer","A.cer_250","N+P","R1",0.552,"2018-02-19_250","Acer_31",96,"A.cer_250_17"
6,2017-11-23,"A.cer","A.cer_155","N+P","R2",0.639,"2017-11-23_155","Acer_31",8,"A.cer_155_6"
7,2017-11-29,"A.cer","A.cer_159","N+P","R1",0.638,"2017-11-29_159","Acer_31",14,"A.cer_159_7"
19,2018-02-26,"A.cer","A.cer_250","N+P","R1",0.391,"2018-02-26_250","Acer_31",103,"A.cer_250_19"
19,2018-02-26,"A.cer","A.cer_157","Ambient","R1",0.507,"2018-02-26_157","Acer_31",103,"A.cer_157_19"
5,2017-11-16,"A.cer","A.cer_151","N+P","R1",0.577,"2017-11-16_151","Acer_31",1,"A.cer_151_5"
6,2017-11-23,"A.cer","A.cer_159","N+P","R1",0.663,"2017-11-23_159","Acer_31",8,"A.cer_159_6"
11,2018-01-19,"A.cer","A.cer_158","N","R1",0.625,"2018-01-19_158","Acer_31",65,"A.cer_158_11"
2,2017-10-10,"A.cer","A.cer_154","N","R2",0.475,"2017-10-10_154","Acer_31",-36,"A.cer_154_2"
1,2017-08-30,"A.cer","A.cer_157","Ambient","R1",0.502,"2017-08-30_157","Acer_31",-77,"A.cer_157_1"
4,2017-11-06,"A.cer","A.cer_246","N","R2",0.683,"2017-11-06_246","Acer_31",-9,"A.cer_246_4"
5,2017-11-16,"A.cer","A.cer_154","N","R2",0.608,"2017-11-16_154","Acer_31",1,"A.cer_154_5"
7,2017-11-29,"A.cer","A.cer_299","N","R2",0.603,"2017-11-29_299","Acer_31",14,"A.cer_299_7"
8,2017-12-06,"A.cer","A.cer_159","N+P","R1",0.642,"2017-12-06_159","Acer_31",21,"A.cer_159_8"
1,2017-08-30,"A.cer","A.cer_158","N","R1",0.548,"2017-08-30_158","Acer_31",-77,"A.cer_158_1"
23,2018-03-25,"A.cer","A.cer_152","Ambient","R2",0.535,"2018-03-25_152","Acer_31",130,"A.cer_152_23"
2,2017-10-10,"A.cer","A.cer_247","N+P","R2",0.519,"2017-10-10_247","Acer_31",-36,"A.cer_247_2"
16,2018-02-15,"A.cer","A.cer_248","Ambient","R1",0.578,"2018-02-15_248","Acer_31",92,"A.cer_248_16"
4,2017-11-06,"A.cer","A.cer_152","Ambient","R2",0.685,"2017-11-06_152","Acer_31",-9,"A.cer_152_4"
10,2018-01-03,"A.cer","A.cer_152","Ambient","R2",0.592,"2018-01-03_152","Acer_31",49,"A.cer_152_10"
15,2018-02-12,"A.cer","A.cer_152","Ambient","R2",0.583,"2018-02-12_152","Acer_31",89,"A.cer_152_15"
8,2017-12-06,"A.cer","A.cer_248","Ambient","R1",0.614,"2017-12-06_248","Acer_31",21,"A.cer_248_8"
22,2018-03-08,"A.cer","A.cer_157","Ambient","R1",0.28,"2018-03-08_157","Acer_31",113,"A.cer_157_22"
6,2017-11-23,"A.cer","A.cer_157","Ambient","R1",0.61,"2017-11-23_157","Acer_31",8,"A.cer_157_6"
7,2017-11-29,"A.cer","A.cer_248","Ambient","R1",0.632,"2017-11-29_248","Acer_31",14,"A.cer_248_7"
11,2018-01-19,"A.cer","A.cer_155","N+P","R2",0.611,"2018-01-19_155","Acer_31",65,"A.cer_155_11"
6,2017-11-23,"A.cer","A.cer_149","Ambient","R1",0.644,"2017-11-23_149","Acer_31",8,"A.cer_149_6"
4,2017-11-06,"A.cer","A.cer_155","N+P","R2",0.672,"2017-11-06_155","Acer_31",-9,"A.cer_155_4"
10,2018-01-03,"A.cer","A.cer_249","N","R1",0.643,"2018-01-03_249","Acer_31",49,"A.cer_249_10"
15,2018-02-12,"A.cer","A.cer_160","Ambient","R2",0.569,"2018-02-12_160","Acer_31",89,"A.cer_160_15"
11,2018-01-19,"A.cer","A.cer_160","Ambient","R2",0.544,"2018-01-19_160","Acer_31",65,"A.cer_160_11"
14,2018-02-07,"A.cer","A.cer_150","N","R1",0.62,"2018-02-07_150","Acer_31",84,"A.cer_150_14"
18,2018-02-22,"A.cer","A.cer_299","N","R2",0.374,"2018-02-22_299","Acer_31",99,"A.cer_299_18"
14,2018-02-07,"A.cer","A.cer_247","N+P","R2",0.597,"2018-02-07_247","Acer_31",84,"A.cer_247_14"
19,2018-02-26,"A.cer","A.cer_248","Ambient","R1",0.523,"2018-02-26_248","Acer_31",103,"A.cer_248_19"
9,2017-12-13,"A.cer","A.cer_299","N","R2",0.63,"2017-12-13_299","Acer_31",28,"A.cer_299_9"
17,2018-02-19,"A.cer","A.cer_249","N","R1",0.504,"2018-02-19_249","Acer_31",96,"A.cer_249_17"
8,2017-12-06,"A.cer","A.cer_160","Ambient","R2",0.604,"2017-12-06_160","Acer_31",21,"A.cer_160_8"
0,2017-07-26,"A.cer","A.cer_159","N+P","R1",0.641,"2017-07-26_159","Acer_31",-112,"A.cer_159_0"
2,2017-10-10,"A.cer","A.cer_158","N","R1",0.51,"2017-10-10_158","Acer_31",-36,"A.cer_158_2"
3,2017-10-19,"A.cer","A.cer_249","N","R1",0.506,"2017-10-19_249","Acer_31",-27,"A.cer_249_3"
1,2017-08-30,"A.cer","A.cer_249","N","R1",0.506,"2017-08-30_249","Acer_31",-77,"A.cer_249_1"
7,2017-11-29,"A.cer","A.cer_247","N+P","R2",0.649,"2017-11-29_247","Acer_31",14,"A.cer_247_7"
11,2018-01-19,"A.cer","A.cer_149","Ambient","R1",0.561,"2018-01-19_149","Acer_31",65,"A.cer_149_11"
7,2017-11-29,"A.cer","A.cer_152","Ambient","R2",0.636,"2017-11-29_152","Acer_31",14,"A.cer_152_7"
14,2018-02-07,"A.cer","A.cer_151","N+P","R1",0.549,"2018-02-07_151","Acer_31",84,"A.cer_151_14"
12,2018-01-25,"A.cer","A.cer_249","N","R1",0.629,"2018-01-25_249","Acer_31",71,"A.cer_249_12"
3,2017-10-19,"A.cer","A.cer_154","N","R2",0.508,"2017-10-19_154","Acer_31",-27,"A.cer_154_3"
3,2017-10-19,"A.cer","A.cer_246","N","R2",0.495,"2017-10-19_246","Acer_31",-27,"A.cer_246_3"
6,2017-11-23,"A.cer","A.cer_246","N","R2",0.642,"2017-11-23_246","Acer_31",8,"A.cer_246_6"
9,2017-12-13,"A.cer","A.cer_159","N+P","R1",0.664,"2017-12-13_159","Acer_31",28,"A.cer_159_9"
9,2017-12-13,"A.cer","A.cer_250","N+P","R1",0.662,"2017-12-13_250","Acer_31",28,"A.cer_250_9"
7,2017-11-29,"A.cer","A.cer_246","N","R2",0.622,"2017-11-29_246","Acer_31",14,"A.cer_246_7"
8,2017-12-06,"A.cer","A.cer_151","N+P","R1",0.599,"2017-12-06_151","Acer_31",21,"A.cer_151_8"
22,2018-03-08,"A.cer","A.cer_155","N+P","R2",0.26,"2018-03-08_155","Acer_31",113,"A.cer_155_22"
10,2018-01-03,"A.cer","A.cer_250","N+P","R1",0.666,"2018-01-03_250","Acer_31",49,"A.cer_250_10"
2,2017-10-10,"A.cer","A.cer_248","Ambient","R1",0.496,"2017-10-10_248","Acer_31",-36,"A.cer_248_2"
1,2017-08-30,"A.cer","A.cer_151","N+P","R1",0.579,"2017-08-30_151","Acer_31",-77,"A.cer_151_1"
11,2018-01-19,"A.cer","A.cer_150","N","R1",0.625,"2018-01-19_150","Acer_31",65,"A.cer_150_11"
8,2017-12-06,"A.cer","A.cer_249","N","R1",0.631,"2017-12-06_249","Acer_31",21,"A.cer_249_8"
8,2017-12-06,"A.cer","A.cer_299","N","R2",0.624,"2017-12-06_299","Acer_31",21,"A.cer_299_8"
7,2017-11-29,"A.cer","A.cer_250","N+P","R1",0.632,"2017-11-29_250","Acer_31",14,"A.cer_250_7"
7,2017-11-29,"A.cer","A.cer_149","Ambient","R1",0.614,"2017-11-29_149","Acer_31",14,"A.cer_149_7"
7,2017-11-29,"A.cer","A.cer_157","Ambient","R1",0.622,"2017-11-29_157","Acer_31",14,"A.cer_157_7"
5,2017-11-16,"A.cer","A.cer_160","Ambient","R2",0.637,"2017-11-16_160","Acer_31",1,"A.cer_160_5"
18,2018-02-22,"A.cer","A.cer_155","N+P","R2",0.466,"2018-02-22_155","Acer_31",99,"A.cer_155_18"
3,2017-10-19,"A.cer","A.cer_158","N","R1",0.509,"2017-10-19_158","Acer_31",-27,"A.cer_158_3"
8,2017-12-06,"A.cer","A.cer_155","N+P","R2",0.661,"2017-12-06_155","Acer_31",21,"A.cer_155_8"
1,2017-08-30,"A.cer","A.cer_248","Ambient","R1",0.507,"2017-08-30_248","Acer_31",-77,"A.cer_248_1"
7,2017-11-29,"A.cer","A.cer_151","N+P","R1",0.622,"2017-11-29_151","Acer_31",14,"A.cer_151_7"
8,2017-12-06,"A.cer","A.cer_158","N","R1",0.658,"2017-12-06_158","Acer_31",21,"A.cer_158_8"
16,2018-02-15,"A.cer","A.cer_157","Ambient","R1",0.569,"2018-02-15_157","Acer_31",92,"A.cer_157_16"
0,2017-07-26,"A.cer","A.cer_151","N+P","R1",0.608,"2017-07-26_151","Acer_31",-112,"A.cer_151_0"
1,2017-08-30,"A.cer","A.cer_154","N","R2",0.524,"2017-08-30_154","Acer_31",-77,"A.cer_154_1"
16,2018-02-15,"A.cer","A.cer_150","N","R1",0.589,"2018-02-15_150","Acer_31",92,"A.cer_150_16"
0,2017-07-26,"A.cer","A.cer_150","N","R1",0.629,"2017-07-26_150","Acer_31",-112,"A.cer_150_0"
14,2018-02-07,"A.cer","A.cer_155","N+P","R2",0.616,"2018-02-07_155","Acer_31",84,"A.cer_155_14"
13,2018-01-30,"A.cer","A.cer_157","Ambient","R1",0.592,"2018-01-30_157","Acer_31",76,"A.cer_157_13"
16,2018-02-15,"A.cer","A.cer_299","N","R2",0.509,"2018-02-15_299","Acer_31",92,"A.cer_299_16"
11,2018-01-19,"A.cer","A.cer_250","N+P","R1",0.629,"2018-01-19_250","Acer_31",65,"A.cer_250_11"
4,2017-11-06,"A.cer","A.cer_249","N","R1",0.669,"2017-11-06_249","Acer_31",-9,"A.cer_249_4"
21,2018-03-05,"A.cer","A.cer_152","Ambient","R2",0.393,"2018-03-05_152","Acer_31",110,"A.cer_152_21"
15,2018-02-12,"A.cer","A.cer_150","N","R1",0.601,"2018-02-12_150","Acer_31",89,"A.cer_150_15"
0,2017-07-26,"A.cer","A.cer_149","Ambient","R1",0.623,"2017-07-26_149","Acer_31",-112,"A.cer_149_0"
11,2018-01-19,"A.cer","A.cer_152","Ambient","R2",0.555,"2018-01-19_152","Acer_31",65,"A.cer_152_11"
1,2017-08-30,"A.cer","A.cer_152","Ambient","R2",0.589,"2017-08-30_152","Acer_31",-77,"A.cer_152_1"
12,2018-01-25,"A.cer","A.cer_157","Ambient","R1",0.604,"2018-01-25_157","Acer_31",71,"A.cer_157_12"
12,2018-01-25,"A.cer","A.cer_158","N","R1",0.634,"2018-01-25_158","Acer_31",71,"A.cer_158_12"
6,2017-11-23,"A.cer","A.cer_154","N","R2",0.636,"2017-11-23_154","Acer_31",8,"A.cer_154_6"
4,2017-11-06,"A.cer","A.cer_154","N","R2",0.677,"2017-11-06_154","Acer_31",-9,"A.cer_154_4"
9,2017-12-13,"A.cer","A.cer_246","N","R2",0.628,"2017-12-13_246","Acer_31",28,"A.cer_246_9"
7,2017-11-29,"A.cer","A.cer_154","N","R2",0.618,"2017-11-29_154","Acer_31",14,"A.cer_154_7"
11,2018-01-19,"A.cer","A.cer_151","N+P","R1",0.649,"2018-01-19_151","Acer_31",65,"A.cer_151_11"
9,2017-12-13,"A.cer","A.cer_151","N+P","R1",0.635,"2017-12-13_151","Acer_31",28,"A.cer_151_9"
10,2018-01-03,"A.cer","A.cer_159","N+P","R1",0.659,"2018-01-03_159","Acer_31",49,"A.cer_159_10"
15,2018-02-12,"A.cer","A.cer_157","Ambient","R1",0.561,"2018-02-12_157","Acer_31",89,"A.cer_157_15"
17,2018-02-19,"A.cer","A.cer_160","Ambient","R2",0.56,"2018-02-19_160","Acer_31",96,"A.cer_160_17"
0,2017-07-26,"A.cer","A.cer_250","N+P","R1",0.594,"2017-07-26_250","Acer_31",-112,"A.cer_250_0"
12,2018-01-25,"A.cer","A.cer_248","Ambient","R1",0.595,"2018-01-25_248","Acer_31",71,"A.cer_248_12"
5,2017-11-16,"A.cer","A.cer_247","N+P","R2",0.618,"2017-11-16_247","Acer_31",1,"A.cer_247_5"
10,2018-01-03,"A.cer","A.cer_299","N","R2",0.621,"2018-01-03_299","Acer_31",49,"A.cer_299_10"
18,2018-02-22,"A.cer","A.cer_250","N+P","R1",0.532,"2018-02-22_250","Acer_31",99,"A.cer_250_18"
16,2018-02-15,"A.cer","A.cer_160","Ambient","R2",0.558,"2018-02-15_160","Acer_31",92,"A.cer_160_16"
13,2018-01-30,"A.cer","A.cer_248","Ambient","R1",0.595,"2018-01-30_248","Acer_31",76,"A.cer_248_13"
8,2017-12-06,"A.cer","A.cer_246","N","R2",0.643,"2017-12-06_246","Acer_31",21,"A.cer_246_8"
7,2017-11-29,"A.cer","A.cer_249","N","R1",0.613,"2017-11-29_249","Acer_31",14,"A.cer_249_7"
16,2018-02-15,"A.cer","A.cer_154","N","R2",0.568,"2018-02-15_154","Acer_31",92,"A.cer_154_16"
12,2018-01-25,"A.cer","A.cer_159","N+P","R1",0.589,"2018-01-25_159","Acer_31",71,"A.cer_159_12"
9,2017-12-13,"A.cer","A.cer_155","N+P","R2",0.646,"2017-12-13_155","Acer_31",28,"A.cer_155_9"
1,2017-08-30,"A.cer","A.cer_247","N+P","R2",0.535,"2017-08-30_247","Acer_31",-77,"A.cer_247_1"
1,2017-08-30,"A.cer","A.cer_299","N","R2",0.443,"2017-08-30_299","Acer_31",-77,"A.cer_299_1"
17,2018-02-19,"A.cer","A.cer_299","N","R2",0.46,"2018-02-19_299","Acer_31",96,"A.cer_299_17"
2,2017-10-10,"A.cer","A.cer_249","N","R1",0.495,"2017-10-10_249","Acer_31",-36,"A.cer_249_2"
14,2018-02-07,"A.cer","A.cer_152","Ambient","R2",0.591,"2018-02-07_152","Acer_31",84,"A.cer_152_14"
14,2018-02-07,"A.cer","A.cer_160","Ambient","R2",0.58,"2018-02-07_160","Acer_31",84,"A.cer_160_14"
12,2018-01-25,"A.cer","A.cer_150","N","R1",0.627,"2018-01-25_150","Acer_31",71,"A.cer_150_12"
19,2018-02-26,"A.cer","A.cer_155","N+P","R2",0.433,"2018-02-26_155","Acer_31",103,"A.cer_155_19"
13,2018-01-30,"A.cer","A.cer_149","Ambient","R1",0.563,"2018-01-30_149","Acer_31",76,"A.cer_149_13"
5,2017-11-16,"A.cer","A.cer_249","N","R1",0.6,"2017-11-16_249","Acer_31",1,"A.cer_249_5"
18,2018-02-22,"A.cer","A.cer_157","Ambient","R1",0.511,"2018-02-22_157","Acer_31",99,"A.cer_157_18"
16,2018-02-15,"A.cer","A.cer_155","N+P","R2",0.58,"2018-02-15_155","Acer_31",92,"A.cer_155_16"
13,2018-01-30,"A.cer","A.cer_158","N","R1",0.63,"2018-01-30_158","Acer_31",76,"A.cer_158_13"
21,2018-03-05,"A.cer","A.cer_155","N+P","R2",0.154,"2018-03-05_155","Acer_31",110,"A.cer_155_21"
15,2018-02-12,"A.cer","A.cer_249","N","R1",0.573,"2018-02-12_249","Acer_31",89,"A.cer_249_15"
13,2018-01-30,"A.cer","A.cer_150","N","R1",0.613,"2018-01-30_150","Acer_31",76,"A.cer_150_13"
9,2017-12-13,"A.cer","A.cer_249","N","R1",0.651,"2017-12-13_249","Acer_31",28,"A.cer_249_9"
16,2018-02-15,"A.cer","A.cer_250","N+P","R1",0.601,"2018-02-15_250","Acer_31",92,"A.cer_250_16"
9,2017-12-13,"A.cer","A.cer_154","N","R2",0.649,"2017-12-13_154","Acer_31",28,"A.cer_154_9"
0,2017-07-26,"A.cer","A.cer_152","Ambient","R2",0.598,"2017-07-26_152","Acer_31",-112,"A.cer_152_0"
8,2017-12-06,"A.cer","A.cer_154","N","R2",0.651,"2017-12-06_154","Acer_31",21,"A.cer_154_8"
10,2018-01-03,"A.cer","A.cer_151","N+P","R1",0.646,"2018-01-03_151","Acer_31",49,"A.cer_151_10"
11,2018-01-19,"A.cer","A.cer_159","N+P","R1",0.647,"2018-01-19_159","Acer_31",65,"A.cer_159_11"
16,2018-02-15,"A.cer","A.cer_247","N+P","R2",0.583,"2018-02-15_247","Acer_31",92,"A.cer_247_16"
8,2017-12-06,"A.cer","A.cer_150","N","R1",0.658,"2017-12-06_150","Acer_31",21,"A.cer_150_8"
8,2017-12-06,"A.cer","A.cer_247","N+P","R2",0.656,"2017-12-06_247","Acer_31",21,"A.cer_247_8"
15,2018-02-12,"A.cer","A.cer_299","N","R2",0.574,"2018-02-12_299","Acer_31",89,"A.cer_299_15"
9,2017-12-13,"A.cer","A.cer_150","N","R1",0.655,"2017-12-13_150","Acer_31",28,"A.cer_150_9"
16,2018-02-15,"A.cer","A.cer_151","N+P","R1",0.485,"2018-02-15_151","Acer_31",92,"A.cer_151_16"
12,2018-01-25,"A.cer","A.cer_250","N+P","R1",0.611,"2018-01-25_250","Acer_31",71,"A.cer_250_12"
20,2018-03-01,"A.cer","A.cer_152","Ambient","R2",0.478,"2018-03-01_152","Acer_31",106,"A.cer_152_20"
0,2017-07-26,"A.cer","A.cer_299","N","R2",0.588,"2017-07-26_299","Acer_31",-112,"A.cer_299_0"
6,2017-11-23,"A.cer","A.cer_249","N","R1",0.651,"2017-11-23_249","Acer_31",8,"A.cer_249_6"
7,2017-11-29,"A.cer","A.cer_155","N+P","R2",0.651,"2017-11-29_155","Acer_31",14,"A.cer_155_7"
23,2018-03-25,"A.cer","A.cer_155","N+P","R2",0.529,"2018-03-25_155","Acer_31",130,"A.cer_155_23"
5,2017-11-16,"A.cer","A.cer_158","N","R1",0.625,"2017-11-16_158","Acer_31",1,"A.cer_158_5"
17,2018-02-19,"A.cer","A.cer_152","Ambient","R2",0.582,"2018-02-19_152","Acer_31",96,"A.cer_152_17"
18,2018-02-22,"A.cer","A.cer_249","N","R1",0.444,"2018-02-22_249","Acer_31",99,"A.cer_249_18"
6,2017-11-23,"A.cer","A.cer_158","N","R1",0.659,"2017-11-23_158","Acer_31",8,"A.cer_158_6"
15,2018-02-12,"A.cer","A.cer_250","N+P","R1",0.596,"2018-02-12_250","Acer_31",89,"A.cer_250_15"
9,2017-12-13,"A.cer","A.cer_158","N","R1",0.643,"2017-12-13_158","Acer_31",28,"A.cer_158_9"
12,2018-01-25,"A.cer","A.cer_151","N+P","R1",0.571,"2018-01-25_151","Acer_31",71,"A.cer_151_12"
15,2018-02-12,"A.cer","A.cer_155","N+P","R2",0.583,"2018-02-12_155","Acer_31",89,"A.cer_155_15"
20,2018-03-01,"A.cer","A.cer_160","Ambient","R2",0.429,"2018-03-01_160","Acer_31",106,"A.cer_160_20"
18,2018-02-22,"A.cer","A.cer_160","Ambient","R2",0.518,"2018-02-22_160","Acer_31",99,"A.cer_160_18"
11,2018-01-19,"A.cer","A.cer_299","N","R2",0.613,"2018-01-19_299","Acer_31",65,"A.cer_299_11"
1,2017-08-30,"A.cer","A.cer_150","N","R1",0.604,"2017-08-30_150","Acer_31",-77,"A.cer_150_1"
10,2018-01-03,"A.cer","A.cer_158","N","R1",0.658,"2018-01-03_158","Acer_31",49,"A.cer_158_10"
9,2017-12-13,"A.cer","A.cer_247","N+P","R2",0.652,"2017-12-13_247","Acer_31",28,"A.cer_247_9"
10,2018-01-03,"A.cer","A.cer_155","N+P","R2",0.629,"2018-01-03_155","Acer_31",49,"A.cer_155_10"
15,2018-02-12,"A.cer","A.cer_151","N+P","R1",0.566,"2018-02-12_151","Acer_31",89,"A.cer_151_15"
11,2018-01-19,"A.cer","A.cer_247","N+P","R2",0.618,"2018-01-19_247","Acer_31",65,"A.cer_247_11"
