Time,Date,Spp,Colony,Fragment,Treatment,Replicate,YII,Sample
7,11/29/17,O.fav,6,6-61,NP,R1,0.556,6-61_2017-11-29
7,11/29/17,O.fav,6,6-86,NP,R1,0.541,6-86_2017-11-29
7,11/29/17,O.fav,6,6-115,NP,R1,0.542,6-115_2017-11-29
7,11/29/17,O.fav,20,20-17,NP,R1,0.531,20-17_2017-11-29
7,11/29/17,O.fav,20,20-34,NP,R1,0.527,20-34_2017-11-29
7,11/29/17,O.fav,20,20-40,NP,R1,0.549,20-40_2017-11-29
7,11/29/17,O.fav,31,31-17,NP,R1,0.576,31-17_2017-11-29
7,11/29/17,O.fav,31,31-39,NP,R1,0.584,31-39_2017-11-29
7,11/29/17,O.fav,31,31-40,NP,R1,0.565,31-40_2017-11-29
7,11/29/17,O.fav,34,34-4,NP,R1,0.566,34-4_2017-11-29
7,11/29/17,O.fav,34,34-9,NP,R1,0.559,34-9_2017-11-29
7,11/29/17,O.fav,34,34-22,NP,R1,0.497,34-22_2017-11-29
7,11/29/17,O.fav,6,6-40,Control,R2,0.51,6-40_2017-11-29
7,11/29/17,O.fav,6,6-85,Control,R2,0.508,6-85_2017-11-29
7,11/29/17,O.fav,6,6-116,Control,R2,0.515,6-116_2017-11-29
7,11/29/17,O.fav,20,20-3,Control,R2,0.488,20-3_2017-11-29
7,11/29/17,O.fav,20,20-4,Control,R2,0.529,20-4_2017-11-29
7,11/29/17,O.fav,20,20-21,Control,R2,0.533,20-21_2017-11-29
7,11/29/17,O.fav,31,31-13,Control,R2,0.581,31-13_2017-11-29
7,11/29/17,O.fav,31,31-24,Control,R2,0.582,31-24_2017-11-29
7,11/29/17,O.fav,31,31-46,Control,R2,0.581,31-46_2017-11-29
7,11/29/17,O.fav,34,34-8,Control,R2,0.473,34-8_2017-11-29
7,11/29/17,O.fav,34,34-11,Control,R2,0.478,34-11_2017-11-29
7,11/29/17,O.fav,34,34-23,Control,R2,0.533,34-23_2017-11-29
7,11/29/17,O.fav,6,6-12,N,R2,0.547,6-12_2017-11-29
7,11/29/17,O.fav,6,6-19,N,R2,0.54,6-19_2017-11-29
7,11/29/17,O.fav,6,6-118,N,R2,0.563,6-118_2017-11-29
7,11/29/17,O.fav,20,20-29,N,R2,0.51,20-29_2017-11-29
7,11/29/17,O.fav,20,20-41,N,R2,0.525,20-41_2017-11-29
7,11/29/17,O.fav,20,20-45,N,R2,0.522,20-45_2017-11-29
7,11/29/17,O.fav,31,31-3,N,R2,0.578,31-3_2017-11-29
7,11/29/17,O.fav,31,31-8,N,R2,0.573,31-8_2017-11-29
7,11/29/17,O.fav,31,31-10,N,R2,0.554,31-10_2017-11-29
7,11/29/17,O.fav,34,34-10,N,R2,0.513,34-10_2017-11-29
7,11/29/17,O.fav,34,34-24,N,R2,0.544,34-24_2017-11-29
7,11/29/17,O.fav,34,34-25,N,R2,0.53,34-25_2017-11-29
7,11/29/17,O.fav,6,6-49,NP,R2,0.494,6-49_2017-11-29
7,11/29/17,O.fav,6,6-72,NP,R2,0.557,6-72_2017-11-29
7,11/29/17,O.fav,6,6-82,NP,R2,0.573,6-82_2017-11-29
7,11/29/17,O.fav,20,20-11,NP,R2,0.541,20-11_2017-11-29
7,11/29/17,O.fav,20,20-43,NP,R2,0.557,20-43_2017-11-29
7,11/29/17,O.fav,20,20-50,NP,R2,0.535,20-50_2017-11-29
7,11/29/17,O.fav,31,31-2,NP,R2,0.571,31-2_2017-11-29
7,11/29/17,O.fav,31,31-11,NP,R2,0.566,31-11_2017-11-29
7,11/29/17,O.fav,31,31-49,NP,R2,0.575,31-49_2017-11-29
7,11/29/17,O.fav,34,34-7,NP,R2,0.554,34-7_2017-11-29
7,11/29/17,O.fav,34,34-21,NP,R2,0.526,34-21_2017-11-29
7,11/29/17,O.fav,34,34-32,NP,R2,0.547,34-32_2017-11-29
8,12/6/17,O.fav,6,6-6,Control,R1,0.483,6-6_2017-12-06
8,12/6/17,O.fav,6,6-83,Control,R1,0.455,6-83_2017-12-06
8,12/6/17,O.fav,6,6-112,Control,R1,0.459,6-112_2017-12-06
8,12/6/17,O.fav,20,20-14,Control,R1,0.47,20-14_2017-12-06
8,12/6/17,O.fav,20,20-19,Control,R1,0.445,20-19_2017-12-06
8,12/6/17,O.fav,20,20-30,Control,R1,0.447,20-30_2017-12-06
8,12/6/17,O.fav,31,31-34,Control,R1,0.575,31-34_2017-12-06
8,12/6/17,O.fav,31,31-41,Control,R1,0.557,31-41_2017-12-06
8,12/6/17,O.fav,31,31-45,Control,R1,0.54,31-45_2017-12-06
8,12/6/17,O.fav,34,34-20,Control,R1,0.436,34-20_2017-12-06
8,12/6/17,O.fav,34,34-36,Control,R1,0.455,34-36_2017-12-06
8,12/6/17,O.fav,34,34-49,Control,R1,0.472,34-49_2017-12-06
8,12/6/17,O.fav,6,6-9,N,R1,0.498,6-9_2017-12-06
8,12/6/17,O.fav,6,6-81,N,R1,0.522,6-81_2017-12-06
8,12/6/17,O.fav,6,6-96,N,R1,0.454,6-96_2017-12-06
8,12/6/17,O.fav,20,20-2,N,R1,0.491,20-2_2017-12-06
8,12/6/17,O.fav,20,20-28,N,R1,0.469,20-28_2017-12-06
8,12/6/17,O.fav,20,20-46,N,R1,0.435,20-46_2017-12-06
8,12/6/17,O.fav,31,31-25,N,R1,0.507,31-25_2017-12-06
8,12/6/17,O.fav,31,31-30,N,R1,0.527,31-30_2017-12-06
8,12/6/17,O.fav,31,31-43,N,R1,0.542,31-43_2017-12-06
8,12/6/17,O.fav,34,34-5,N,R1,0.452,34-5_2017-12-06
8,12/6/17,O.fav,34,34-38,N,R1,0.485,34-38_2017-12-06
8,12/6/17,O.fav,34,34-44,N,R1,0.468,34-44_2017-12-06
8,12/6/17,O.fav,6,6-61,NP,R1,0.524,6-61_2017-12-06
8,12/6/17,O.fav,6,6-86,NP,R1,0.531,6-86_2017-12-06
8,12/6/17,O.fav,6,6-115,NP,R1,0.503,6-115_2017-12-06
8,12/6/17,O.fav,20,20-17,NP,R1,0.471,20-17_2017-12-06
8,12/6/17,O.fav,20,20-34,NP,R1,0.475,20-34_2017-12-06
8,12/6/17,O.fav,20,20-40,NP,R1,0.507,20-40_2017-12-06
8,12/6/17,O.fav,31,31-17,NP,R1,0.519,31-17_2017-12-06
8,12/6/17,O.fav,31,31-39,NP,R1,0.519,31-39_2017-12-06
8,12/6/17,O.fav,31,31-40,NP,R1,0.521,31-40_2017-12-06
8,12/6/17,O.fav,34,34-4,NP,R1,0.481,34-4_2017-12-06
8,12/6/17,O.fav,34,34-9,NP,R1,0.454,34-9_2017-12-06
8,12/6/17,O.fav,34,34-22,NP,R1,0.407,34-22_2017-12-06
8,12/6/17,O.fav,6,6-40,Control,R2,0.476,6-40_2017-12-06
8,12/6/17,O.fav,6,6-85,Control,R2,0.469,6-85_2017-12-06
8,12/6/17,O.fav,6,6-116,Control,R2,0.485,6-116_2017-12-06
8,12/6/17,O.fav,20,20-3,Control,R2,0.445,20-3_2017-12-06
8,12/6/17,O.fav,20,20-4,Control,R2,0.458,20-4_2017-12-06
8,12/6/17,O.fav,20,20-21,Control,R2,0.461,20-21_2017-12-06
