Time,Date,Spp,Colony,Fragment,Treatment,Replicate,YII,Sample
5,11/16/17,S.sid,20,20-1,Control,R1,0.467,20-1_2017-11-16
5,11/16/17,S.sid,20,20-4,Control,R1,0.478,20-4_2017-11-16
5,11/16/17,S.sid,20,20-13,Control,R1,0.479,20-13_2017-11-16
5,11/16/17,S.sid,20,20-19,Control,R1,0.465,20-19_2017-11-16
5,11/16/17,S.sid,22,22-2,Control,R1,0.423,22-2_2017-11-16
5,11/16/17,S.sid,22,22-8,Control,R1,0.42,22-8_2017-11-16
5,11/16/17,S.sid,22,22-16,Control,R1,0.424,22-16_2017-11-16
5,11/16/17,S.sid,22,22-21,Control,R1,0.436,22-21_2017-11-16
5,11/16/17,S.sid,23,23-54,Control,R1,0.421,23-54_2017-11-16
5,11/16/17,S.sid,23,23-57,Control,R1,0.429,23-57_2017-11-16
5,11/16/17,S.sid,23,23-60,Control,R1,0.42,23-60_2017-11-16
5,11/16/17,S.sid,23,23-65,Control,R1,0.419,23-65_2017-11-16
5,11/16/17,S.sid,24,24-2,Control,R1,0.479,24-2_2017-11-16
5,11/16/17,S.sid,24,24-6,Control,R1,0.474,24-6_2017-11-16
5,11/16/17,S.sid,24,24-9,Control,R1,0.462,24-9_2017-11-16
5,11/16/17,S.sid,24,24-12,Control,R1,0.452,24-12_2017-11-16
5,11/16/17,S.sid,27,27-3,Control,R1,0.389,27-3_2017-11-16
5,11/16/17,S.sid,27,27-9,Control,R1,0.395,27-9_2017-11-16
5,11/16/17,S.sid,27,27-19,Control,R1,0.422,27-19_2017-11-16
5,11/16/17,S.sid,27,27-28,Control,R1,0.42,27-28_2017-11-16
5,11/16/17,S.sid,28,28-2,Control,R1,0.435,28-2_2017-11-16
5,11/16/17,S.sid,28,28-5,Control,R1,0.418,28-5_2017-11-16
5,11/16/17,S.sid,28,28-8,Control,R1,0.453,28-8_2017-11-16
5,11/16/17,S.sid,30,30-1,Control,R1,0.487,30-1_2017-11-16
5,11/16/17,S.sid,30,30-4,Control,R1,0.487,30-4_2017-11-16
5,11/16/17,S.sid,30,30-8,Control,R1,0.477,30-8_2017-11-16
5,11/16/17,S.sid,30,30-12,Control,R1,0.499,30-12_2017-11-16
5,11/16/17,S.sid,20,20-2,N,R1,0.443,20-2_2017-11-16
5,11/16/17,S.sid,20,20-8,N,R1,0.473,20-8_2017-11-16
5,11/16/17,S.sid,20,20-15,N,R1,0.46,20-15_2017-11-16
5,11/16/17,S.sid,20,20-22,N,R1,0.467,20-22_2017-11-16
5,11/16/17,S.sid,22,22-3,N,R1,0.4,22-3_2017-11-16
5,11/16/17,S.sid,22,22-11,N,R1,0.414,22-11_2017-11-16
5,11/16/17,S.sid,22,22-17,N,R1,0.401,22-17_2017-11-16
5,11/16/17,S.sid,22,22-24,N,R1,0.414,22-24_2017-11-16
5,11/16/17,S.sid,23,23-55,N,R1,0.396,23-55_2017-11-16
5,11/16/17,S.sid,23,23-58,N,R1,0.402,23-58_2017-11-16
5,11/16/17,S.sid,23,23-61,N,R1,0.413,23-61_2017-11-16
5,11/16/17,S.sid,23,23-66,N,R1,0.399,23-66_2017-11-16
5,11/16/17,S.sid,24,24-3,N,R1,0.459,24-3_2017-11-16
5,11/16/17,S.sid,24,24-7,N,R1,0.446,24-7_2017-11-16
5,11/16/17,S.sid,24,24-10,N,R1,0.427,24-10_2017-11-16
5,11/16/17,S.sid,24,24-14,N,R1,0.414,24-14_2017-11-16
5,11/16/17,S.sid,27,27-5,N,R1,0.407,27-5_2017-11-16
5,11/16/17,S.sid,27,27-12,N,R1,0.42,27-12_2017-11-16
5,11/16/17,S.sid,27,27-21,N,R1,0.444,27-21_2017-11-16
5,11/16/17,S.sid,27,27-45,N,R1,0.428,27-45_2017-11-16
5,11/16/17,S.sid,28,28-3,N,R1,0.41,28-3_2017-11-16
5,11/16/17,S.sid,28,28-6,N,R1,0.392,28-6_2017-11-16
5,11/16/17,S.sid,28,28-9,N,R1,0.435,28-9_2017-11-16
5,11/16/17,S.sid,30,30-2,N,R1,0.45,30-2_2017-11-16
5,11/16/17,S.sid,30,30-5,N,R1,0.446,30-5_2017-11-16
5,11/16/17,S.sid,30,30-9,N,R1,0.463,30-9_2017-11-16
5,11/16/17,S.sid,30,30-13,N,R1,0.477,30-13_2017-11-16
5,11/16/17,S.sid,20,20-3,NP,R1,0.447,20-3_2017-11-16
5,11/16/17,S.sid,20,20-11,NP,R1,0.437,20-11_2017-11-16
5,11/16/17,S.sid,20,20-17,NP,R1,0.482,20-17_2017-11-16
5,11/16/17,S.sid,20,20-23,NP,R1,0.449,20-23_2017-11-16
5,11/16/17,S.sid,22,22-6,NP,R1,0.42,22-6_2017-11-16
5,11/16/17,S.sid,22,22-12,NP,R1,0.42,22-12_2017-11-16
5,11/16/17,S.sid,22,22-18,NP,R1,0.426,22-18_2017-11-16
5,11/16/17,S.sid,22,22-25,NP,R1,0.409,22-25_2017-11-16
5,11/16/17,S.sid,23,23-56,NP,R1,0.408,23-56_2017-11-16
5,11/16/17,S.sid,23,23-59,NP,R1,0.394,23-59_2017-11-16
5,11/16/17,S.sid,23,23-63,NP,R1,0.387,23-63_2017-11-16
5,11/16/17,S.sid,23,23-67,NP,R1,0.395,23-67_2017-11-16
5,11/16/17,S.sid,24,24-5,NP,R1,0.457,24-5_2017-11-16
5,11/16/17,S.sid,24,24-11,NP,R1,0.445,24-11_2017-11-16
5,11/16/17,S.sid,24,24-15,NP,R1,0.452,24-15_2017-11-16
5,11/16/17,S.sid,27,27-6,NP,R1,0.427,27-6_2017-11-16
5,11/16/17,S.sid,27,27-18,NP,R1,0.453,27-18_2017-11-16
5,11/16/17,S.sid,27,27-27,NP,R1,0.46,27-27_2017-11-16
5,11/16/17,S.sid,27,27-46,NP,R1,0.436,27-46_2017-11-16
5,11/16/17,S.sid,28,28-4,NP,R1,0.448,28-4_2017-11-16
5,11/16/17,S.sid,28,28-7,NP,R1,0.467,28-7_2017-11-16
5,11/16/17,S.sid,28,28-10,NP,R1,0.474,28-10_2017-11-16
5,11/16/17,S.sid,30,30-3,NP,R1,0.498,30-3_2017-11-16
5,11/16/17,S.sid,30,30-7,NP,R1,0.493,30-7_2017-11-16
5,11/16/17,S.sid,30,30-10,NP,R1,0.488,30-10_2017-11-16
5,11/16/17,S.sid,30,30-14,NP,R1,0.497,30-14_2017-11-16
5,11/16/17,S.sid,20,20-26,Control,R2,0.494,20-26_2017-11-16
5,11/16/17,S.sid,20,20-32,Control,R2,0.499,20-32_2017-11-16
5,11/16/17,S.sid,20,20-38,Control,R2,0.517,20-38_2017-11-16
5,11/16/17,S.sid,20,20-45,Control,R2,0.498,20-45_2017-11-16
5,11/16/17,S.sid,22,22-26,Control,R2,0.453,22-26_2017-11-16
5,11/16/17,S.sid,22,22-32,Control,R2,0.461,22-32_2017-11-16
5,11/16/17,S.sid,22,22-35,Control,R2,0.46,22-35_2017-11-16
5,11/16/17,S.sid,22,22-39,Control,R2,0.46,22-39_2017-11-16
5,11/16/17,S.sid,23,23-68,Control,R2,0.471,23-68_2017-11-16
5,11/16/17,S.sid,23,23-72,Control,R2,0.434,23-72_2017-11-16
5,11/16/17,S.sid,23,23-75,Control,R2,0.444,23-75_2017-11-16
5,11/16/17,S.sid,23,23-79,Control,R2,0.451,23-79_2017-11-16
5,11/16/17,S.sid,24,24-16,Control,R2,0.523,24-16_2017-11-16
5,11/16/17,S.sid,24,24-19,Control,R2,0.517,24-19_2017-11-16
