Genotype,Colony
Acer_01,Red and Green
Acer_07,Red and Orange
Acer_08,Yellow
Acer_31,Orange
Acer_34,Red
Acer_41,Orange and Yellow
Acer_48,Green
Acer_50,Red and Yellow
Acer_62,Green and Orange
