Fragment,Colony,Treatment,Replicate
S.sid_30-2,S.sid_30,N,R1
S.sid_30-20,S.sid_30,Control,R2
S.sid_30-21,S.sid_30,N,R2
S.sid_30-22,S.sid_30,NP,R2
S.sid_30-23,S.sid_30,Control,R2
S.sid_30-24,S.sid_30,N,R2
S.sid_30-25,S.sid_30,NP,R2
S.sid_30-26,S.sid_30,Control,R2
S.sid_30-27,S.sid_30,N,R2
S.sid_30-28,S.sid_30,NP,R2
S.sid_30-3,S.sid_30,NP,R1
S.sid_30-4,S.sid_30,Control,R1
S.sid_30-5,S.sid_30,N,R1
S.sid_30-7,S.sid_30,NP,R1
S.sid_30-8,S.sid_30,Control,R1
S.sid_30-9,S.sid_30,N,R1
