"","Treatment","DaysF","Community","emmean","SE","df","lower.CL","upper.CL",".group"
"1","A","78","C1",-1.64683684517179,0.301375298083352,9.19438574058614,-2.32640430429038,-0.967269386053197,"        890 "
"2","N","78","C1",-1.62001114943632,0.301446090734384,9.19963464715451,-2.29968052106586,-0.940341777806779,"        890 "
"3","N+P","78","C1",-1.80188165075871,0.298833678751118,8.89978066320328,-2.47905258699544,-1.12471071452199,"     567890 "
"10","A","78","C3",0.0137926214219952,0.303370618157242,9.29096805961364,-0.669217151734356,0.696802394578347,"           A"
"11","N","78","C3",0.0406183171574659,0.302115029384276,9.14376893833886,-0.641178835320459,0.72241546963539,"           A"
"12","N+P","78","C3",-0.14125218416493,0.303146709497556,9.25941293527967,-0.824100160342891,0.541595792013032,"           A"
"19","A","78","D",-1.44749491723907,0.282308936942464,7.19557991311032,-2.11138880925279,-0.783601025225356,"         90 "
"20","N","78","D",-1.4206692215036,0.282514109689029,7.21484170188194,-2.08469740000904,-0.756641042998158,"         90 "
"21","N+P","78","D",-1.602539722826,0.2832731258105,7.29220914910533,-2.26697124441182,-0.938108201240174,"         90 "
"4","A","100","C1",-2.6946895967026,0.303030007331446,9.40482429252895,-3.37571944567707,-2.01365974772812," 1 3        "
"5","N","100","C1",-2.27293270703986,0.305388909082844,9.69485881505267,-2.95629582040375,-1.58956959367597,"  2 4567    "
"6","N+P","100","C1",-2.53672909919354,0.304498445072467,9.59310345061772,-3.21911496050608,-1.854343237881," 1234       "
"13","A","100","C3",-1.52612012138591,0.307255539947085,9.78206806622278,-2.21280118143321,-0.839439061338618,"      6789  "
"14","N","100","C3",-1.10436323172318,0.308213009918532,9.89127542059977,-1.79212919695436,-0.416597266491998,"          0 "
"15","N+P","100","C3",-1.36815962387686,0.309044916146013,10.0006313363406,-2.0567487162005,-0.679570531553214,"       7 90 "
"22","A","100","D",-2.6222527393238,0.287153618891771,7.70050913865271,-3.28893983702433,-1.95556564162327," 12         "
"23","N","100","D",-2.20049584966106,0.284614374182925,7.43989631302263,-2.86551862152915,-1.53547307779298,"   3456 8   "
"24","N+P","100","D",-2.46429224181474,0.289984411594191,8.00807774653952,-3.13288010253195,-1.79570438109753," 1234       "
"7","A","111","C1",-2.95563269996251,0.308549487594927,10.0600212288484,-3.64256821545321,-2.2686971844718," 1          "
"8","N","111","C1",-2.92540962590222,0.307560271410985,9.98206800802752,-3.61086352142989,-2.23995573037455," 1          "
"9","N+P","111","C1",-2.77833889362173,0.308146590047011,10.0551620535846,-3.46442206666612,-2.09225572057733," 1234       "
"16","A","111","C3",-2.87130609309849,0.317332523164957,11.1293733639554,-3.56876096791173,-2.17385121828526," 1234       "
"17","N","111","C3",-2.8410830190382,0.326981630660128,12.408393346615,-3.55092285505912,-2.13124318301729," 1234       "
"18","N+P","111","C3",-2.69401228675771,0.321809676700933,11.7009176008452,-3.39716823788746,-1.99085633562796," 12345      "
"25","A","111","D",-2.61580308523769,0.284744580267533,7.46147209752588,-3.28076656753869,-1.95083960293669," 1234       "
"26","N","111","D",-2.5855800111774,0.281753545836311,7.16723791740744,-3.24868277106531,-1.9224772512895," 1234       "
"27","N+P","111","D",-2.43850927889691,0.28738338799373,7.74309210556969,-3.10506343815191,-1.77195511964192," 1234       "
