Treatment,Replicate,Fragment,Genotype,Date,Days,Time_Point,Phase,Sample,C.Ssid,D.Ssid,TotalSH,logC.SH,logD.SH,logSH,D.Prp,Community
A,R2,Ss_27-85,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-85_T5,0,0.062728020682073,0.062728020682073,NA,-1.20253841596044,-1.20253841596044,1,D
A,R2,Ss_27-94,Ss_27,2017-11-15,0,T5,Baseline,Ss_27-94_T5,0,0.065819741694882,0.065819741694882,NA,-1.18164382639758,-1.18164382639758,1,D
A,R2,Ss_28-11,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-11_T5,0.020397968980659,0.071858545352745,0.092256514333403,-1.69041307298608,-1.14352157855456,-1.0350029580777,0.77889941834413,D
A,R2,Ss_28-15,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-15_T5,0.040396359956073,0.084443587482127,0.1248399474382,-1.39365776662734,-1.07343332450465,-0.903646422859193,0.676414795223536,D
A,R2,Ss_28-20,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-20_T5,0.039875583415634,0.008645864780424,0.048521448196059,-1.39929294976957,-2.06319156102707,-1.31406624543591,0.178186453658377,C1
A,R2,Ss_28-29,Ss_28,2017-11-15,0,T5,Baseline,Ss_28-29_T5,0.049235767692416,0.03448205979361,0.083717827486026,-1.30771928609871,-1.46240679939373,-1.0771820503175,0.411884312207764,C1
A,R2,Ss_24-16,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-16_T5,0.332015590128412,0.003982282019037,0.335997872147449,-0.47884152307977,-2.39986798715782,-0.47366347296,0.011852104876692,C3
A,R2,Ss_24-19,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-19_T5,0.326759956389841,0.017534544304912,0.344294500694753,-0.485771170574378,-1.75610551626288,-0.463069914085907,0.050928911933036,C3
A,R2,Ss_24-23,Ss_24,2017-11-15,0,T5,Baseline,Ss_24-23_T5,0.36572161157291,0.003368695218518,0.369090306791428,-0.436849375156794,-2.47253827987774,-0.432867360283272,0.009127021643572,C3
A,R2,Ss_30-15,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-15_T5,0.044476377005126,0,0.044476377005126,-1.35187059711767,NA,-1.35187059711767,0,C3
A,R2,Ss_30-20,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-20_T5,0.02042804653695,0,0.02042804653695,-1.68977316145299,NA,-1.68977316145299,0,C3
A,R2,Ss_30-23,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-23_T5,0.031491424509083,0,0.031491424509083,-1.50180769368414,NA,-1.50180769368414,0,C3
A,R2,Ss_30-26,Ss_30,2017-11-15,0,T5,Baseline,Ss_30-26_T5,0.018865144373276,0,0.018865144373276,-1.72433986683314,NA,-1.72433986683314,0,C3
A,R2,Ss_20-26,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-26_T5,0.019619385325716,0,0.019619385325716,-1.70731460316562,NA,-1.70731460316562,0,C1
A,R2,Ss_20-32,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-32_T5,0.018806449688597,0,0.018806449688597,-1.72569318351297,NA,-1.72569318351297,0,C1
A,R2,Ss_20-38,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-38_T5,0.013907717668909,0,0.013907717668909,-1.85674413421537,NA,-1.85674413421537,0,C1
A,R2,Ss_20-45,Ss_20,2017-11-15,0,T5,Baseline,Ss_20-45_T5,0.006037988203305,0,0.006037988203305,-2.21910773981317,NA,-2.21910773981317,0,C1
N,R1,Ss_22-11,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-11_T5,0,0.021369845632501,0.021369845632501,NA,-1.67019861499996,-1.67019861499996,1,D
N,R1,Ss_22-17,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-17_T5,0,0.01154446410159,0.01154446410159,NA,-1.93762622239377,-1.93762622239377,1,D
N,R1,Ss_22-24,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-24_T5,0,0.016000489534109,0.016000489534109,NA,-1.79586672992469,-1.79586672992469,1,D
N,R1,Ss_22-3,Ss_22,2017-11-15,0,T5,Baseline,Ss_22-3_T5,0,0.02495116634047,0.02495116634047,NA,-1.60290914850187,-1.60290914850187,1,D
N,R1,Ss_23-55,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-55_T5,0,0.016934183650356,0.016934183650356,NA,-1.77123573463737,-1.77123573463737,1,D
N,R1,Ss_23-58,Ss_23,2017-11-15,0,T5,Baseline,Ss_23-58_T5,0,0.028190777063512,0.028190777063512,NA,-1.54989295287107,-1.54989295287107,1,D
