"","Fra","Treatment","Replicate","Initial.Date","Final.Date","dBW.g","dAW.gd","MoteGen","Genotype","WB","Days","DayF","TimePoint","Nutrients","SampleID","TreatDay","NutDay"
"107","223","A","R2",2018-01-16,2018-01-29,4.736,4.7283,"G_62","Green and Orange","S",75,"75",4,"Ambient","Ac_223_4","0","0"
"108","229","N+P","R2",2018-01-29,2018-02-14,1.0104,0.9038,"G_62","Green and Orange","S",91,"91",5,"Nutrients","Ac_229_5","91_N+P","91_Nutrients"
"109","217","A","R2",2017-12-15,2018-01-16,1.2416,1.2523,"G_62","Green and Orange","S",62,"62",3,"Ambient","Ac_217_3","0","0"
"110","229","N+P","R2",2018-02-14,2018-02-23,-1.4225,-1.2535,"G_62","Green and Orange","S",100,"100",6,"Nutrients","Ac_229_6","100_N+P","100_Nutrients"
"111","123","N","R1",2017-11-16,2017-12-13,2.8639,2.94,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_123_2","28_N","28_Nutrients"
"113","216","N+P","R1",2018-01-16,2018-01-29,1.9076,1.8824,"G_62","Green and Orange","S",75,"75",4,"Nutrients","Ac_216_4","75_N+P","75_Nutrients"
"114","119","A","R2",2018-02-14,2018-02-23,1.0757,1.2586,"G_62","Green and Orange","S",100,"100",6,"Ambient","Ac_119_6","0","0"
"116","218","N","R2",2017-11-16,2017-12-13,2.7123,2.7637,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_218_2","28_N","28_Nutrients"
"117","119","A","R2",2018-01-16,2018-01-29,3.6989,3.6913,"G_62","Green and Orange","S",75,"75",4,"Ambient","Ac_119_4","0","0"
"121","218","N","R2",2017-08-30,2017-10-18,2.7152,2.7058,"G_62","Green and Orange","S",-28,"-28",1,"Nutrients","Ac_218_1",NA,"0"
"122","226","A","R1",2018-02-14,2018-02-23,1.2611,1.4985,"G_62","Green and Orange","S",100,"100",6,"Ambient","Ac_226_6","0","0"
"123","219","N+P","R2",2017-11-16,2017-12-13,3.2431,3.3015,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_219_2","28_N+P","28_Nutrients"
"125","116","A","R1",2018-01-16,2018-01-29,4.7338,4.6584,"G_62","Green and Orange","S",75,"75",4,"Ambient","Ac_116_4","0","0"
"127","222","N+P","R1",2018-01-16,2018-01-29,1.8645,1.8393,"G_62","Green and Orange","S",75,"75",4,"Nutrients","Ac_222_4","75_N+P","75_Nutrients"
"128","126","N","R2",2017-11-16,2017-12-13,1.9074,1.9577,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_126_2","28_N","28_Nutrients"
"129","125","A","R2",2018-02-14,2018-02-23,1.5831,1.7668,"G_62","Green and Orange","S",100,"100",6,"Ambient","Ac_125_6","0","0"
"130","224","N","R2",2017-11-16,2017-12-13,2.9655,3.0173,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_224_2","28_N","28_Nutrients"
"131","124","N+P","R1",2017-11-16,2017-12-13,3.413,3.4635,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_124_2","28_N+P","28_Nutrients"
"132","118","N+P","R1",2018-02-14,2018-02-23,-0.3767,-0.1247,"G_62","Green and Orange","S",100,"100",6,"Nutrients","Ac_118_6","100_N+P","100_Nutrients"
"134","225","N+P","R2",2017-12-15,2018-01-16,2.3658,2.3904,"G_62","Green and Orange","S",62,"62",3,"Nutrients","Ac_225_3","62_N+P","62_Nutrients"
"135","224","N","R2",2017-08-30,2017-10-18,3.9015,3.893,"G_62","Green and Orange","S",-28,"-28",1,"Nutrients","Ac_224_1",NA,"0"
"136","225","N+P","R2",2018-02-14,2018-02-23,-0.9867,-0.8169,"G_62","Green and Orange","S",100,"100",6,"Nutrients","Ac_225_6","100_N+P","100_Nutrients"
"137","227","N","R1",2018-01-16,2018-01-29,2.0566,2.001,"G_62","Green and Orange","S",75,"75",4,"Nutrients","Ac_227_4","75_N","75_Nutrients"
"138","222","N+P","R1",2018-01-29,2018-02-14,1.8975,1.7955,"G_62","Green and Orange","S",91,"91",5,"Nutrients","Ac_222_5","91_N+P","91_Nutrients"
"139","230","N","R2",2018-01-16,2018-01-29,0.6834,0.7005,"G_62","Green and Orange","S",75,"75",4,"Nutrients","Ac_230_4","75_N","75_Nutrients"
"140","128","N+P","R2",2017-08-30,2017-10-18,3.3569,3.3598,"G_62","Green and Orange","S",-28,"-28",1,"Nutrients","Ac_128_1",NA,"0"
"142","122","A","R1",2017-12-15,2018-01-16,3.7463,3.7822,"G_62","Green and Orange","S",62,"62",3,"Ambient","Ac_122_3","0","0"
"143","129","A","R1",2017-12-15,2018-01-16,3.828,3.864,"G_62","Green and Orange","S",62,"62",3,"Ambient","Ac_129_3","0","0"
"144","121","N+P","R2",2017-12-15,2018-01-16,2.6214,2.6462,"G_62","Green and Orange","S",62,"62",3,"Nutrients","Ac_121_3","62_N+P","62_Nutrients"
"145","230","N","R2",2017-11-16,2017-12-13,2.4407,2.4917,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_230_2","28_N","28_Nutrients"
"146","124","N+P","R1",2018-02-14,2018-02-23,-0.2799,-0.0277,"G_62","Green and Orange","S",100,"100",6,"Nutrients","Ac_124_6","100_N+P","100_Nutrients"
"148","128","N+P","R2",2017-11-16,2017-12-13,3.3883,3.447,"G_62","Green and Orange","S",28,"28",2,"Nutrients","Ac_128_2","28_N+P","28_Nutrients"
"149","221","N","R1",2018-01-16,2018-01-29,1.9657,1.9102,"G_62","Green and Orange","S",75,"75",4,"Nutrients","Ac_221_4","75_N","75_Nutrients"
