"","Fra","Treatment","Replicate","Initial.Date","Final.Date","dBW.g","dAW.gd","MoteGen","Genotype","WB","Days","DayF","TimePoint","Nutrients","SampleID","TreatDay","NutDay"
"207","177","N","R1",2017-12-15,2018-01-16,3.0778,3.0881,"G_48","Green","S",62,"62",3,"Nutrients","Ac_177_3","62_N","62_Nutrients"
"208","183","N","R1",2017-12-15,2018-01-16,3.0514,3.0617,"G_48","Green","S",62,"62",3,"Nutrients","Ac_183_3","62_N","62_Nutrients"
"209","190","N","R1",2017-12-15,2018-01-16,2.6663,2.6766,"G_48","Green","S",62,"62",3,"Nutrients","Ac_190_3","62_N","62_Nutrients"
"210","177","N","R1",2017-11-16,2017-12-13,3.1804,3.2571,"G_48","Green","S",28,"28",2,"Nutrients","Ac_177_2","28_N","28_Nutrients"
"211","183","N","R1",2017-11-16,2017-12-13,3.2092,3.2859,"G_48","Green","S",28,"28",2,"Nutrients","Ac_183_2","28_N","28_Nutrients"
"212","190","N","R1",2017-11-16,2017-12-13,2.6696,2.7453,"G_48","Green","S",28,"28",2,"Nutrients","Ac_190_2","28_N","28_Nutrients"
"216","177","N","R1",2017-08-30,2017-10-18,4.0569,4.0467,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_177_1",NA,"0"
"217","183","N","R1",2017-08-30,2017-10-18,3.668,3.6602,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_183_1",NA,"0"
"218","190","N","R1",2017-08-30,2017-10-18,2.8484,2.8301,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_190_1",NA,"0"
"219","282","N","R1",2017-08-30,2017-10-18,2.6607,2.6614,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_282_1",NA,"0"
"220","288","N","R1",2017-08-30,2017-10-18,2.9714,2.9722,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_288_1",NA,"0"
"224","187","N","R2",2018-01-16,2018-01-29,1.3937,1.411,"G_48","Green","S",75,"75",4,"Nutrients","Ac_187_4","75_N","75_Nutrients"
"225","178","N+P","R1",2018-01-16,2018-01-29,2.5464,2.521,"G_48","Green","S",75,"75",4,"Nutrients","Ac_178_4","75_N+P","75_Nutrients"
"226","184","N+P","R1",2018-01-16,2018-01-29,1.3104,1.2854,"G_48","Green","S",75,"75",4,"Nutrients","Ac_184_4","75_N+P","75_Nutrients"
"227","276","N+P","R1",2018-01-16,2018-01-29,2.0258,2.0005,"G_48","Green","S",75,"75",4,"Nutrients","Ac_276_4","75_N+P","75_Nutrients"
"228","178","N+P","R1",2017-12-15,2018-01-16,2.9529,2.9688,"G_48","Green","S",62,"62",3,"Nutrients","Ac_178_3","62_N+P","62_Nutrients"
"229","184","N+P","R1",2017-12-15,2018-01-16,1.8821,1.8975,"G_48","Green","S",62,"62",3,"Nutrients","Ac_184_3","62_N+P","62_Nutrients"
"230","276","N+P","R1",2017-12-15,2018-01-16,2.4893,2.505,"G_48","Green","S",62,"62",3,"Nutrients","Ac_276_3","62_N+P","62_Nutrients"
"231","178","N+P","R1",2017-11-16,2017-12-13,4.1857,4.2372,"G_48","Green","S",28,"28",2,"Nutrients","Ac_178_2","28_N+P","28_Nutrients"
"232","184","N+P","R1",2017-11-16,2017-12-13,2.1509,2.1999,"G_48","Green","S",28,"28",2,"Nutrients","Ac_184_2","28_N+P","28_Nutrients"
"233","276","N+P","R1",2017-11-16,2017-12-13,3.3796,3.4301,"G_48","Green","S",28,"28",2,"Nutrients","Ac_276_2","28_N+P","28_Nutrients"
"236","178","N+P","R1",2017-08-30,2017-10-18,3.7053,3.6979,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_178_1",NA,"0"
"237","184","N+P","R1",2017-08-30,2017-10-18,1.6003,1.5956,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_184_1",NA,"0"
"238","276","N+P","R1",2017-08-30,2017-10-18,2.3206,2.3237,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_276_1",NA,"0"
"239","283","N+P","R1",2017-08-30,2017-10-18,3.29,3.2933,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_283_1",NA,"0"
"240","181","N+P","R2",2018-01-16,2018-01-29,1.3844,1.4063,"G_48","Green","S",75,"75",4,"Nutrients","Ac_181_4","75_N+P","75_Nutrients"
"241","188","N+P","R2",2018-01-16,2018-01-29,2.0365,2.0585,"G_48","Green","S",75,"75",4,"Nutrients","Ac_188_4","75_N+P","75_Nutrients"
"242","280","N+P","R2",2018-01-16,2018-01-29,1.8444,1.8664,"G_48","Green","S",75,"75",4,"Nutrients","Ac_280_4","75_N+P","75_Nutrients"
"243","286","N+P","R2",2018-01-16,2018-01-29,1.7548,1.7768,"G_48","Green","S",75,"75",4,"Nutrients","Ac_286_4","75_N+P","75_Nutrients"
"244","186","A","R2",2017-08-30,2017-10-18,3.3428,3.3419,"G_48","Green","S",-28,"-28",1,"Ambient","Ac_186_1","0","0"
"245","179","A","R2",2018-01-16,2018-01-29,4.4459,4.4382,"G_48","Green","S",75,"75",4,"Ambient","Ac_179_4","0","0"
"246","186","A","R2",2018-01-16,2018-01-29,4.1566,4.1489,"G_48","Green","S",75,"75",4,"Ambient","Ac_186_4","0","0"
"247","277","A","R2",2018-01-16,2018-01-29,4.1933,4.1856,"G_48","Green","S",75,"75",4,"Ambient","Ac_277_4","0","0"
"248","179","A","R2",2017-12-15,2018-01-16,4.2514,4.263,"G_48","Green","S",62,"62",3,"Ambient","Ac_179_3","0","0"
"249","186","A","R2",2017-12-15,2018-01-16,4.1435,4.1551,"G_48","Green","S",62,"62",3,"Ambient","Ac_186_3","0","0"
"250","277","A","R2",2017-12-15,2018-01-16,4.1997,4.2113,"G_48","Green","S",62,"62",3,"Ambient","Ac_277_3","0","0"
"251","284","A","R2",2017-12-15,2018-01-16,4.7597,4.7715,"G_48","Green","S",62,"62",3,"Ambient","Ac_284_3","0","0"
"252","179","A","R2",2017-11-16,2017-12-13,4.198,4.2519,"G_48","Green","S",28,"28",2,"Ambient","Ac_179_2","0","0"
"253","186","A","R2",2017-11-16,2017-12-13,3.8679,3.9214,"G_48","Green","S",28,"28",2,"Ambient","Ac_186_2","0","0"
"254","277","A","R2",2017-11-16,2017-12-13,4.1814,4.2353,"G_48","Green","S",28,"28",2,"Ambient","Ac_277_2","0","0"
"256","179","A","R2",2017-08-30,2017-10-18,3.8305,3.8296,"G_48","Green","S",-28,"-28",1,"Ambient","Ac_179_1","0","0"
"257","187","N","R2",2017-11-16,2017-12-13,3.8136,3.8664,"G_48","Green","S",28,"28",2,"Nutrients","Ac_187_2","28_N","28_Nutrients"
"258","277","A","R2",2017-08-30,2017-10-18,3.1131,3.1206,"G_48","Green","S",-28,"-28",1,"Ambient","Ac_277_1","0","0"
"259","284","A","R2",2017-08-30,2017-10-18,3.4651,3.4727,"G_48","Green","S",-28,"-28",1,"Ambient","Ac_284_1","0","0"
"260","290","A","R2",2017-08-30,2017-10-18,3.3399,3.3475,"G_48","Green","S",-28,"-28",1,"Ambient","Ac_290_1","0","0"
"261","176","A","R1",2018-02-14,2018-02-23,0.9421,1.1788,"G_48","Green","S",100,"100",6,"Ambient","Ac_176_6","0","0"
"262","182","A","R1",2018-02-14,2018-02-23,1.3459,1.5834,"G_48","Green","S",100,"100",6,"Ambient","Ac_182_6","0","0"
"263","180","N","R2",2018-01-16,2018-01-29,1.374,1.3913,"G_48","Green","S",75,"75",4,"Nutrients","Ac_180_4","75_N","75_Nutrients"
"264","281","A","R1",2018-02-14,2018-02-23,1.7297,1.968,"G_48","Green","S",100,"100",6,"Ambient","Ac_281_6","0","0"
"265","278","N","R2",2018-01-16,2018-01-29,0.9454,0.9625,"G_48","Green","S",75,"75",4,"Nutrients","Ac_278_4","75_N","75_Nutrients"
"266","180","N","R2",2017-12-15,2018-01-16,2.4476,2.4602,"G_48","Green","S",62,"62",3,"Nutrients","Ac_180_3","62_N","62_Nutrients"
"267","187","N","R2",2017-12-15,2018-01-16,2.7377,2.7504,"G_48","Green","S",62,"62",3,"Nutrients","Ac_187_3","62_N","62_Nutrients"
"268","278","N","R2",2017-12-15,2018-01-16,2.1238,2.1363,"G_48","Green","S",62,"62",3,"Nutrients","Ac_278_3","62_N","62_Nutrients"
"269","180","N","R2",2017-11-16,2017-12-13,3.305,3.3572,"G_48","Green","S",28,"28",2,"Nutrients","Ac_180_2","28_N","28_Nutrients"
"270","280","N+P","R2",2017-08-30,2017-10-18,3.0824,3.0976,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_280_1",NA,"0"
"271","278","N","R2",2017-11-16,2017-12-13,3.0281,3.0799,"G_48","Green","S",28,"28",2,"Nutrients","Ac_278_2","28_N","28_Nutrients"
"272","285","N","R2",2017-11-16,2017-12-13,2.5952,2.6464,"G_48","Green","S",28,"28",2,"Nutrients","Ac_285_2","28_N","28_Nutrients"
"274","180","N","R2",2017-08-30,2017-10-18,4.2324,4.2338,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_180_1",NA,"0"
"275","187","N","R2",2017-08-30,2017-10-18,4.1181,4.1195,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_187_1",NA,"0"
"276","278","N","R2",2017-08-30,2017-10-18,2.8428,2.8523,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_278_1",NA,"0"
"277","285","N","R2",2017-08-30,2017-10-18,2.3324,2.3417,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_285_1",NA,"0"
"278","177","N","R1",2018-02-14,2018-02-23,-0.4187,-0.182,"G_48","Green","S",100,"100",6,"Nutrients","Ac_177_6","100_N","100_Nutrients"
"279","190","N","R1",2018-02-14,2018-02-23,-0.6538,-0.4176,"G_48","Green","S",100,"100",6,"Nutrients","Ac_190_6","100_N","100_Nutrients"
"280","286","N+P","R2",2018-02-14,2018-02-23,-0.7644,-0.5943,"G_48","Green","S",100,"100",6,"Nutrients","Ac_286_6","100_N+P","100_Nutrients"
"281","187","N","R2",2018-01-29,2018-02-14,NA,NA,"G_48","Green","S",91,"91",5,"Nutrients","Ac_187_5","91_N","91_Nutrients"
"282","288","N","R1",2018-02-14,2018-02-23,-0.4825,-0.2459,"G_48","Green","S",100,"100",6,"Nutrients","Ac_288_6","100_N","100_Nutrients"
"283","182","A","R1",2017-12-15,2018-01-16,5.1479,5.1852,"G_48","Green","S",62,"62",3,"Ambient","Ac_182_3","0","0"
"284","286","N+P","R2",2017-08-30,2017-10-18,3.0096,3.0248,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_286_1",NA,"0"
"285","277","A","R2",2018-02-14,2018-02-23,1.5139,1.6976,"G_48","Green","S",100,"100",6,"Ambient","Ac_277_6","0","0"
"286","181","N+P","R2",2017-12-15,2018-01-16,2.5065,2.5313,"G_48","Green","S",62,"62",3,"Nutrients","Ac_181_3","62_N+P","62_Nutrients"
"287","188","N+P","R2",2017-12-15,2018-01-16,2.1807,2.2052,"G_48","Green","S",62,"62",3,"Nutrients","Ac_188_3","62_N+P","62_Nutrients"
"288","280","N+P","R2",2017-12-15,2018-01-16,2.5937,2.6185,"G_48","Green","S",62,"62",3,"Nutrients","Ac_280_3","62_N+P","62_Nutrients"
"289","181","N+P","R2",2017-11-16,2017-12-13,2.9654,3.0234,"G_48","Green","S",28,"28",2,"Nutrients","Ac_181_2","28_N+P","28_Nutrients"
"290","188","N+P","R2",2017-11-16,2017-12-13,2.9549,3.013,"G_48","Green","S",28,"28",2,"Nutrients","Ac_188_2","28_N+P","28_Nutrients"
"291","280","N+P","R2",2017-11-16,2017-12-13,2.9902,3.0483,"G_48","Green","S",28,"28",2,"Nutrients","Ac_280_2","28_N+P","28_Nutrients"
"292","286","N+P","R2",2017-11-16,2017-12-13,3.2353,3.2938,"G_48","Green","S",28,"28",2,"Nutrients","Ac_286_2","28_N+P","28_Nutrients"
"294","181","N+P","R2",2017-08-30,2017-10-18,2.9897,2.9965,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_181_1",NA,"0"
"295","188","N+P","R2",2017-08-30,2017-10-18,3.1892,3.1961,"G_48","Green","S",-28,"-28",1,"Nutrients","Ac_188_1",NA,"0"
"296","288","N","R1",2017-11-16,2017-12-13,2.6621,2.7377,"G_48","Green","S",28,"28",2,"Nutrients","Ac_288_2","28_N","28_Nutrients"
"297","176","A","R1",2017-11-16,2017-12-13,2.0261,2.0888,"G_48","Green","S",28,"28",2,"Ambient","Ac_176_2","0","0"
"298","182","A","R1",2017-11-16,2017-12-13,4.0316,4.0975,"G_48","Green","S",28,"28",2,"Ambient","Ac_182_2","0","0"
"299","176","A","R1",2018-01-29,2018-02-14,2.0265,1.9171,"G_48","Green","S",91,"91",5,"Ambient","Ac_176_5","0","0"
"300","182","A","R1",2018-01-29,2018-02-14,3.9641,3.8514,"G_48","Green","S",91,"91",5,"Ambient","Ac_182_5","0","0"
"301","281","A","R1",2018-01-29,2018-02-14,3.0429,2.9318,"G_48","Green","S",91,"91",5,"Ambient","Ac_281_5","0","0"
"302","287","A","R1",2018-01-29,2018-02-14,3.0203,2.9093,"G_48","Green","S",91,"91",5,"Ambient","Ac_287_5","0","0"
"305","176","A","R1",2018-01-16,2018-01-29,2.3151,2.2419,"G_48","Green","S",75,"75",4,"Ambient","Ac_176_4","0","0"
"306","182","A","R1",2018-01-16,2018-01-29,5.0714,4.9957,"G_48","Green","S",75,"75",4,"Ambient","Ac_182_4","0","0"
"307","189","A","R1",2018-01-16,2018-01-29,4.5881,4.5129,"G_48","Green","S",75,"75",4,"Ambient","Ac_189_4","0","0"
"308","176","A","R1",2017-12-15,2018-01-16,2.1874,2.2216,"G_48","Green","S",62,"62",3,"Ambient","Ac_176_3","0","0"
"309","277","A","R2",2018-01-29,2018-02-14,2.9431,2.7882,"G_48","Green","S",91,"91",5,"Ambient","Ac_277_5","0","0"
"310","284","A","R2",2017-11-16,2017-12-13,4.3566,4.4107,"G_48","Green","S",28,"28",2,"Ambient","Ac_284_2","0","0"
"312","189","A","R1",2017-11-16,2017-12-13,3.571,3.6361,"G_48","Green","S",28,"28",2,"Ambient","Ac_189_2","0","0"
"316","282","N","R1",2018-01-16,2018-01-29,2.8498,2.7937,"G_48","Green","S",75,"75",4,"Nutrients","Ac_282_4","75_N","75_Nutrients"
"317","288","N","R1",2018-01-16,2018-01-29,1.8096,1.7542,"G_48","Green","S",75,"75",4,"Nutrients","Ac_288_4","75_N","75_Nutrients"
"318","282","N","R1",2018-01-29,2018-02-14,1.4909,1.3777,"G_48","Green","S",91,"91",5,"Nutrients","Ac_282_5","91_N","91_Nutrients"
"319","288","N","R1",2018-01-29,2018-02-14,1.3518,1.2389,"G_48","Green","S",91,"91",5,"Nutrients","Ac_288_5","91_N","91_Nutrients"
"320","289","N+P","R1",2018-01-29,2018-02-14,1.5212,1.4198,"G_48","Green","S",91,"91",5,"Nutrients","Ac_289_5","91_N+P","91_Nutrients"
"321","282","N","R1",2018-02-14,2018-02-23,-1.1925,-0.9574,"G_48","Green","S",100,"100",6,"Nutrients","Ac_282_6","100_N","100_Nutrients"
"322","285","N","R2",2018-01-16,2018-01-29,0.6628,0.6798,"G_48","Green","S",75,"75",4,"Nutrients","Ac_285_4","75_N","75_Nutrients"
"323","283","N+P","R1",2018-01-16,2018-01-29,2.3656,2.3402,"G_48","Green","S",75,"75",4,"Nutrients","Ac_283_4","75_N+P","75_Nutrients"
"324","289","N+P","R1",2018-01-16,2018-01-29,2.114,2.0887,"G_48","Green","S",75,"75",4,"Nutrients","Ac_289_4","75_N+P","75_Nutrients"
"328","190","N","R1",2018-01-16,2018-01-29,2.0402,1.9847,"G_48","Green","S",75,"75",4,"Nutrients","Ac_190_4","75_N","75_Nutrients"
"329","283","N+P","R1",2017-11-16,2017-12-13,4.9618,5.0143,"G_48","Green","S",28,"28",2,"Nutrients","Ac_283_2","28_N+P","28_Nutrients"
"330","289","N+P","R1",2017-11-16,2017-12-13,4.0588,4.1102,"G_48","Green","S",28,"28",2,"Nutrients","Ac_289_2","28_N+P","28_Nutrients"
"331","282","N","R1",2017-12-15,2018-01-16,3.3603,3.3708,"G_48","Green","S",62,"62",3,"Nutrients","Ac_282_3","62_N","62_Nutrients"
"332","288","N","R1",2017-12-15,2018-01-16,2.5583,2.5685,"G_48","Green","S",62,"62",3,"Nutrients","Ac_288_3","62_N","62_Nutrients"
"333","179","A","R2",2018-01-29,2018-02-14,2.9562,2.8012,"G_48","Green","S",91,"91",5,"Ambient","Ac_179_5","0","0"
"334","282","N","R1",2017-11-16,2017-12-13,2.8877,2.9638,"G_48","Green","S",28,"28",2,"Nutrients","Ac_282_2","28_N","28_Nutrients"
"335","276","N+P","R1",2018-01-29,2018-02-14,1.6669,1.5653,"G_48","Green","S",91,"91",5,"Nutrients","Ac_276_5","91_N+P","91_Nutrients"
"338","189","A","R1",2017-12-15,2018-01-16,4.4291,4.4656,"G_48","Green","S",62,"62",3,"Ambient","Ac_189_3","0","0"
"342","178","N+P","R1",2018-02-14,2018-02-23,-0.3372,-0.0851,"G_48","Green","S",100,"100",6,"Nutrients","Ac_178_6","100_N+P","100_Nutrients"
"343","284","A","R2",2018-01-16,2018-01-29,4.7853,4.7775,"G_48","Green","S",75,"75",4,"Ambient","Ac_284_4","0","0"
"345","287","A","R1",2018-02-14,2018-02-23,1.7827,2.0211,"G_48","Green","S",100,"100",6,"Ambient","Ac_287_6","0","0"
"347","186","A","R2",2018-01-29,2018-02-14,2.9818,2.8268,"G_48","Green","S",91,"91",5,"Ambient","Ac_186_5","0","0"
"348","188","N+P","R2",2018-02-14,2018-02-23,-0.3149,-0.1441,"G_48","Green","S",100,"100",6,"Nutrients","Ac_188_6","100_N+P","100_Nutrients"
"349","276","N+P","R1",2018-02-14,2018-02-23,-0.3467,-0.0946,"G_48","Green","S",100,"100",6,"Nutrients","Ac_276_6","100_N+P","100_Nutrients"
"350","281","A","R1",2018-01-16,2018-01-29,4.1259,4.0511,"G_48","Green","S",75,"75",4,"Ambient","Ac_281_4","0","0"
"352","283","N+P","R1",2017-12-15,2018-01-16,3.1246,3.1406,"G_48","Green","S",62,"62",3,"Nutrients","Ac_283_3","62_N+P","62_Nutrients"
"353","289","N+P","R1",2017-12-15,2018-01-16,2.7564,2.7722,"G_48","Green","S",62,"62",3,"Nutrients","Ac_289_3","62_N+P","62_Nutrients"
"354","281","A","R1",2017-11-16,2017-12-13,3.4594,3.5244,"G_48","Green","S",28,"28",2,"Ambient","Ac_281_2","0","0"
"355","278","N","R2",2018-02-14,2018-02-23,-0.5837,-0.3346,"G_48","Green","S",100,"100",6,"Nutrients","Ac_278_6","100_N","100_Nutrients"
"357","290","A","R2",2018-01-16,2018-01-29,4.2611,4.2534,"G_48","Green","S",75,"75",4,"Ambient","Ac_290_4","0","0"
"359","286","N+P","R2",2018-01-29,2018-02-14,1.8755,1.7675,"G_48","Green","S",91,"91",5,"Nutrients","Ac_286_5","91_N+P","91_Nutrients"
"360","290","A","R2",2017-12-15,2018-01-16,4.1442,4.1558,"G_48","Green","S",62,"62",3,"Ambient","Ac_290_3","0","0"
"361","188","N+P","R2",2018-01-29,2018-02-14,1.5471,1.4396,"G_48","Green","S",91,"91",5,"Nutrients","Ac_188_5","91_N+P","91_Nutrients"
"362","281","A","R1",2017-12-15,2018-01-16,4.2654,4.3018,"G_48","Green","S",62,"62",3,"Ambient","Ac_281_3","0","0"
"363","284","A","R2",2018-02-14,2018-02-23,1.6615,1.8454,"G_48","Green","S",100,"100",6,"Ambient","Ac_284_6","0","0"
"364","285","N","R2",2017-12-15,2018-01-16,1.8689,1.8813,"G_48","Green","S",62,"62",3,"Nutrients","Ac_285_3","62_N","62_Nutrients"
"367","280","N+P","R2",2018-01-29,2018-02-14,1.6701,1.5624,"G_48","Green","S",91,"91",5,"Nutrients","Ac_280_5","91_N+P","91_Nutrients"
"368","187","N","R2",2018-02-14,2018-02-23,0.5661,0.8178,"G_48","Green","S",100,"100",6,"Nutrients","Ac_187_6","100_N","100_Nutrients"
"369","280","N+P","R2",2018-02-14,2018-02-23,-0.6334,-0.4631,"G_48","Green","S",100,"100",6,"Nutrients","Ac_280_6","100_N+P","100_Nutrients"
"371","186","A","R2",2018-02-14,2018-02-23,1.5343,1.718,"G_48","Green","S",100,"100",6,"Ambient","Ac_186_6","0","0"
"372","190","N","R1",2018-01-29,2018-02-14,1.3763,1.2633,"G_48","Green","S",91,"91",5,"Nutrients","Ac_190_5","91_N","91_Nutrients"
"373","179","A","R2",2018-02-14,2018-02-23,1.6762,1.8601,"G_48","Green","S",100,"100",6,"Ambient","Ac_179_6","0","0"
"374","184","N+P","R1",2018-01-29,2018-02-14,1.2766,1.1755,"G_48","Green","S",91,"91",5,"Nutrients","Ac_184_5","91_N+P","91_Nutrients"
"375","184","N+P","R1",2018-02-14,2018-02-23,-0.7309,-0.4797,"G_48","Green","S",100,"100",6,"Nutrients","Ac_184_6","100_N+P","100_Nutrients"
"376","287","A","R1",2017-12-15,2018-01-16,3.9844,4.0204,"G_48","Green","S",62,"62",3,"Ambient","Ac_287_3","0","0"
"377","289","N+P","R1",2018-02-14,2018-02-23,-0.44,-0.1881,"G_48","Green","S",100,"100",6,"Nutrients","Ac_289_6","100_N+P","100_Nutrients"
"378","177","N","R1",2018-01-29,2018-02-14,1.52,1.4068,"G_48","Green","S",91,"91",5,"Nutrients","Ac_177_5","91_N","91_Nutrients"
"379","287","A","R1",2018-01-16,2018-01-29,3.8205,3.746,"G_48","Green","S",75,"75",4,"Ambient","Ac_287_4","0","0"
"381","290","A","R2",2017-11-16,2017-12-13,4.2611,4.315,"G_48","Green","S",28,"28",2,"Ambient","Ac_290_2","0","0"
"382","285","N","R2",2018-02-14,2018-02-23,-1.2721,-1.0246,"G_48","Green","S",100,"100",6,"Nutrients","Ac_285_6","100_N","100_Nutrients"
"384","284","A","R2",2018-01-29,2018-02-14,3.0012,2.8462,"G_48","Green","S",91,"91",5,"Ambient","Ac_284_5","0","0"
"385","286","N+P","R2",2017-12-15,2018-01-16,2.6216,2.6464,"G_48","Green","S",62,"62",3,"Nutrients","Ac_286_3","62_N+P","62_Nutrients"
"386","287","A","R1",2017-11-16,2017-12-13,2.8162,2.8801,"G_48","Green","S",28,"28",2,"Ambient","Ac_287_2","0","0"
"388","178","N+P","R1",2018-01-29,2018-02-14,2.4261,2.3233,"G_48","Green","S",91,"91",5,"Nutrients","Ac_178_5","91_N+P","91_Nutrients"
"389","155","N+P","R2",2017-08-30,2017-10-18,5.2515,5.2561,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_155_1",NA,"0"
"390","152","A","R2",2018-02-14,2018-02-23,1.9417,2.126,"G_31","Orange","R",100,"100",6,"Ambient","Ac_152_6","0","0"
"393","151","N+P","R1",2017-08-30,2017-10-18,2.8979,2.8903,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_151_1",NA,"0"
"394","247","N+P","R2",2017-08-30,2017-10-18,5.2033,5.2027,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_247_1",NA,"0"
"395","250","N+P","R1",2017-08-30,2017-10-18,5.8918,5.8779,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_250_1",NA,"0"
"396","159","N+P","R1",2017-08-30,2017-10-18,4.8265,4.8182,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_159_1",NA,"0"
"397","248","A","R1",2017-08-30,2017-10-18,4.0645,4.0467,"G_31","Orange","R",-28,"-28",1,"Ambient","Ac_248_1","0","0"
"398","299","N","R2",2018-01-29,2018-02-14,0.4412,0.2997,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_299_5","91_N","91_Nutrients"
"399","152","A","R2",2017-08-30,2017-10-18,4.3037,4.3001,"G_31","Orange","R",-28,"-28",1,"Ambient","Ac_152_1","0","0"
"400","154","N","R2",2018-01-29,2018-02-14,0.1549,0.014,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_154_5","91_N","91_Nutrients"
"401","157","A","R1",2017-08-30,2017-10-18,3.2921,3.2796,"G_31","Orange","R",-28,"-28",1,"Ambient","Ac_157_1","0","0"
"402","299","N","R2",2017-08-30,2017-10-18,2.1317,2.141,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_299_1",NA,"0"
"403","150","N","R1",2018-02-14,2018-02-23,-1.6664,-1.4323,"G_31","Orange","R",100,"100",6,"Nutrients","Ac_150_6","100_N","100_Nutrients"
"405","152","A","R2",2017-11-16,2017-12-13,4.8594,4.9141,"G_31","Orange","R",28,"28",2,"Ambient","Ac_152_2","0","0"
"406","150","N","R1",2017-11-16,2017-12-13,3.5738,3.6512,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_150_2","28_N","28_Nutrients"
"407","158","N","R1",2017-11-16,2017-12-13,2.8964,2.9725,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_158_2","28_N","28_Nutrients"
"410","149","A","R1",2017-08-30,2017-10-18,3.8446,3.8318,"G_31","Orange","R",-28,"-28",1,"Ambient","Ac_149_1","0","0"
"411","150","N","R1",2018-01-29,2018-02-14,0.252,0.141,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_150_5","91_N","91_Nutrients"
"412","249","N","R1",2018-01-29,2018-02-14,0.6641,0.5524,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_249_5","91_N","91_Nutrients"
"414","160","A","R2",2017-12-15,2018-01-16,3.7705,3.782,"G_31","Orange","R",62,"62",3,"Ambient","Ac_160_3","0","0"
"415","249","N","R1",2017-12-15,2018-01-16,2.3748,2.385,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_249_3","62_N","62_Nutrients"
"417","249","N","R1",2017-11-16,2017-12-13,3.7529,3.8306,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_249_2","28_N","28_Nutrients"
"419","158","N","R1",2017-08-30,2017-10-18,4.445,4.4342,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_158_1",NA,"0"
"420","150","N","R1",2017-08-30,2017-10-18,3.0523,3.042,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_150_1",NA,"0"
"422","154","N","R2",2017-08-30,2017-10-18,4.8534,4.852,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_154_1",NA,"0"
"423","246","N","R2",2017-08-30,2017-10-18,5.255,5.2484,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_246_1",NA,"0"
"424","157","A","R1",2018-02-14,2018-02-23,2.9316,3.1725,"G_31","Orange","R",100,"100",6,"Ambient","Ac_157_6","0","0"
"425","248","A","R1",2018-02-14,2018-02-23,2.1003,2.3394,"G_31","Orange","R",100,"100",6,"Ambient","Ac_248_6","0","0"
"426","158","N","R1",2017-12-15,2018-01-16,2.0229,2.033,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_158_3","62_N","62_Nutrients"
"427","154","N","R2",2018-01-16,2018-01-29,0.9339,0.951,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_154_4","75_N","75_Nutrients"
"428","152","A","R2",2018-01-29,2018-02-14,2.5512,2.3972,"G_31","Orange","R",91,"91",5,"Ambient","Ac_152_5","0","0"
"429","160","A","R2",2018-01-29,2018-02-14,3.0132,2.858,"G_31","Orange","R",91,"91",5,"Ambient","Ac_160_5","0","0"
"430","160","A","R2",2017-11-16,2017-12-13,5.1432,5.1983,"G_31","Orange","R",28,"28",2,"Ambient","Ac_160_2","0","0"
"431","160","A","R2",2018-02-14,2018-02-23,2.0988,2.2834,"G_31","Orange","R",100,"100",6,"Ambient","Ac_160_6","0","0"
"432","157","A","R1",2018-01-29,2018-02-14,3.5446,3.4326,"G_31","Orange","R",91,"91",5,"Ambient","Ac_157_5","0","0"
