Spp,Colony,Fragment,Treatment,Rep,Date,Chl_a,Sym/cm2
S.sid,20,20-23,NP,R1,2018-02-05,5.6,1.1498439126
S.sid,20,20-36,NP,R2,2018-02-05,5.44,1.1005721393
S.sid,20,20-39,N,R2,2018-02-05,3.48,1.0666557484
S.sid,20,20-45,Control,R2,2018-02-05,3.26,1.027713077
S.sid,22,22-6,N,R1,2018-02-05,4.84,1.2800574414
S.sid,22,22-8,N,R2,2018-02-05,3.53,1.0866471427
S.sid,22,22-24,Control,R2,2018-02-05,3.07,0.8681342211
S.sid,22,22-36,NP,R2,2018-02-05,2.84,0.965827275
S.sid,22,22-39,NP,R1,2018-02-05,5.46,1.4059537489
S.sid,22,22-42,Control,R1,2018-02-05,2.97,0.9330050257
S.sid,23,23-54,Control,R1,2018-02-05,2.93,0.953648259
S.sid,23,23-55,N,R1,2018-02-05,7.09,1.2539642434
S.sid,23,23-59,NP,R1,2018-02-05,6.44,1.3091903127
S.sid,23,23-70,N,R2,2018-02-05,5.68,1.5320003455
S.sid,23,23-71,NP,R2,2018-02-05,8.81,1.3947300104
S.sid,23,23-79,Control,R2,2018-02-05,5.42,1.3781411855
S.sid,24,24-11,NP,R1,2018-02-05,6.27,1.1841026242
S.sid,24,24-12,Control,R1,2018-02-05,6.64,1.3060744158
S.sid,24,24-14,N,R1,2018-02-05,6.34,1.7136693347
S.sid,24,24-23,Control,R2,2018-02-05,7.12,2.2914409534
S.sid,24,24-27,N,R2,2018-02-05,9.78,2.2846518262
S.sid,24,24-28,NP,R2,2018-02-05,8.68,1.8543169283
S.sid,27,27-12,N,R1,2018-02-05,5.25,1.4429305338
S.sid,27,27-19,Control,R1,2018-02-05,3.68,0.8630249438
S.sid,27,27-27,NP,R1,2018-02-05,5.53,1.5986487834
S.sid,27,27-77,NP,R2,2018-02-05,6.44,1.5603067325
S.sid,27,27-94,Control,R2,2018-02-05,4.69,0.8191478894
S.sid,27,27-97,N,R2,2018-02-05,4.33,0.9958200148
S.sid,28,28-4,Control,R2,2018-02-05,5.46,1.6844045632
S.sid,28,28-6,N,R2,2018-02-05,4.23,1.8184487337
S.sid,28,28-8,NP,R1,2018-02-05,3.28,0.9558014091
S.sid,28,28-20,N,R1,2018-02-05,3.72,1.1797237038
S.sid,28,28-30,Control,R1,2018-02-05,3.01,0.9361676209
S.sid,30,30-1,Control,R1,2018-02-05,3.8,1.529753762
S.sid,30,30-2,NP,R1,2018-02-05,4.02,1.6403154526
S.sid,30,30-10,N,R1,2018-02-05,5.53,1.6035190852
S.sid,30,30-23,Control,R2,2018-02-05,3.93,1.4330114269
S.sid,30,30-24,N,R2,2018-02-05,3.6,1.09405521
S.sid,30,30-25,NP,R2,2018-02-05,4.93,2.0789420689
S.sid,20,20-8,N,R1,2018-03-08,1.1907541443,0.4558355709
S.sid,20,20-13,Control,R1,2018-03-08,0.83,0.6047069295
S.sid,20,20-17,NP,R1,2018-03-08,1.48,0.5534101096
S.sid,20,20-33,N,R2,2018-03-08,2.24,0.6225643024
S.sid,20,20-38,Control,R2,2018-03-08,1.23,0.3125687871
S.sid,20,20-41,NP,R2,2018-03-08,0.88,0.2701729107
S.sid,22,22-3,N,R1,2018-03-08,1.3,0.3985569692
S.sid,22,22-18,NP,R1,2018-03-08,1.31,0.4228187034
S.sid,22,22-21,Control,R1,2018-03-08,0.35,0.2009781875
S.sid,22,22-27,N,R2,2018-03-08,1.26,0.3718533382
S.sid,22,22-31,NP,R2,2018-03-08,0.94,0.3495970711
S.sid,22,22-32,Control,R2,2018-03-08,1.57,0.5241369143
S.sid,23,23-61,N,R1,2018-03-08,3.6,1.0654702128
S.sid,23,23-65,Control,R1,2018-03-08,2.1,0.5726515502
S.sid,23,23-67,NP,R1,2018-03-08,2.28,0.782844152
S.sid,23,23-72,Control,R2,2018-03-08,0.92,0.191217748
S.sid,23,23-76,N,R2,2018-03-08,3.56,0.8505794702
S.sid,23,23-81,NP,R2,2018-03-08,2.14,0.5772814601
S.sid,24,24-5,NP,R1,2018-03-08,0.87,0.2399700037
S.sid,24,24-6,Control,R1,2018-03-08,0.14,0.1677287375
S.sid,24,24-10,N,R1,2018-03-08,1.34,0.3750393123
S.sid,24,24-16,Control,R2,2018-03-08,0.46,0.1799794309
S.sid,24,24-24,N,R2,2018-03-08,0.64,0.252665608
S.sid,24,24-25,NP,R2,2018-03-08,1.7,0.2737226277
S.sid,27,27-5,N,R1,2018-03-08,2.48,0.8444964493
S.sid,27,27-6,NP,R1,2018-03-08,2.97,0.9355983773
S.sid,27,27-9,Control,R1,2018-03-08,2.21,0.4270845363
S.sid,27,27-73,Control,R2,2018-03-08,1.43,0.691404369
S.sid,27,27-75,N,R2,2018-03-08,3.08,1.4142413111
S.sid,27,27-87,NP,R2,2018-03-08,2.07,0.8784085829
S.sid,28,28-2,Control,R1,2018-03-08,1.99,0.7757236471
S.sid,28,28-3,N,R1,2018-03-08,2.55,0.2360938777
S.sid,28,28-10,NP,R1,2018-03-08,1.28,0.3295855379
S.sid,28,28-13,N,R2,2018-03-08,2.31,0.5258261857
S.sid,28,28-14,NP,R2,2018-03-08,0.87,0.166175191
S.sid,28,28-29,Control,R2,2018-03-08,0.98,0.1938010003
S.sid,30,30-3,NP,R1,2018-03-08,0.26,0.0912525957
S.sid,30,30-4,Control,R1,2018-03-08,0.38,0.0625522414
S.sid,30,30-13,N,R1,2018-03-08,0.26,0.1063514939
S.sid,30,30-15,Control,R2,2018-03-08,0.18,0.0876806046
S.sid,30,30-16,N,R2,2018-03-08,0.19,0.0917990702
S.sid,30,30-18,NP,R2,2018-03-08,0.3,0.0721974821
A.cer,Green,181,NP,R2,2018-02-05,7.71,8.0111715305
A.cer,Green,290,Control,R2,2018-02-05,3.13,4.5582217857
A.cer,Red and Orange,267,Control,R1,2018-02-05,3.74,4.2097978091
A.cer,Orange,159,NP,R1,2018-02-05,5.37,3.2377973456
A.cer,Red and Orange,266,NP,R2,2018-02-05,4.34,4.6972813065
A.cer,Orange,158,N,R1,2018-02-05,6.12,5.1947095871
A.cer,Orange,246,N,R2,2018-02-05,5.97,3.9171729166
A.cer,Green and Orange,121,NP,R2,2018-02-05,4.58,7.8853183854
A.cer,Red and Orange,269,NP,R1,2018-02-05,5.27,4.6259841604
A.cer,Green and Orange,216,NP,R1,2018-02-05,NA,4.5182756796
A.cer,Green,283,NP,R1,2018-02-05,3.7,4.1158007916
A.cer,Green and Orange,223,Control,R2,2018-02-05,3.28,4.8320634959
A.cer,Green and Orange,218,N,R2,2018-02-05,3.07,4.7375909875
A.cer,Green and Orange,129,Control,R1,2018-02-05,3.79,4.3694013499
A.cer,F,137,Control,R1,2018-02-05,2.87,2.818982244
A.cer,Green,189,Control,R1,2018-02-05,3.08,4.0906632557
A.cer,Orange,149,Control,R1,2018-02-05,4.12,3.1981313718
A.cer,Green,183,N,R1,2018-02-05,6.81,5.7894310923
A.cer,Green and Orange,227,N,R1,2018-02-05,6.09,5.4883695874
A.cer,Red and Orange,268,N,R1,2018-02-05,3.74,4.3991520531
A.cer,F,240,NP,R1,2018-02-05,12.58,1.9678905418
A.cer,F,241,Control,R2,2018-02-05,3.67,2.5338322225
A.cer,Red and Orange,270,Control,R2,2018-02-05,3.91,3.6856877783
A.cer,Green,180,N,R2,2018-02-05,3.81,4.4775308754
A.cer,Red and Orange,265,N,R2,2018-02-05,5.37,4.6254665779
A.cer,Yellow,234,N,R2,2018-02-05,3,5.0090381255
A.cer,Green and Orange,219,NP,R2,2018-02-05,3.82,6.2426702556
A.cer,Red and Yellow,110,NP,R2,2018-02-05,1.67,4.822379056
A.cer,Red and Orange,262,N,R1,2018-02-15,5.55,3.2570956158
A.cer,Green,281,Control,R1,2018-03-08,1.58,1.2922416505
A.cer,Green and Orange,220,Control,R1,2018-03-08,2.24,1.2605652236
A.cer,Orange,248,Control,R1,2018-03-08,1.02,0.6470608959
A.cer,Red and Orange,273,Control,R1,2018-03-08,0.92,0.7319849325
A.cer,Red and Yellow,105,Control,R1,2018-03-08,1.96,1.5796092191
A.cer,Green,186,Control,R2,2018-03-08,2.33,1.9070015626
A.cer,Green and Orange,125,Control,R2,2018-03-08,1.34,1.9552866039
A.cer,Orange,160,Control,R2,2018-03-08,0.93,0.5398237836
A.cer,Red and Orange,173,Control,R2,2018-03-08,0.47,0.2117623604
A.cer,Red and Yellow,102,Control,R2,2018-03-08,2.49,1.3641381737
A.cer,Green,188,NP,R2,2018-03-08,0.42,0.7802095592
